Variable,Sum (bn),Nonzero count (m)
index,13521.2,227.8
RECID,1049526.2,227.8
MARS,0.4,227.8
e00200p,7231.2,151.7
e00200s,2625.1,60.3
e00200,9856.4,152.5
age_head,10.6,213.6
age_spouse,4.0,80.5
blind_head,0.0,2.6
blind_spouse,0.0,0.1
fips,2.5,227.8
s006,0.2,0.2
FLPDYR,459.0,227.8
EIC,0.1,67.2
nu18,0.1,65.9
n1820,0.0,13.0
nu13,0.1,51.1
nu06,0.0,30.2
n24,0.1,62.7
elderly_dependents,0.0,0.0
f2441,0.1,51.1
e00900p,666.2,23.4
e00900s,0.8,0.1
e00900,667.0,23.4
e02100p,-4.5,1.2
e02100s,-0.1,0.0
e02100,-4.6,1.2
e01500,2.2,1.7
e00800,0.4,0.0
e02400,304.1,25.8
e02300,0.2,0.1
XTOT,0.4,227.8
ssi_ben,144.2,16.2
mcaid_ben,1419.6,101.9
tanf_ben,70.9,8.5
snap_ben,290.4,110.7
housing_ben,17.5,4.1
DSI,0.0,0.0
n21,0.3,207.5
e00600,445.1,39.6
e18400,469.5,146.3
e00650,354.7,37.2
e00300,156.5,72.1
e00400,115.3,22.3
e01700,2.2,1.7
e01100,15.5,5.5
e01400,0.9,0.8
e03270,54.9,6.8
e32800,22.8,8.1
e17500,59.6,40.9
pencon_p,22.8,13.7
pencon_s,2.6,1.4
e03150,0.0,0.0
e03210,0.1,0.2
p22250,-198.6,6.5
p23250,1400.0,19.2
wic_ben,12.9,12.2
is_tax_filer,0.1,147.8
e02000,1291.4,16.8
e26270,1097.6,9.6
e19200,452.6,46.2
e18500,288.7,52.0
e19800,269.5,46.1
e20400,239.7,37.6
e20100,118.9,31.0
e00700,52.6,27.9
e24515,56.5,1.8
e03300,54.3,2.0
e07300,30.8,11.5
e62900,26.8,4.5
e87530,20.2,2.9
e03240,31.1,1.5
e01200,38.3,2.1
e24518,11.4,0.1
e09900,8.2,6.8
e27200,8.0,0.5
e03290,7.5,2.1
e58990,8.7,0.4
e03230,4.4,1.9
e07400,6.3,0.6
e11200,5.0,2.5
e07260,2.8,3.4
e07240,1.6,8.9
e07600,1.8,0.6
e03220,1.2,4.8
p08000,0.9,0.3
e03400,0.1,0.6
e09800,0.0,0.1
e09700,0.0,0.0
e03500,10.2,0.7
e87521,24.5,10.7
PT_binc_w2_wages,0.0,0.0
was_plus_sey_p,8429.5,168.6
ptax_oasdi,1106.5,169.3
c09200,2566.8,114.2
payrolltax,1444.4,169.0
e19800_capped,284.9,46.1
c04470,1412.6,46.8
e17500_capped,63.3,40.9
c20500,0.0,0.0
benefit_value_total,2272.9,139.5
expanded_income,17928.8,226.1
e20100_capped,125.7,31.0
c03260,42.0,22.6
nontaxable_ubi,0.0,0.0
h_seq,0.0,0.0
aftertax_income,14013.5,226.1
lumpsum_tax,0.0,0.0
c04600,1555.1,224.4
othertaxes,77.6,13.9
c07400,7.2,0.6
niit,69.0,7.3
recovery_rebate_credit,0.0,0.0
dwks13,2114.6,40.3
e19200_capped,374.5,46.2
dwks19,4878.8,27.5
c07600,1.8,0.5
ctc_new,0.0,0.0
invinc_ec_base,2540.1,80.9
c18300,658.5,46.3
taxbc,2544.2,123.3
c87668,14.7,10.4
ymod,15330.1,197.6
combined,3915.4,159.8
odc,0.0,0.4
mtr_inctax,0.0,0.0
c07100,96.2,52.8
CDCC_refund,0.0,0.0
eitc,63.2,33.5
e18400_capped,496.2,146.3
setax,84.1,22.6
g20500,0.0,0.0
c09600,41.2,7.7
c11070,22.8,17.6
earned,11099.2,161.0
PT_ubia_property,0.0,0.0
c23650,1482.5,19.5
c08000,0.8,0.2
iitax,2470.9,110.1
