varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,714895.1458331695
c00100,1,1,-9e99,1,0,8883.791718767636
c00100,1,1,1,10000,0,37161.19703371979
c00100,1,1,10000,25000,0,69084.81165307586
c00100,1,1,25000,50000,0,76058.61156066207
c00100,1,1,50000,75000,0,40315.82027083049
c00100,1,1,75000,100000,0,25394.072290378153
c00100,1,1,100000,200000,0,36380.940884882235
c00100,1,1,200000,500000,0,8015.604891443702
c00100,1,1,500000,9e99,0,1909.283115423188
c00100,0,1,1,10000,0,197255353.04519024
c00100,0,1,10000,25000,0,1185643020.6319642
c00100,0,1,25000,50000,0,2742875789.57454
c00100,0,1,50000,75000,0,2474204758.767858
c00100,0,1,75000,100000,0,2199654873.7684827
c00100,0,1,100000,200000,0,4892329257.2874775
c00100,0,1,200000,500000,0,2249057704.864835
c00100,0,1,500000,9e99,0,2445727645.7404933
c00100,1,1,-9e99,1,1,5857.546948405453
c00100,1,1,1,10000,1,27349.545304497227
c00100,1,1,10000,25000,1,39059.331024612635
c00100,1,1,25000,50000,1,36677.90152377116
c00100,1,1,50000,75000,1,15666.14099988046
c00100,1,1,75000,100000,1,6111.877837035658
c00100,1,1,100000,200000,1,4340.884745352951
c00100,1,1,200000,500000,1,817.6790154132839
c00100,1,1,500000,9e99,1,225.89555330211508
c00100,1,1,-9e99,1,2,1595.3049997630517
c00100,1,1,1,10000,2,3084.8535643581895
c00100,1,1,10000,25000,2,7516.383007748278
c00100,1,1,25000,50000,2,15696.79696810755
c00100,1,1,50000,75000,2,16337.492161110247
c00100,1,1,75000,100000,2,16520.603389848777
c00100,1,1,100000,200000,2,30305.84043489984
c00100,1,1,200000,500000,2,6988.567237607032
c00100,1,1,500000,9e99,2,1620.9025490554675
c00100,1,1,-9e99,1,4,1187.4170307009097
c00100,1,1,1,10000,4,6081.003359412765
c00100,1,1,10000,25000,4,21152.068771161652
c00100,1,1,25000,50000,4,20998.014956213483
c00100,1,1,50000,75000,4,6672.50592232165
c00100,1,1,75000,100000,4,2134.591021465133
c00100,1,1,100000,200000,4,1308.1890368168447
c00100,1,1,200000,500000,4,136.52437892907326
c00100,1,1,500000,9e99,4,40.69122682639737
e00200,0,1,-9e99,1,0,28944217.79028422
e00200,0,1,1,10000,0,150641520.0545007
e00200,0,1,10000,25000,0,913210936.6297624
e00200,0,1,25000,50000,0,2267365804.904255
e00200,0,1,50000,75000,0,1886855284.020291
e00200,0,1,75000,100000,0,1593903761.118534
e00200,0,1,100000,200000,0,3449822538.272934
e00200,0,1,200000,500000,0,1242431747.609238
e00200,0,1,500000,9e99,0,607069181.5331194
e26270,0,1,25000,50000,0,1912545.178539656
e26270,0,1,50000,75000,0,9947403.124700142
e26270,0,1,75000,100000,0,14515961.614303537
e26270,0,1,100000,200000,0,82437318.04002325
e26270,0,1,200000,500000,0,203136458.1439754
e26270,0,1,500000,9e99,0,820820384.5341593
e18400,0,1,10000,25000,0,1912547.92976918
e18400,0,1,25000,50000,0,9476699.451982802
e18400,0,1,50000,75000,0,15796362.5465453
e18400,0,1,75000,100000,0,17186793.638989467
e18400,0,1,100000,200000,0,74468694.06532225
e18400,0,1,200000,500000,0,67598373.22528192
e18400,0,1,500000,9e99,0,68548733.14660393
e18500,0,1,10000,25000,0,1310399.336185814
e18500,0,1,25000,50000,0,3019557.373430439
e18500,0,1,50000,75000,0,4088967.141877473
e18500,0,1,75000,100000,0,4178789.6457413537
e18500,0,1,100000,200000,0,16191618.889178872
e18500,0,1,200000,500000,0,12642662.96082581
e18500,0,1,500000,9e99,0,9215161.69174204
