varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,751154.0321536869
c00100,1,1,-9e99,1,0,9927.932952511255
c00100,1,1,1,10000,0,38305.57715790563
c00100,1,1,10000,25000,0,70608.140558292
c00100,1,1,25000,50000,0,78806.3494985945
c00100,1,1,50000,75000,0,41043.5829864092
c00100,1,1,75000,100000,0,24822.366569764596
c00100,1,1,100000,200000,0,32300.61238994077
c00100,1,1,200000,500000,0,7973.109325761177
c00100,1,1,500000,9e99,0,1887.412412243532
c00100,0,1,1,10000,0,205511300.4193671
c00100,0,1,10000,25000,0,1212731645.2615228
c00100,0,1,25000,50000,0,2840339849.5153337
c00100,0,1,50000,75000,0,2516426400.0145497
c00100,0,1,75000,100000,0,2146278404.326744
c00100,0,1,100000,200000,0,4318031876.63624
c00100,0,1,200000,500000,0,2266130519.4879575
c00100,0,1,500000,9e99,0,3149893590.1002073
c00100,1,1,-9e99,1,1,5877.79259650642
c00100,1,1,1,10000,1,27100.024270780435
c00100,1,1,10000,25000,1,39861.15983537534
c00100,1,1,25000,50000,1,36406.565450140406
c00100,1,1,50000,75000,1,13832.10538456826
c00100,1,1,75000,100000,1,4848.352171918592
c00100,1,1,100000,200000,1,3760.157049799735
c00100,1,1,200000,500000,1,837.2555153668842
c00100,1,1,500000,9e99,1,223.93923956244217
c00100,1,1,-9e99,1,2,2453.1092585151805
c00100,1,1,1,10000,2,4628.682441170712
c00100,1,1,10000,25000,2,10509.613358838626
c00100,1,1,25000,50000,2,20992.488341675864
c00100,1,1,50000,75000,2,20856.75319759853
c00100,1,1,75000,100000,2,17980.3497874735
c00100,1,1,100000,200000,2,27266.338045394983
c00100,1,1,200000,500000,2,6912.4928251963
c00100,1,1,500000,9e99,2,1605.6613599428429
c00100,1,1,-9e99,1,4,1319.6052836017311
c00100,1,1,1,10000,4,5858.725049763124
c00100,1,1,10000,25000,4,18782.06038982786
c00100,1,1,25000,50000,4,18637.975458039724
c00100,1,1,50000,75000,4,5006.015201214495
c00100,1,1,75000,100000,4,1588.2162565780834
c00100,1,1,100000,200000,4,931.0305842495644
c00100,1,1,200000,500000,4,155.705561924876
c00100,1,1,500000,9e99,4,35.51479862866787
e00200,0,1,-9e99,1,0,38993269.77633019
e00200,0,1,1,10000,0,153457663.04387623
e00200,0,1,10000,25000,0,915148993.219242
e00200,0,1,25000,50000,0,2342082375.168601
e00200,0,1,50000,75000,0,1906631065.9137015
e00200,0,1,75000,100000,0,1557526280.7702887
e00200,0,1,100000,200000,0,2987613448.235023
e00200,0,1,200000,500000,0,1244278873.6115458
e00200,0,1,500000,9e99,0,681785665.3529673
e26270,0,1,25000,50000,0,11270345.63712092
e26270,0,1,50000,75000,0,22794713.96096464
e26270,0,1,75000,100000,0,23375638.410561584
e26270,0,1,100000,200000,0,129470151.8959443
e26270,0,1,200000,500000,0,281638198.36141753
e26270,0,1,500000,9e99,0,702250898.1618828
e18400,0,1,10000,25000,0,1609848.822392822
e18400,0,1,25000,50000,0,8259922.31064271
e18400,0,1,50000,75000,0,13205720.846764188
e18400,0,1,75000,100000,0,18639491.632960737
e18400,0,1,100000,200000,0,87130233.22608659
e18400,0,1,200000,500000,0,89619382.6822605
e18400,0,1,500000,9e99,0,108074595.40412731
e18500,0,1,10000,25000,0,1409062.2280687457
e18500,0,1,25000,50000,0,3591729.1690491303
e18500,0,1,50000,75000,0,4774659.021593165
e18500,0,1,75000,100000,0,5425301.987048865
e18500,0,1,100000,200000,0,21178996.258637413
e18500,0,1,200000,500000,0,17098747.322070267
e18500,0,1,500000,9e99,0,9043135.814492354
