varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,812963.0069508865
c00100,1,1,-9e99,1,0,8043.479549281277
c00100,1,1,1,10000,0,33388.28033099542
c00100,1,1,10000,25000,0,61141.83110239982
c00100,1,1,25000,50000,0,88938.68190755737
c00100,1,1,50000,75000,0,57112.34021986068
c00100,1,1,75000,100000,0,38848.64556030869
c00100,1,1,100000,200000,0,67617.48294661594
c00100,1,1,200000,500000,0,24498.611883709353
c00100,1,1,500000,9e99,0,6330.580583216694
c00100,0,1,1,10000,0,175999210.12341338
c00100,0,1,10000,25000,0,1058594402.682844
c00100,0,1,25000,50000,0,3267061486.3580375
c00100,0,1,50000,75000,0,3516913144.5576987
c00100,0,1,75000,100000,0,3372294295.4113865
c00100,0,1,100000,200000,0,9300777193.129522
c00100,0,1,200000,500000,0,7064842978.781732
c00100,0,1,500000,9e99,0,10298497069.68826
c00100,1,1,-9e99,1,1,5341.385285908379
c00100,1,1,1,10000,1,26900.66508799092
c00100,1,1,10000,25000,1,43995.37595734359
c00100,1,1,25000,50000,1,54964.06025762663
c00100,1,1,50000,75000,1,28653.78882481574
c00100,1,1,75000,100000,1,13209.228320435954
c00100,1,1,100000,200000,1,13050.84268606198
c00100,1,1,200000,500000,1,3427.11449223013
c00100,1,1,500000,9e99,1,855.9936106607698
c00100,1,1,-9e99,1,2,1783.585088688712
c00100,1,1,1,10000,2,3758.9286040250586
c00100,1,1,10000,25000,2,7585.932033332944
c00100,1,1,25000,50000,2,15966.432267142542
c00100,1,1,50000,75000,2,18798.490379619776
c00100,1,1,75000,100000,2,21202.724036785738
c00100,1,1,100000,200000,2,50417.65679954918
c00100,1,1,200000,500000,2,20106.33153484041
c00100,1,1,500000,9e99,2,5230.482016784088
c00100,1,1,-9e99,1,4,743.0394679032564
c00100,1,1,1,10000,4,2349.3227380044236
c00100,1,1,10000,25000,4,8686.798997847694
c00100,1,1,25000,50000,4,16039.62690717521
c00100,1,1,50000,75000,4,8218.579560132308
c00100,1,1,75000,100000,4,3764.4301336072863
c00100,1,1,100000,200000,4,3406.9895831313083
c00100,1,1,200000,500000,4,790.3579610346951
c00100,1,1,500000,9e99,4,187.21178590665824
e00200,0,1,-9e99,1,0,52226517.92816949
e00200,0,1,1,10000,0,118680463.5720132
e00200,0,1,10000,25000,0,704221833.7737184
e00200,0,1,25000,50000,0,2553117909.907992
e00200,0,1,50000,75000,0,2558372702.64519
e00200,0,1,75000,100000,0,2308580957.7989244
e00200,0,1,100000,200000,0,6225954420.610021
e00200,0,1,200000,500000,0,4183898499.589494
e00200,0,1,500000,9e99,0,3116970205.641826
e26270,0,1,25000,50000,0,8158826.00279403
e26270,0,1,50000,75000,0,17767751.35695962
e26270,0,1,75000,100000,0,35921157.547947824
e26270,0,1,100000,200000,0,181263955.01443157
e26270,0,1,200000,500000,0,481120730.2432475
e26270,0,1,500000,9e99,0,2035096005.5638337
e18400,0,1,10000,25000,0,4053851.467600519
e18400,0,1,25000,50000,0,15182153.308749748
e18400,0,1,50000,75000,0,25170496.31594857
e18400,0,1,75000,100000,0,34609601.75718771
e18400,0,1,100000,200000,0,175145868.37107748
e18400,0,1,200000,500000,0,208099953.994614
e18400,0,1,500000,9e99,0,346452262.3304906
e18500,0,1,10000,25000,0,8668448.425874455
e18500,0,1,25000,50000,0,18828986.780814383
e18500,0,1,50000,75000,0,26550531.792863663
e18500,0,1,75000,100000,0,29194960.1468374
e18500,0,1,100000,200000,0,113568944.35017398
e18500,0,1,200000,500000,0,90942385.28058767
e18500,0,1,500000,9e99,0,57076425.006411344
