varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,757624.3710234303
c00100,1,1,-9e99,1,0,11324.3894195741
c00100,1,1,1,10000,0,37256.604596478035
c00100,1,1,10000,25000,0,82430.9421082547
c00100,1,1,25000,50000,0,117264.91357732678
c00100,1,1,50000,75000,0,59477.40263255425
c00100,1,1,75000,100000,0,33505.16279769267
c00100,1,1,100000,200000,0,43884.8175788332
c00100,1,1,200000,500000,0,10915.720621673005
c00100,1,1,500000,9e99,0,1619.446957525852
c00100,0,1,1,10000,0,198763984.41821155
c00100,0,1,10000,25000,0,1456270950.9021964
c00100,0,1,25000,50000,0,4237349514.801601
c00100,0,1,50000,75000,0,3638876414.474994
c00100,0,1,75000,100000,0,2894663373.1075497
c00100,0,1,100000,200000,0,5923721078.748695
c00100,0,1,200000,500000,0,3015106846.9831176
c00100,0,1,500000,9e99,0,1895465750.1872215
c00100,1,1,-9e99,1,1,8771.489060385607
c00100,1,1,1,10000,1,29153.52788014852
c00100,1,1,10000,25000,1,55931.28366557298
c00100,1,1,25000,50000,1,63109.216905279696
c00100,1,1,50000,75000,1,25822.011477117252
c00100,1,1,75000,100000,1,11379.96700670576
c00100,1,1,100000,200000,1,10253.262927420008
c00100,1,1,200000,500000,1,1836.821313373291
c00100,1,1,500000,9e99,1,342.0895584564413
c00100,1,1,-9e99,1,2,1302.166863343533
c00100,1,1,1,10000,2,3631.484126977554
c00100,1,1,10000,25000,2,9778.383998589205
c00100,1,1,25000,50000,2,24346.391779719605
c00100,1,1,50000,75000,2,21693.86884761645
c00100,1,1,75000,100000,2,17093.94692942198
c00100,1,1,100000,200000,2,29956.05418635088
c00100,1,1,200000,500000,2,8624.90390439107
c00100,1,1,500000,9e99,2,1190.4207193218597
c00100,1,1,-9e99,1,4,1013.9818218695092
c00100,1,1,1,10000,4,3894.993911053982
c00100,1,1,10000,25000,4,15460.170084096057
c00100,1,1,25000,50000,4,27172.10228526807
c00100,1,1,50000,75000,4,10571.73655964195
c00100,1,1,75000,100000,4,4342.062132727237
c00100,1,1,100000,200000,4,3060.4737152939347
c00100,1,1,200000,500000,4,350.96538651868553
c00100,1,1,500000,9e99,4,60.37450851794169
e00200,0,1,-9e99,1,0,29187259.319372907
e00200,0,1,1,10000,0,139294317.5286797
e00200,0,1,10000,25000,0,927468156.4435136
e00200,0,1,25000,50000,0,3424358217.5075345
e00200,0,1,50000,75000,0,2997582979.342578
e00200,0,1,75000,100000,0,2308555021.5503955
e00200,0,1,100000,200000,0,4552009464.079101
e00200,0,1,200000,500000,0,1986087405.1755672
e00200,0,1,500000,9e99,0,575718742.4587744
e26270,0,1,25000,50000,0,5940053.57467266
e26270,0,1,50000,75000,0,9848060.830999045
e26270,0,1,75000,100000,0,18417050.556778453
e26270,0,1,100000,200000,0,86076110.69096372
e26270,0,1,200000,500000,0,194284357.7663502
e26270,0,1,500000,9e99,0,447982676.6952745
e18400,0,1,10000,25000,0,2752742.4018646493
e18400,0,1,25000,50000,0,16512434.94162953
e18400,0,1,50000,75000,0,40661648.723649435
e18400,0,1,75000,100000,0,70413297.22377641
e18400,0,1,100000,200000,0,306247330.9939646
e18400,0,1,200000,500000,0,205848863.01087156
e18400,0,1,500000,9e99,0,131519480.33637723
e18500,0,1,10000,25000,0,11051642.541970251
e18500,0,1,25000,50000,0,32697068.31443736
e18500,0,1,50000,75000,0,53243854.1890917
e18500,0,1,75000,100000,0,65263473.487747155
e18500,0,1,100000,200000,0,196363941.70110783
e18500,0,1,200000,500000,0,83757237.39172305
e18500,0,1,500000,9e99,0,16764038.02031961
