varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,728378.9746587686
c00100,1,1,-9e99,1,0,7232.187794250918
c00100,1,1,1,10000,0,33314.84350960729
c00100,1,1,10000,25000,0,52473.04264994555
c00100,1,1,25000,50000,0,83619.39051061343
c00100,1,1,50000,75000,0,57404.71018344899
c00100,1,1,75000,100000,0,37834.68163782682
c00100,1,1,100000,200000,0,65674.67801145704
c00100,1,1,200000,500000,0,25207.84054401783
c00100,1,1,500000,9e99,0,5149.166141137064
c00100,0,1,1,10000,0,170451567.53608298
c00100,0,1,10000,25000,0,911245972.7286488
c00100,0,1,25000,50000,0,3101237532.4174376
c00100,0,1,50000,75000,0,3533051048.25503
c00100,0,1,75000,100000,0,3278604837.0696063
c00100,0,1,100000,200000,0,9081317258.610872
c00100,0,1,200000,500000,0,7214003975.945312
c00100,0,1,500000,9e99,0,6985888383.124188
c00100,1,1,-9e99,1,1,4923.900503437644
c00100,1,1,1,10000,1,28062.466232876108
c00100,1,1,10000,25000,1,39072.4769764165
c00100,1,1,25000,50000,1,55154.16676175668
c00100,1,1,50000,75000,1,32326.147367166843
c00100,1,1,75000,100000,1,15296.7043643929
c00100,1,1,100000,200000,1,13542.245222935711
c00100,1,1,200000,500000,1,2907.278119906976
c00100,1,1,500000,9e99,1,580.3262646738134
c00100,1,1,-9e99,1,2,1432.3742419463083
c00100,1,1,1,10000,2,2525.037961107937
c00100,1,1,10000,25000,2,5341.535598028825
c00100,1,1,25000,50000,2,12503.453523082972
c00100,1,1,50000,75000,2,15831.860089746846
c00100,1,1,75000,100000,2,18228.767791807037
c00100,1,1,100000,200000,2,48317.37366308389
c00100,1,1,200000,500000,2,21440.366327712287
c00100,1,1,500000,9e99,2,4391.200226680418
c00100,1,1,-9e99,1,4,670.0887507266228
c00100,1,1,1,10000,4,2225.969971688873
c00100,1,1,10000,25000,4,7077.089772391056
c00100,1,1,25000,50000,4,13550.382123456144
c00100,1,1,50000,75000,4,7318.075578148652
c00100,1,1,75000,100000,4,3361.121761990301
c00100,1,1,100000,200000,4,2884.1833539921386
c00100,1,1,200000,500000,4,670.7146603177229
c00100,1,1,500000,9e99,4,133.64553894607292
e00200,0,1,-9e99,1,0,51566883.2196775
e00200,0,1,1,10000,0,129637123.91326591
e00200,0,1,10000,25000,0,630996791.7767216
e00200,0,1,25000,50000,0,2488552940.125023
e00200,0,1,50000,75000,0,2803184497.1557183
e00200,0,1,75000,100000,0,2493854793.05619
e00200,0,1,100000,200000,0,6802046279.78278
e00200,0,1,200000,500000,0,4872950211.308457
e00200,0,1,500000,9e99,0,2352260552.1526403
e26270,0,1,25000,50000,0,11985550.908377107
e26270,0,1,50000,75000,0,30294007.99099059
e26270,0,1,75000,100000,0,43290930.3951878
e26270,0,1,100000,200000,0,208287974.61604792
e26270,0,1,200000,500000,0,502238229.4461509
e26270,0,1,500000,9e99,0,1392659867.9452903
e18400,0,1,10000,25000,0,3677516.279880286
e18400,0,1,25000,50000,0,20714602.25366249
e18400,0,1,50000,75000,0,47993088.19239686
e18400,0,1,75000,100000,0,65993671.39759637
e18400,0,1,100000,200000,0,261823202.88638237
e18400,0,1,200000,500000,0,258472186.62180597
e18400,0,1,500000,9e99,0,191434854.40745807
e18500,0,1,10000,25000,0,7230929.498106842
e18500,0,1,25000,50000,0,20798908.45266471
e18500,0,1,50000,75000,0,38508216.74085721
e18500,0,1,75000,100000,0,43543879.88256852
e18500,0,1,100000,200000,0,143354539.35452226
e18500,0,1,200000,500000,0,101298337.31832
e18500,0,1,500000,9e99,0,34779926.55468941
