varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,720263.0157678653
c00100,1,1,-9e99,1,0,7160.195324638183
c00100,1,1,1,10000,0,37876.53948428576
c00100,1,1,10000,25000,0,58215.06933845912
c00100,1,1,25000,50000,0,78881.3196443843
c00100,1,1,50000,75000,0,50766.87725319056
c00100,1,1,75000,100000,0,33963.75590882467
c00100,1,1,100000,200000,0,61422.75739651479
c00100,1,1,200000,500000,0,25731.02092390781
c00100,1,1,500000,9e99,0,6077.724741579151
c00100,0,1,1,10000,0,191790946.19566563
c00100,0,1,10000,25000,0,1007578515.0955174
c00100,0,1,25000,50000,0,2889214288.5046377
c00100,0,1,50000,75000,0,3129553543.804362
c00100,0,1,75000,100000,0,2944120374.372681
c00100,0,1,100000,200000,0,8552759964.606174
c00100,0,1,200000,500000,0,7397265320.158613
c00100,0,1,500000,9e99,0,8627615288.155401
c00100,1,1,-9e99,1,1,5144.218000225491
c00100,1,1,1,10000,1,32017.29504387448
c00100,1,1,10000,25000,1,41690.01383194326
c00100,1,1,25000,50000,1,47708.15303684027
c00100,1,1,50000,75000,1,27856.238398904443
c00100,1,1,75000,100000,1,13903.291892501324
c00100,1,1,100000,200000,1,12512.962703251194
c00100,1,1,200000,500000,1,2989.2077568877853
c00100,1,1,500000,9e99,1,615.7172123822016
c00100,1,1,-9e99,1,2,1102.332428619748
c00100,1,1,1,10000,2,2671.418227916326
c00100,1,1,10000,25000,2,5402.421992514801
c00100,1,1,25000,50000,2,11629.110575799325
c00100,1,1,50000,75000,2,13019.439765049456
c00100,1,1,75000,100000,2,15154.588162826443
c00100,1,1,100000,200000,2,44421.01759654174
c00100,1,1,200000,500000,2,21798.375502886007
c00100,1,1,500000,9e99,2,5203.80353690764
c00100,1,1,-9e99,1,4,764.681054087573
c00100,1,1,1,10000,4,2681.3491506966843
c00100,1,1,10000,25000,4,9980.57739425988
c00100,1,1,25000,50000,4,17220.220101140927
c00100,1,1,50000,75000,4,7914.945455945398
c00100,1,1,75000,100000,4,3922.7144982414457
c00100,1,1,100000,200000,4,3366.5828225413925
c00100,1,1,200000,500000,4,715.0264401857825
c00100,1,1,500000,9e99,4,188.6875328268037
e00200,0,1,-9e99,1,0,34691692.54862492
e00200,0,1,1,10000,0,134431922.40087336
e00200,0,1,10000,25000,0,645329237.9286734
e00200,0,1,25000,50000,0,2212474534.9139695
e00200,0,1,50000,75000,0,2347954169.668171
e00200,0,1,75000,100000,0,2089356912.836758
e00200,0,1,100000,200000,0,6020110493.068904
e00200,0,1,200000,500000,0,4954366563.248829
e00200,0,1,500000,9e99,0,3552259299.5811915
e26270,0,1,25000,50000,0,10094783.006234
e26270,0,1,50000,75000,0,14121772.193669204
e26270,0,1,75000,100000,0,21459731.036075797
e26270,0,1,100000,200000,0,115286096.372621
e26270,0,1,200000,500000,0,334317563.75480884
e26270,0,1,500000,9e99,0,1577071254.304264
e18400,0,1,10000,25000,0,4400694.409024054
e18400,0,1,25000,50000,0,21831460.758702695
e18400,0,1,50000,75000,0,56825075.380806915
e18400,0,1,75000,100000,0,81163621.67611337
e18400,0,1,100000,200000,0,262144724.7830984
e18400,0,1,200000,500000,0,274178682.1543664
e18400,0,1,500000,9e99,0,423523511.5944344
e18500,0,1,10000,25000,0,16117425.15647405
e18500,0,1,25000,50000,0,41957871.45227518
e18500,0,1,50000,75000,0,72494005.54684275
e18500,0,1,75000,100000,0,78472368.65741923
e18500,0,1,100000,200000,0,207641663.00982744
e18500,0,1,200000,500000,0,147009374.6572733
e18500,0,1,500000,9e99,0,78966976.82649653
