varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,670050
c00100,1,1,-9e99,1,0,7440
c00100,1,1,1,10000,0,28060
c00100,1,1,10000,25000,0,46400
c00100,1,1,25000,50000,0,69490
c00100,1,1,50000,75000,0,54000
c00100,1,1,75000,100000,0,36920
c00100,1,1,100000,200000,0,60060
c00100,1,1,200000,500000,0,33190
c00100,1,1,500000,9e99,0,10570
c00100,0,1,1,10000,0,139495000
c00100,0,1,10000,25000,0,810778000
c00100,0,1,25000,50000,0,2563676000
c00100,0,1,50000,75000,0,3341171000
c00100,0,1,75000,100000,0,3196888000
c00100,0,1,100000,200000,0,8305493000
c00100,0,1,200000,500000,0,9883378000
c00100,0,1,500000,9e99,0,17817137000
c00100,1,1,-9e99,1,1,5510
c00100,1,1,1,10000,1,22530
c00100,1,1,10000,25000,1,32750
c00100,1,1,25000,50000,1,46870
c00100,1,1,50000,75000,1,40990
c00100,1,1,75000,100000,1,28450
c00100,1,1,100000,200000,1,39000
c00100,1,1,200000,500000,1,10710
c00100,1,1,500000,9e99,1,2120
c00100,1,1,-9e99,1,2,500
c00100,1,1,1,10000,2,700
c00100,1,1,10000,25000,2,1510
c00100,1,1,25000,50000,2,3730
c00100,1,1,50000,75000,2,3670
c00100,1,1,75000,100000,2,3460
c00100,1,1,100000,200000,2,14350
c00100,1,1,200000,500000,2,20940
c00100,1,1,500000,9e99,2,8040
c00100,1,1,-9e99,1,4,1230
c00100,1,1,1,10000,4,4270
c00100,1,1,10000,25000,4,11270
c00100,1,1,25000,50000,4,16930
c00100,1,1,50000,75000,4,7410
c00100,1,1,75000,100000,4,3440
c00100,1,1,100000,200000,4,3780
c00100,1,1,200000,500000,4,890
c00100,1,1,500000,9e99,4,250
e00200,0,1,-9e99,1,0,47221000
e00200,0,1,1,10000,0,108885000
e00200,0,1,10000,25000,0,550351000
e00200,0,1,25000,50000,0,2065972000
e00200,0,1,50000,75000,0,2868315000
e00200,0,1,75000,100000,0,2722539000
e00200,0,1,100000,200000,0,6759140000
e00200,0,1,200000,500000,0,7204470000
e00200,0,1,500000,9e99,0,5963336000
e26270,0,1,25000,50000,0,379000
e26270,0,1,75000,100000,0,8694000
e26270,0,1,100000,200000,0,43002000
e26270,0,1,200000,500000,0,297888000
e26270,0,1,500000,9e99,0,3225494000
e18400,0,1,10000,25000,0,6719639.718356983
e18400,0,1,25000,50000,0,37740358.43685337
e18400,0,1,50000,75000,0,74781942.11288501
e18400,0,1,75000,100000,0,129745530.50074336
e18400,0,1,100000,200000,0,707580859.143194
e18400,0,1,200000,500000,0,859557039.5708002
e18400,0,1,500000,9e99,0,1382261681.3681304
e18500,0,1,10000,25000,0,8015209.133514742
e18500,0,1,25000,50000,0,22054726.191635408
e18500,0,1,50000,75000,0,38369685.360436045
e18500,0,1,75000,100000,0,55759373.03568853
e18500,0,1,100000,200000,0,256052145.4021013
e18500,0,1,200000,500000,0,265158330.5955456
e18500,0,1,500000,9e99,0,164351536.5647614
