varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,1003384
c00100,0,1,-9e99,1,0,-248171000
c00100,0,1,1,10000,0,266363000
c00100,0,1,10000,25000,0,1441521000
c00100,0,1,25000,50000,0,4265193000
c00100,0,1,50000,75000,0,4468916000
c00100,0,1,75000,100000,0,4261264000
c00100,0,1,100000,200000,0,11534532000
c00100,0,1,200000,500000,0,7713961000
c00100,0,1,500000,9e99,0,7885870000
c00100,1,1,-9e99,1,0,8760
c00100,1,1,1,10000,0,51390
c00100,1,1,10000,25000,0,83360
c00100,1,1,25000,50000,0,116540
c00100,1,1,50000,75000,0,72460
c00100,1,1,75000,100000,0,49140
c00100,1,1,100000,200000,0,83970
c00100,1,1,200000,500000,0,27270
c00100,1,1,500000,9e99,0,5560
e00200,0,1,-9e99,1,0,40998000
e00200,0,1,1,10000,0,202705000
e00200,0,1,10000,25000,0,1005926000
e00200,0,1,25000,50000,0,3310445000
e00200,0,1,50000,75000,0,3219104000
e00200,0,1,75000,100000,0,2867857000
e00200,0,1,100000,200000,0,7597123000
e00200,0,1,200000,500000,0,4707271000
e00200,0,1,500000,9e99,0,2286246000
e26270,0,1,-9e99,1,0,-75581000
e26270,0,1,1,10000,0,-4409000
# e26270,0,1,10000,25000,0,6000
e26270,0,1,25000,50000,0,11520000
e26270,0,1,50000,75000,0,21536000
e26270,0,1,75000,100000,0,29599000
e26270,0,1,100000,200000,0,167784000
e26270,0,1,200000,500000,0,438995000
e26270,0,1,500000,9e99,0,1951914000
c00100,1,1,-9e99,1,1,6040
c00100,1,1,1,10000,1,41800
c00100,1,1,10000,25000,1,57670
c00100,1,1,25000,50000,1,68390
c00100,1,1,50000,75000,1,36790
c00100,1,1,75000,100000,1,17960
c00100,1,1,100000,200000,1,15610
c00100,1,1,200000,500000,1,3430
c00100,1,1,500000,9e99,1,790
c00100,1,1,-9e99,1,2,1380
c00100,1,1,1,10000,2,3490
c00100,1,1,10000,25000,2,8690
c00100,1,1,25000,50000,2,18470
c00100,1,1,50000,75000,2,21340
c00100,1,1,75000,100000,2,24180
c00100,1,1,100000,200000,2,62620
c00100,1,1,200000,500000,2,22890
c00100,1,1,500000,9e99,2,4570
c00100,1,1,-9e99,1,4,1090
c00100,1,1,1,10000,4,5290
c00100,1,1,10000,25000,4,15340
c00100,1,1,25000,50000,4,25400
c00100,1,1,50000,75000,4,11080
c00100,1,1,75000,100000,4,5390
c00100,1,1,100000,200000,4,4220
c00100,1,1,200000,500000,4,680
c00100,1,1,500000,9e99,4,130
