varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,761105.5825753432
c00100,1,1,-9e99,1,0,10370.816712646469
c00100,1,1,1,10000,0,47082.64983570467
c00100,1,1,10000,25000,0,113847.89507878314
c00100,1,1,25000,50000,0,103875.65682387602
c00100,1,1,50000,75000,0,45999.896834140054
c00100,1,1,75000,100000,0,22631.80381291529
c00100,1,1,100000,200000,0,29154.64810511518
c00100,1,1,200000,500000,0,11931.193167189243
c00100,1,1,500000,9e99,0,4940.598132327438
c00100,0,1,1,10000,0,259243782.22955468
c00100,0,1,10000,25000,0,1918341640.442455
c00100,0,1,25000,50000,0,3699635946.2431264
c00100,0,1,50000,75000,0,2804339490.4155016
c00100,0,1,75000,100000,0,1948554186.999241
c00100,0,1,100000,200000,0,3972181023.742243
c00100,0,1,200000,500000,0,3532681284.947964
c00100,0,1,500000,9e99,0,13218349729.45788
c00100,1,1,-9e99,1,1,7714.497677053799
c00100,1,1,1,10000,1,38389.22041248242
c00100,1,1,10000,25000,1,73088.45483021156
c00100,1,1,25000,50000,1,56170.91946226165
c00100,1,1,50000,75000,1,23083.26000211256
c00100,1,1,75000,100000,1,9877.781538308536
c00100,1,1,100000,200000,1,9839.980921686682
c00100,1,1,200000,500000,1,3199.657976340827
c00100,1,1,500000,9e99,1,1194.1535208462014
c00100,1,1,-9e99,1,2,1455.4653398730295
c00100,1,1,1,10000,2,2978.618445164878
c00100,1,1,10000,25000,2,9133.413412074013
c00100,1,1,25000,50000,2,15610.492336621366
c00100,1,1,50000,75000,2,10837.70026387957
c00100,1,1,75000,100000,2,7608.481076572256
c00100,1,1,100000,200000,2,14912.89561533389
c00100,1,1,200000,500000,2,7696.611435793092
c00100,1,1,500000,9e99,2,3422.5129142140554
c00100,1,1,-9e99,1,4,903.368541486784
c00100,1,1,1,10000,4,4832.2327302903705
c00100,1,1,10000,25000,4,29843.08424784245
c00100,1,1,25000,50000,4,29470.34062524032
c00100,1,1,50000,75000,4,10433.205469688
c00100,1,1,75000,100000,4,4385.183915493819
c00100,1,1,100000,200000,4,3539.6311520070926
c00100,1,1,200000,500000,4,745.8347250879568
c00100,1,1,500000,9e99,4,195.0118030315683
e00200,0,1,-9e99,1,0,58022839.48270692
e00200,0,1,1,10000,0,167194499.62434483
e00200,0,1,10000,25000,0,1410891038.0562763
e00200,0,1,25000,50000,0,3244803735.187752
e00200,0,1,50000,75000,0,2361732146.8431983
e00200,0,1,75000,100000,0,1544167987.3813372
e00200,0,1,100000,200000,0,2953082922.2295694
e00200,0,1,200000,500000,0,2251027939.649833
e00200,0,1,500000,9e99,0,2910210596.046187
e26270,0,1,25000,50000,0,51851030.71064607
e26270,0,1,50000,75000,0,62191861.15742404
e26270,0,1,75000,100000,0,58867572.88704743
e26270,0,1,100000,200000,0,192354902.6623887
e26270,0,1,200000,500000,0,390412703.9342052
e26270,0,1,500000,9e99,0,1747913744.4798205
e18400,0,1,10000,25000,0,1036368.4475964804
e18400,0,1,25000,50000,0,3535281.688267269
e18400,0,1,50000,75000,0,3161055.1972059365
e18400,0,1,75000,100000,0,3143974.8634632663
e18400,0,1,100000,200000,0,12619314.06443463
e18400,0,1,200000,500000,0,24158983.67751804
e18400,0,1,500000,9e99,0,272385486.3755965
e18500,0,1,10000,25000,0,13451993.097482605
e18500,0,1,25000,50000,0,37111645.25291382
e18500,0,1,50000,75000,0,40697781.89547107
e18500,0,1,75000,100000,0,35464514.72239129
e18500,0,1,100000,200000,0,96663261.30379736
e18500,0,1,200000,500000,0,83487001.82702513
e18500,0,1,500000,9e99,0,98203451.3973053
