varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,785857.4897076351
c00100,1,1,-9e99,1,0,7814.060420008525
c00100,1,1,1,10000,0,41804.3521504048
c00100,1,1,10000,25000,0,69253.38274153527
c00100,1,1,25000,50000,0,83251.20897972907
c00100,1,1,50000,75000,0,48844.38627065824
c00100,1,1,75000,100000,0,31942.855105449828
c00100,1,1,100000,200000,0,54412.432028365314
c00100,1,1,200000,500000,0,18767.422794789854
c00100,1,1,500000,9e99,0,3830.356722994727
c00100,0,1,1,10000,0,216209012.12142077
c00100,0,1,10000,25000,0,1181794712.2214923
c00100,0,1,25000,50000,0,3029092703.600088
c00100,0,1,50000,75000,0,3004519483.0553308
c00100,0,1,75000,100000,0,2768668138.3552604
c00100,0,1,100000,200000,0,7465455382.158686
c00100,0,1,200000,500000,0,5324748924.043916
c00100,0,1,500000,9e99,0,5132333963.0903635
c00100,1,1,-9e99,1,1,4694.255709503522
c00100,1,1,1,10000,1,33021.62601507036
c00100,1,1,10000,25000,1,43730.365961676616
c00100,1,1,25000,50000,1,42545.576740934
c00100,1,1,50000,75000,1,19079.690816155577
c00100,1,1,75000,100000,1,7982.635345958936
c00100,1,1,100000,200000,1,7122.371417867925
c00100,1,1,200000,500000,1,1663.5211012530738
c00100,1,1,500000,9e99,1,376.060456537146
c00100,1,1,-9e99,1,2,1990.9250011640904
c00100,1,1,1,10000,2,4262.036899069114
c00100,1,1,10000,25000,2,10350.517418977148
c00100,1,1,25000,50000,2,20996.49510676653
c00100,1,1,50000,75000,2,21544.619212562437
c00100,1,1,75000,100000,2,20661.16928509774
c00100,1,1,100000,200000,2,44366.77000318787
c00100,1,1,200000,500000,2,16530.563734537664
c00100,1,1,500000,9e99,2,3337.2631482435427
c00100,1,1,-9e99,1,4,883.2990622525199
c00100,1,1,1,10000,4,3811.889998642408
c00100,1,1,10000,25000,4,13739.92878991518
c00100,1,1,25000,50000,4,16958.361538158904
c00100,1,1,50000,75000,4,6366.9680607410855
c00100,1,1,75000,100000,4,2498.377282266006
c00100,1,1,100000,200000,4,2092.515611642851
c00100,1,1,200000,500000,4,404.7258177987859
c00100,1,1,500000,9e99,4,81.03462872072875
e00200,0,1,-9e99,1,0,40812994.388291106
e00200,0,1,1,10000,0,157223536.97441626
e00200,0,1,10000,25000,0,823542585.2336316
e00200,0,1,25000,50000,0,2426916713.5138235
e00200,0,1,50000,75000,0,2290705425.2281284
e00200,0,1,75000,100000,0,1999748248.8996584
e00200,0,1,100000,200000,0,5298250219.548723
e00200,0,1,200000,500000,0,3413512136.470456
e00200,0,1,500000,9e99,0,1554503724.521824
e26270,0,1,25000,50000,0,20119942.422366645
e26270,0,1,50000,75000,0,36521049.99792796
e26270,0,1,75000,100000,0,47943547.48154429
e26270,0,1,100000,200000,0,207153744.86754113
e26270,0,1,200000,500000,0,461910537.3249648
e26270,0,1,500000,9e99,0,1359680941.253055
e18400,0,1,10000,25000,0,3488346.921596172
e18400,0,1,25000,50000,0,24957284.92426193
e18400,0,1,50000,75000,0,46208666.00311166
e18400,0,1,75000,100000,0,52083658.40699507
e18400,0,1,100000,200000,0,238479844.6662135
e18400,0,1,200000,500000,0,218683782.48361945
e18400,0,1,500000,9e99,0,153182534.0991737
e18500,0,1,10000,25000,0,6638008.675235632
e18500,0,1,25000,50000,0,20216461.881591856
e18500,0,1,50000,75000,0,32015550.244754534
e18500,0,1,75000,100000,0,34056117.06612459
e18500,0,1,100000,200000,0,127375867.36458592
e18500,0,1,200000,500000,0,84407683.8051627
e18500,0,1,500000,9e99,0,29072335.257931106
