varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,711771.1737511836
c00100,1,1,-9e99,1,0,8420.170834069806
c00100,1,1,1,10000,0,33849.88298660923
c00100,1,1,10000,25000,0,48172.13574101402
c00100,1,1,25000,50000,0,81434.79641177204
c00100,1,1,50000,75000,0,54780.87502449197
c00100,1,1,75000,100000,0,36925.33545437231
c00100,1,1,100000,200000,0,63011.94036701648
c00100,1,1,200000,500000,0,20075.040865625055
c00100,1,1,500000,9e99,0,4020.9799254896
c00100,0,1,1,10000,0,159297489.6174594
c00100,0,1,10000,25000,0,843607560.1200826
c00100,0,1,25000,50000,0,3013130264.7941785
c00100,0,1,50000,75000,0,3375433494.877581
c00100,0,1,75000,100000,0,3201861526.524634
c00100,0,1,100000,200000,0,8674168372.68491
c00100,0,1,200000,500000,0,5669544869.134088
c00100,0,1,500000,9e99,0,5249129521.498813
c00100,1,1,-9e99,1,1,6041.422808842047
c00100,1,1,1,10000,1,28196.624081465437
c00100,1,1,10000,25000,1,36049.47844089933
c00100,1,1,25000,50000,1,52700.71461749364
c00100,1,1,50000,75000,1,30236.972806033176
c00100,1,1,75000,100000,1,15227.968529700713
c00100,1,1,100000,200000,1,14561.122848988329
c00100,1,1,200000,500000,1,3224.7462768777978
c00100,1,1,500000,9e99,1,756.4219661812118
c00100,1,1,-9e99,1,2,1492.9380911471287
c00100,1,1,1,10000,2,3224.7462768777978
c00100,1,1,10000,25000,2,5752.788111220269
c00100,1,1,25000,50000,2,14153.05310407478
c00100,1,1,50000,75000,2,16681.09493841725
c00100,1,1,75000,100000,2,17646.52823735906
c00100,1,1,100000,200000,2,44320.35546585442
c00100,1,1,200000,500000,2,16123.73138438899
c00100,1,1,500000,9e99,2,3095.35830897838
c00100,1,1,-9e99,1,4,597.1752364588515
c00100,1,1,1,10000,4,1801.478629984202
c00100,1,1,10000,25000,4,5075.989509900237
c00100,1,1,25000,50000,4,11505.576222440535
c00100,1,1,50000,75000,4,5991.658205803809
c00100,1,1,75000,100000,4,3115.264150193675
c00100,1,1,100000,200000,4,2975.9232616866097
c00100,1,1,200000,500000,4,507.59895099002375
c00100,1,1,500000,9e99,4,109.48212668412276
e00200,0,1,-9e99,1,0,43777921.29273763
e00200,0,1,1,10000,0,114641720.72712724
e00200,0,1,10000,25000,0,551476401.4888378
e00200,0,1,25000,50000,0,2285607598.889332
e00200,0,1,50000,75000,0,2473925814.41457
e00200,0,1,75000,100000,0,2236543681.4618726
e00200,0,1,100000,200000,0,5871784234.713242
e00200,0,1,200000,500000,0,3129597351.160748
e00200,0,1,500000,9e99,0,1434430842.6471334
e26270,0,1,50000,75000,0,8010110.505034727
e26270,0,1,75000,100000,0,16620382.1227106
e26270,0,1,100000,200000,0,88973138.48000428
e26270,0,1,200000,500000,0,308009052.8766249
e26270,0,1,500000,9e99,0,1042413168.0895988
e18400,0,1,10000,25000,0,6477983.000193802
e18400,0,1,25000,50000,0,29108056.8120595
e18400,0,1,50000,75000,0,64333026.775207505
e18400,0,1,75000,100000,0,97424448.77572729
e18400,0,1,100000,200000,0,476253022.6069418
e18400,0,1,200000,500000,0,364286166.15141016
e18400,0,1,500000,9e99,0,349178217.4567222
e18500,0,1,10000,25000,0,5224993.825119678
e18500,0,1,25000,50000,0,15867913.322855717
e18500,0,1,50000,75000,0,25463535.53444891
e18500,0,1,75000,100000,0,31393069.34087964
e18500,0,1,100000,200000,0,121251233.08832867
e18500,0,1,200000,500000,0,72689851.38969488
e18500,0,1,500000,9e99,0,30970423.965975203
