varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,797543.6178443539
c00100,1,1,-9e99,1,0,7002.796985943191
c00100,1,1,1,10000,0,38046.01473650298
c00100,1,1,10000,25000,0,61239.8865913456
c00100,1,1,25000,50000,0,85502.4156750258
c00100,1,1,50000,75000,0,57097.100659918025
c00100,1,1,75000,100000,0,37609.20275347345
c00100,1,1,100000,200000,0,59747.77864591276
c00100,1,1,200000,500000,0,15424.653050106212
c00100,1,1,500000,9e99,0,3299.126619778815
c00100,0,1,1,10000,0,203757651.9079768
c00100,0,1,10000,25000,0,1052604890.428441
c00100,0,1,25000,50000,0,3155402646.118931
c00100,0,1,50000,75000,0,3514179460.9614544
c00100,0,1,75000,100000,0,3265452092.741571
c00100,0,1,100000,200000,0,8042715998.847843
c00100,0,1,200000,500000,0,4383726806.207512
c00100,0,1,500000,9e99,0,4144761902.2273736
c00100,1,1,-9e99,1,1,4198.919747216663
c00100,1,1,1,10000,1,31249.53157657752
c00100,1,1,10000,25000,1,43115.71129894253
c00100,1,1,25000,50000,1,51549.66137037037
c00100,1,1,50000,75000,1,26897.02693344032
c00100,1,1,75000,100000,1,9591.208258212588
c00100,1,1,100000,200000,1,7286.833011777493
c00100,1,1,200000,500000,1,1650.8559507610742
c00100,1,1,500000,9e99,1,371.061842961252
c00100,1,1,-9e99,1,2,1856.1874898608296
c00100,1,1,1,10000,2,2950.4269741142352
c00100,1,1,10000,25000,2,7623.523485921581
c00100,1,1,25000,50000,2,17240.636898452023
c00100,1,1,50000,75000,2,22211.447284711277
c00100,1,1,75000,100000,2,25228.53077948733
c00100,1,1,100000,200000,2,50635.56808799393
c00100,1,1,200000,500000,2,13410.516223330438
c00100,1,1,500000,9e99,2,2872.4317683118265
c00100,1,1,-9e99,1,4,775.4200530099438
c00100,1,1,1,10000,4,3381.646666157331
c00100,1,1,10000,25000,4,9516.819134012658
c00100,1,1,25000,50000,4,14382.400625626806
c00100,1,1,50000,75000,4,6387.353465919302
c00100,1,1,75000,100000,4,2205.3558407252253
c00100,1,1,100000,200000,4,1424.2507441095863
c00100,1,1,200000,500000,4,291.4552153821226
c00100,1,1,500000,9e99,4,44.919598769505605
e00200,0,1,-9e99,1,0,43328484.300579
e00200,0,1,1,10000,0,163031238.807126
e00200,0,1,10000,25000,0,748110891.5858186
e00200,0,1,25000,50000,0,2482005461.916021
e00200,0,1,50000,75000,0,2606516687.85125
e00200,0,1,75000,100000,0,2321775047.693556
e00200,0,1,100000,200000,0,5625038999.082519
e00200,0,1,200000,500000,0,2520043013.4674373
e00200,0,1,500000,9e99,0,1312118109.5194426
e26270,0,1,25000,50000,0,9384437.263477491
e26270,0,1,50000,75000,0,21557674.839970604
e26270,0,1,75000,100000,0,26562287.27432451
e26270,0,1,100000,200000,0,153518681.2097824
e26270,0,1,200000,500000,0,368573944.1615391
e26270,0,1,500000,9e99,0,1127219959.2117517
e18400,0,1,10000,25000,0,2916626.601531671
e18400,0,1,25000,50000,0,12022994.25193252
e18400,0,1,50000,75000,0,22844599.99540945
e18400,0,1,75000,100000,0,32374808.406519
e18400,0,1,100000,200000,0,133164504.43455552
e18400,0,1,200000,500000,0,129449927.46892682
e18400,0,1,500000,9e99,0,154600714.38218993
e18500,0,1,10000,25000,0,6733080.859119422
e18500,0,1,25000,50000,0,15138599.608440518
e18500,0,1,50000,75000,0,25471767.648940172
e18500,0,1,75000,100000,0,27290375.333021145
e18500,0,1,100000,200000,0,84287325.3682388
e18500,0,1,200000,500000,0,60834171.37087972
e18500,0,1,500000,9e99,0,31953303.2581343
