varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,970474.124540916
c00100,1,1,-9e99,1,0,10015.123401519126
c00100,1,1,1,10000,0,43325.03863791783
c00100,1,1,10000,25000,0,71261.45497234762
c00100,1,1,25000,50000,0,104937.30740995568
c00100,1,1,50000,75000,0,66860.57863148778
c00100,1,1,75000,100000,0,46242.90632124504
c00100,1,1,100000,200000,0,71088.11629809056
c00100,1,1,200000,500000,0,22023.641556994466
c00100,1,1,500000,9e99,0,5729.806176830653
c00100,0,1,1,10000,0,225505911.2673593
c00100,0,1,10000,25000,0,1235516661.4210415
c00100,0,1,25000,50000,0,3840933680.458817
c00100,0,1,50000,75000,0,4128475577.2575088
c00100,0,1,75000,100000,0,4010510905.4845
c00100,0,1,100000,200000,0,9630382806.12342
c00100,0,1,200000,500000,0,6350444337.015429
c00100,0,1,500000,9e99,0,8836803687.63974
c00100,1,1,-9e99,1,1,5806.8455876115695
c00100,1,1,1,10000,1,33791.411553779435
c00100,1,1,10000,25000,1,50123.7666393337
c00100,1,1,25000,50000,1,59349.23608034843
c00100,1,1,50000,75000,1,25345.966146921477
c00100,1,1,75000,100000,1,9678.075979352616
c00100,1,1,100000,200000,1,8416.55562781511
c00100,1,1,200000,500000,1,2359.331955165563
c00100,1,1,500000,9e99,1,645.2050652901744
c00100,1,1,-9e99,1,2,3043.0567258461956
c00100,1,1,1,10000,2,5903.144851087715
c00100,1,1,10000,25000,2,11498.132059051764
c00100,1,1,25000,50000,2,27137.132447577784
c00100,1,1,50000,75000,2,33435.10427891769
c00100,1,1,75000,100000,2,33627.70280586999
c00100,1,1,100000,200000,2,60283.33893606704
c00100,1,1,200000,500000,2,19125.03372636248
c00100,1,1,500000,9e99,2,4978.671921716719
c00100,1,1,-9e99,1,4,982.2524874566834
c00100,1,1,1,10000,4,3148.985915669956
c00100,1,1,10000,25000,4,8638.043933810246
c00100,1,1,25000,50000,4,16428.65434903041
c00100,1,1,50000,75000,4,6991.3265283681585
c00100,1,1,75000,100000,4,2503.7808503797814
c00100,1,1,100000,200000,4,1993.3947539562105
c00100,1,1,200000,500000,4,452.60653833788353
c00100,1,1,500000,9e99,4,86.6693371285309
e00200,0,1,-9e99,1,0,50254733.637661256
e00200,0,1,1,10000,0,170283098.62696368
e00200,0,1,10000,25000,0,881567755.5218344
e00200,0,1,25000,50000,0,2996503735.8965573
e00200,0,1,50000,75000,0,3004108488.7332687
e00200,0,1,75000,100000,0,2811504183.825169
e00200,0,1,100000,200000,0,6418411394.1842575
e00200,0,1,200000,500000,0,3273390119.191614
e00200,0,1,500000,9e99,0,1736314240.1802926
e26270,0,1,25000,50000,0,21983195.86633448
e26270,0,1,50000,75000,0,44240844.633575976
e26270,0,1,75000,100000,0,70789588.5813145
e26270,0,1,100000,200000,0,355827704.5296269
e26270,0,1,200000,500000,0,792404267.4692713
e26270,0,1,500000,9e99,0,2806607366.277407
e18400,0,1,10000,25000,0,3585446.660349251
e18400,0,1,25000,50000,0,18846040.126505345
e18400,0,1,50000,75000,0,43073974.79791771
e18400,0,1,75000,100000,0,57254737.27167562
e18400,0,1,100000,200000,0,275919197.2155456
e18400,0,1,200000,500000,0,277203525.79593354
e18400,0,1,500000,9e99,0,274822501.28645486
e18500,0,1,10000,25000,0,6388531.100985003
e18500,0,1,25000,50000,0,18883223.72496804
e18500,0,1,50000,75000,0,27534825.11366046
e18500,0,1,75000,100000,0,30076622.583566047
e18500,0,1,100000,200000,0,117484850.4379433
e18500,0,1,200000,500000,0,77680363.0450772
e18500,0,1,500000,9e99,0,34835431.55493729
