varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,722971.5523273096
c00100,1,1,-9e99,1,0,6339.576349051818
c00100,1,1,1,10000,0,34832.68817890891
c00100,1,1,10000,25000,0,61762.05344329109
c00100,1,1,25000,50000,0,93649.74967120758
c00100,1,1,50000,75000,0,53163.5314977548
c00100,1,1,75000,100000,0,31563.000323506654
c00100,1,1,100000,200000,0,44949.79960396842
c00100,1,1,200000,500000,0,16610.23695225543
c00100,1,1,500000,9e99,0,4172.92806926859
c00100,0,1,1,10000,0,179273047.49190554
c00100,0,1,10000,25000,0,1077865862.351827
c00100,0,1,25000,50000,0,3426406702.112264
c00100,0,1,50000,75000,0,3263770824.556221
c00100,0,1,75000,100000,0,2727284718.673405
c00100,0,1,100000,200000,0,6160385431.3256445
c00100,0,1,200000,500000,0,4788738284.37132
c00100,0,1,500000,9e99,0,7206039520.01381
c00100,1,1,-9e99,1,1,4542.63291874968
c00100,1,1,1,10000,1,28342.716672205104
c00100,1,1,10000,25000,1,41595.50411544725
c00100,1,1,25000,50000,1,53110.00601108805
c00100,1,1,50000,75000,1,28608.386248822535
c00100,1,1,75000,100000,1,14264.994164596155
c00100,1,1,100000,200000,1,12893.464589337991
c00100,1,1,200000,500000,1,2832.1271170280747
c00100,1,1,500000,9e99,1,566.4424508551992
c00100,1,1,-9e99,1,2,1045.2819183356655
c00100,1,1,1,10000,2,2837.30185403665
c00100,1,1,10000,25000,2,6821.637272047708
c00100,1,1,25000,50000,2,15582.972097546635
c00100,1,1,50000,75000,2,14442.08787416404
c00100,1,1,75000,100000,2,12733.219066529542
c00100,1,1,100000,200000,2,28469.946917247373
c00100,1,1,200000,500000,2,13129.234283392438
c00100,1,1,500000,9e99,2,3456.317832972245
c00100,1,1,-9e99,1,4,606.3160025784132
c00100,1,1,1,10000,4,3214.4684825911067
c00100,1,1,10000,25000,4,12430.442661463736
c00100,1,1,25000,50000,4,23038.83632665084
c00100,1,1,50000,75000,4,8589.900219335668
c00100,1,1,75000,100000,4,3697.1776908126726
c00100,1,1,100000,200000,4,2649.8984081674203
c00100,1,1,200000,500000,4,449.14131869269346
c00100,1,1,500000,9e99,4,95.40436311196731
e00200,0,1,-9e99,1,0,32318233.280635532
e00200,0,1,1,10000,0,124935009.90998612
e00200,0,1,10000,25000,0,728645306.8188753
e00200,0,1,25000,50000,0,2786815412.6368985
e00200,0,1,50000,75000,0,2697772874.611917
e00200,0,1,75000,100000,0,2177420027.054347
e00200,0,1,100000,200000,0,4683711918.88221
e00200,0,1,200000,500000,0,3459862261.33626
e00200,0,1,500000,9e99,0,2655556121.947854
e26270,0,1,25000,50000,0,30195850.297593012
e26270,0,1,50000,75000,0,37633821.26382928
e26270,0,1,75000,100000,0,33695522.80161676
e26270,0,1,100000,200000,0,120957830.92881349
e26270,0,1,200000,500000,0,258328271.53349695
e26270,0,1,500000,9e99,0,1162159447.7243438
e18400,0,1,10000,25000,0,3221355.7996909916
e18400,0,1,25000,50000,0,20736939.5500607
e18400,0,1,50000,75000,0,37781873.14639793
e18400,0,1,75000,100000,0,49968660.99955665
e18400,0,1,100000,200000,0,148412826.17801735
e18400,0,1,200000,500000,0,159661791.69111356
e18400,0,1,500000,9e99,0,272026092.66519433
e18500,0,1,10000,25000,0,12579415.354505528
e18500,0,1,25000,50000,0,35065449.553507574
e18500,0,1,50000,75000,0,53365052.75692359
e18500,0,1,75000,100000,0,58819902.76769542
e18500,0,1,100000,200000,0,150829996.9689486
e18500,0,1,200000,500000,0,127602083.07771157
e18500,0,1,500000,9e99,0,74528741.63110277
