varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,756766.451271345
c00100,1,1,-9e99,1,0,7688.63496691219
c00100,1,1,1,10000,0,45886.675665271745
c00100,1,1,10000,25000,0,66048.95229124499
c00100,1,1,25000,50000,0,80346.50637602089
c00100,1,1,50000,75000,0,50219.52143949576
c00100,1,1,75000,100000,0,35167.68763829006
c00100,1,1,100000,200000,0,58090.620060803994
c00100,1,1,200000,500000,0,13249.67273789772
c00100,1,1,500000,9e99,0,2646.012846862128
c00100,0,1,1,10000,0,231596047.41173652
c00100,0,1,10000,25000,0,1132506561.1669178
c00100,0,1,25000,50000,0,2929785130.1539884
c00100,0,1,50000,75000,0,3099567492.022539
c00100,0,1,75000,100000,0,3053455287.0219436
c00100,0,1,100000,200000,0,7882579406.207205
c00100,0,1,200000,500000,0,3667521797.271052
c00100,0,1,500000,9e99,0,3565805114.2262926
c00100,1,1,-9e99,1,1,5574.02209894148
c00100,1,1,1,10000,1,37803.35662554991
c00100,1,1,10000,25000,1,43869.70656691585
c00100,1,1,25000,50000,1,46177.82298859691
c00100,1,1,50000,75000,1,24585.524524296336
c00100,1,1,75000,100000,1,11575.274384990127
c00100,1,1,100000,200000,1,9337.81685880677
c00100,1,1,200000,500000,1,1460.7053972781534
c00100,1,1,500000,9e99,1,337.96414156399703
c00100,1,1,-9e99,1,2,1044.446685350776
c00100,1,1,1,10000,2,3101.7431513286633
c00100,1,1,10000,25000,2,6595.42090020711
c00100,1,1,25000,50000,2,13763.783087559385
c00100,1,1,50000,75000,2,16323.891407300547
c00100,1,1,75000,100000,2,19020.928220213624
c00100,1,1,100000,200000,2,44993.36588737352
c00100,1,1,200000,500000,2,11333.33047064406
c00100,1,1,500000,9e99,2,2235.6003975589156
c00100,1,1,-9e99,1,4,895.1147625549152
c00100,1,1,1,10000,4,4405.304227656147
c00100,1,1,10000,25000,4,14445.982807491831
c00100,1,1,25000,50000,4,17850.088489245936
c00100,1,1,50000,75000,4,7501.491565526644
c00100,1,1,75000,100000,4,3748.465839443923
c00100,1,1,100000,200000,4,2942.6794120928635
c00100,1,1,200000,500000,4,314.05505567377145
c00100,1,1,500000,9e99,4,51.85402302568391
e00200,0,1,-9e99,1,0,29126506.68569392
e00200,0,1,1,10000,0,160796248.05736545
e00200,0,1,10000,25000,0,768194683.9170438
e00200,0,1,25000,50000,0,2233473048.6243315
e00200,0,1,50000,75000,0,2300982270.285042
e00200,0,1,75000,100000,0,2251381569.9176917
e00200,0,1,100000,200000,0,6017495304.230671
e00200,0,1,200000,500000,0,2395381762.62523
e00200,0,1,500000,9e99,0,1042550277.8532064
e26270,0,1,25000,50000,0,7027063.3663557
e26270,0,1,50000,75000,0,11845080.3723245
e26270,0,1,75000,100000,0,20778045.55011141
e26270,0,1,100000,200000,0,104529663.58590646
e26270,0,1,200000,500000,0,253512337.6902077
e26270,0,1,500000,9e99,0,1151867002.5569098
e18400,0,1,10000,25000,0,3349413.8241389203
e18400,0,1,25000,50000,0,14037618.592800695
e18400,0,1,50000,75000,0,29407448.722359534
e18400,0,1,75000,100000,0,43833838.285905
e18400,0,1,100000,200000,0,150399087.09206307
e18400,0,1,200000,500000,0,103282302.47090736
e18400,0,1,500000,9e99,0,113953556.4252524
e18500,0,1,10000,25000,0,4646011.453440172
e18500,0,1,25000,50000,0,10310208.587600254
e18500,0,1,50000,75000,0,16996226.88065502
e18500,0,1,75000,100000,0,22532243.182848565
e18500,0,1,100000,200000,0,68958986.3234735
e18500,0,1,200000,500000,0,42227167.48677883
e18500,0,1,500000,9e99,0,21284806.51857083
