varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,733407.1796669315
c00100,1,1,-9e99,1,0,7585.087431953029
c00100,1,1,1,10000,0,40759.49585649677
c00100,1,1,10000,25000,0,56566.06776735098
c00100,1,1,25000,50000,0,80550.16661602701
c00100,1,1,50000,75000,0,49964.6107679439
c00100,1,1,75000,100000,0,32567.739081480973
c00100,1,1,100000,200000,0,50984.05716166843
c00100,1,1,200000,500000,0,13647.54598465681
c00100,1,1,500000,9e99,0,2991.645814182294
c00100,0,1,1,10000,0,205385111.2126144
c00100,0,1,10000,25000,0,975113546.4168832
c00100,0,1,25000,50000,0,2953188278.079192
c00100,0,1,50000,75000,0,3076093197.971255
c00100,0,1,75000,100000,0,2826425788.406099
c00100,0,1,100000,200000,0,6899638201.610608
c00100,0,1,200000,500000,0,3868064030.430853
c00100,0,1,500000,9e99,0,4462284338.056775
c00100,1,1,-9e99,1,1,4709.901796684703
c00100,1,1,1,10000,1,33033.38753087871
c00100,1,1,10000,25000,1,39487.37184667423
c00100,1,1,25000,50000,1,46157.10210382593
c00100,1,1,50000,75000,1,21399.893505547974
c00100,1,1,75000,100000,1,7947.680021651882
c00100,1,1,100000,200000,1,6154.549716632144
c00100,1,1,200000,500000,1,1382.4330023854304
c00100,1,1,500000,9e99,1,298.5785873286163
c00100,1,1,-9e99,1,2,1795.651340777534
c00100,1,1,1,10000,2,3798.131923267483
c00100,1,1,10000,25000,2,7565.37978749484
c00100,1,1,25000,50000,2,17165.470336419337
c00100,1,1,50000,75000,2,21010.03523582347
c00100,1,1,75000,100000,2,21961.87369069545
c00100,1,1,100000,200000,2,42987.73828168564
c00100,1,1,200000,500000,2,11950.369705263522
c00100,1,1,500000,9e99,2,2620.7317242501863
c00100,1,1,-9e99,1,4,910.7985569015312
c00100,1,1,1,10000,4,3377.767749797938
c00100,1,1,10000,25000,4,8380.687370214766
c00100,1,1,25000,50000,4,14285.032853391776
c00100,1,1,50000,75000,4,5667.323720915783
c00100,1,1,75000,100000,4,2029.0418148741624
c00100,1,1,100000,200000,4,1341.1791933872123
c00100,1,1,200000,500000,4,239.6800437412289
c00100,1,1,500000,9e99,4,57.787050110554546
e00200,0,1,-9e99,1,0,37080940.36694189
e00200,0,1,1,10000,0,155443946.91182083
e00200,0,1,10000,25000,0,716148204.3155342
e00200,0,1,25000,50000,0,2374855114.551253
e00200,0,1,50000,75000,0,2295060231.5614066
e00200,0,1,75000,100000,0,2051210159.490883
e00200,0,1,100000,200000,0,4841273101.7960415
e00200,0,1,200000,500000,0,2239897065.8022823
e00200,0,1,500000,9e99,0,1222283476.931979
e26270,0,1,25000,50000,0,2412310.4988062643
e26270,0,1,50000,75000,0,15538997.215212032
e26270,0,1,75000,100000,0,22240931.415725
e26270,0,1,100000,200000,0,140390478.43758994
e26270,0,1,200000,500000,0,349584563.5310511
e26270,0,1,500000,9e99,0,1275732120.2498808
e18400,0,1,10000,25000,0,2041515.3097865016
e18400,0,1,25000,50000,0,8937015.40119788
e18400,0,1,50000,75000,0,17736149.737748355
e18400,0,1,75000,100000,0,25839602.63611465
e18400,0,1,100000,200000,0,113769410.97834116
e18400,0,1,200000,500000,0,114770944.70857884
e18400,0,1,500000,9e99,0,164012479.2591482
e18500,0,1,10000,25000,0,5412002.180762831
e18500,0,1,25000,50000,0,11710909.61726408
e18500,0,1,50000,75000,0,18017115.548256513
e18500,0,1,75000,100000,0,20840742.357775528
e18500,0,1,100000,200000,0,69741682.92766207
e18500,0,1,200000,500000,0,51237379.758073226
e18500,0,1,500000,9e99,0,27034499.113274388
