varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,748128.1644830198
c00100,1,1,-9e99,1,0,12250.063301797114
c00100,1,1,1,10000,0,39707.35063549386
c00100,1,1,10000,25000,0,62449.18584254017
c00100,1,1,25000,50000,0,69975.37752999419
c00100,1,1,50000,75000,0,37211.05932338223
c00100,1,1,75000,100000,0,22495.642546686904
c00100,1,1,100000,200000,0,25513.632250890645
c00100,1,1,200000,500000,0,4937.7997031494915
c00100,1,1,500000,9e99,0,1193.7938258105796
c00100,0,1,1,10000,0,204475382.7695672
c00100,0,1,10000,25000,0,1070861533.205829
c00100,0,1,25000,50000,0,2524630442.160488
c00100,0,1,50000,75000,0,2284416400.592406
c00100,0,1,75000,100000,0,1944961458.760102
c00100,0,1,100000,200000,0,3346380820.198747
c00100,0,1,200000,500000,0,1404762676.991011
c00100,0,1,500000,9e99,0,1451479136.3197289
c00100,1,1,-9e99,1,1,6831.6900676046635
c00100,1,1,1,10000,1,27512.54618450012
c00100,1,1,10000,25000,1,33992.36499984843
c00100,1,1,25000,50000,1,30272.846097328627
c00100,1,1,50000,75000,1,10651.190304686288
c00100,1,1,75000,100000,1,3467.716086914877
c00100,1,1,100000,200000,1,2493.7023082244104
c00100,1,1,200000,500000,1,522.9174715466147
c00100,1,1,500000,9e99,1,137.7788644060651
c00100,1,1,-9e99,1,2,2704.6827800874757
c00100,1,1,1,10000,2,5922.560563513906
c00100,1,1,10000,25000,2,13786.240648858451
c00100,1,1,25000,50000,2,23892.43935938844
c00100,1,1,50000,75000,2,21494.87794843571
c00100,1,1,75000,100000,2,17424.13503930651
c00100,1,1,100000,200000,2,21990.03280416156
c00100,1,1,200000,500000,2,4263.583614366386
c00100,1,1,500000,9e99,2,1028.0932377091813
c00100,1,1,-9e99,1,4,2396.9621879958618
c00100,1,1,1,10000,4,5595.471429772603
c00100,1,1,10000,25000,4,13303.16294418778
c00100,1,1,25000,50000,4,13323.975292804364
c00100,1,1,50000,75000,4,4005.6611462428114
c00100,1,1,75000,100000,4,1259.847134146738
c00100,1,1,100000,200000,4,760.6024061104339
c00100,1,1,200000,500000,4,121.31710104677455
c00100,1,1,500000,9e99,4,6.1793774831481905
e00200,0,1,-9e99,1,0,27602176.882409994
e00200,0,1,1,10000,0,155002700.2187179
e00200,0,1,10000,25000,0,773497095.8258177
e00200,0,1,25000,50000,0,2018614242.9725115
e00200,0,1,50000,75000,0,1746432895.0113657
e00200,0,1,75000,100000,0,1466373650.5735416
e00200,0,1,100000,200000,0,2447136361.893449
e00200,0,1,200000,500000,0,819342781.6160862
e00200,0,1,500000,9e99,0,429001886.9579076
e26270,0,1,25000,50000,0,5079944.014481681
e26270,0,1,50000,75000,0,11312038.619783225
e26270,0,1,75000,100000,0,14775386.98385876
e26270,0,1,100000,200000,0,65974827.95034398
e26270,0,1,200000,500000,0,160522006.947526
e26270,0,1,500000,9e99,0,492756705.1867512
e18400,0,1,10000,25000,0,722366.7807429839
e18400,0,1,25000,50000,0,5941854.523997118
e18400,0,1,50000,75000,0,10882807.43297296
e18400,0,1,75000,100000,0,12348154.16928259
e18400,0,1,100000,200000,0,54388377.73569693
e18400,0,1,200000,500000,0,52427315.08578355
e18400,0,1,500000,9e99,0,48120720.57362568
e18500,0,1,10000,25000,0,588784.6901167684
e18500,0,1,25000,50000,0,2697568.518400671
e18500,0,1,50000,75000,0,4072148.563960251
e18500,0,1,75000,100000,0,4481749.42799076
e18500,0,1,100000,200000,0,15856751.820050966
e18500,0,1,200000,500000,0,11652262.07092401
e18500,0,1,500000,9e99,0,5581530.7105019
