varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,780191.1847162246
c00100,1,1,-9e99,1,0,8253.458093323403
c00100,1,1,1,10000,0,39803.59337844258
c00100,1,1,10000,25000,0,68814.03474587497
c00100,1,1,25000,50000,0,73744.55137680644
c00100,1,1,50000,75000,0,45547.84366517892
c00100,1,1,75000,100000,0,30121.406376306662
c00100,1,1,100000,200000,0,53360.76132857569
c00100,1,1,200000,500000,0,19858.4183876893
c00100,1,1,500000,9e99,0,5899.731303775853
c00100,0,1,1,10000,0,203669176.073696
c00100,0,1,10000,25000,0,1172464483.0803423
c00100,0,1,25000,50000,0,2680982827.27441
c00100,0,1,50000,75000,0,2802776906.325487
c00100,0,1,75000,100000,0,2613016612.645136
c00100,0,1,100000,200000,0,7352041577.452123
c00100,0,1,200000,500000,0,5784719485.789111
c00100,0,1,500000,9e99,0,9176365318.393145
c00100,1,1,-9e99,1,1,4971.452380494678
c00100,1,1,1,10000,1,31546.495472454935
c00100,1,1,10000,25000,1,42916.1436580592
c00100,1,1,25000,50000,1,41056.07293867682
c00100,1,1,50000,75000,1,21744.67165753377
c00100,1,1,75000,100000,1,9766.009129644097
c00100,1,1,100000,200000,1,9121.822943450034
c00100,1,1,200000,500000,1,2426.656200814159
c00100,1,1,500000,9e99,1,682.3001976717434
c00100,1,1,-9e99,1,2,2010.0088376680585
c00100,1,1,1,10000,2,3192.570518101423
c00100,1,1,10000,25000,2,7432.387512544255
c00100,1,1,25000,50000,2,13869.97955928513
c00100,1,1,50000,75000,2,15409.262620315929
c00100,1,1,75000,100000,2,16600.098526636706
c00100,1,1,100000,200000,2,40757.15101732919
c00100,1,1,200000,500000,2,16654.33654777455
c00100,1,1,500000,9e99,2,4980.877369705079
c00100,1,1,-9e99,1,4,1034.829167884334
c00100,1,1,1,10000,4,4645.2826750838185
c00100,1,1,10000,25000,4,17531.117311898684
c00100,1,1,25000,50000,4,17015.713198798006
c00100,1,1,50000,75000,4,7115.887245125597
c00100,1,1,75000,100000,4,3117.402864294272
c00100,1,1,100000,200000,4,2777.2960765619277
c00100,1,1,200000,500000,4,568.6479316258809
c00100,1,1,500000,9e99,4,151.47925779078636
e00200,0,1,-9e99,1,0,87900743.89490384
e00200,0,1,1,10000,0,142285444.95454168
e00200,0,1,10000,25000,0,793984457.7311721
e00200,0,1,25000,50000,0,2092940153.3386571
e00200,0,1,50000,75000,0,2099066970.429169
e00200,0,1,75000,100000,0,1880562900.8813455
e00200,0,1,100000,200000,0,5247711483.049778
e00200,0,1,200000,500000,0,3363297702.26244
e00200,0,1,500000,9e99,0,2259331960.9654875
e26270,0,1,25000,50000,0,6916333.352992923
e26270,0,1,50000,75000,0,20234476.082730334
e26270,0,1,75000,100000,0,22662173.28469567
e26270,0,1,100000,200000,0,184980122.9181813
e26270,0,1,200000,500000,0,641221901.3097496
e26270,0,1,500000,9e99,0,2717864972.7210593
e18400,0,1,10000,25000,0,3752769.7065240536
e18400,0,1,25000,50000,0,14116263.529151823
e18400,0,1,50000,75000,0,22602986.07130996
e18400,0,1,75000,100000,0,27414241.53074128
e18400,0,1,100000,200000,0,125877987.7080636
e18400,0,1,200000,500000,0,180509562.29608196
e18400,0,1,500000,9e99,0,240258448.68489653
e18500,0,1,10000,25000,0,4404528.242397123
e18500,0,1,25000,50000,0,9914854.34866746
e18500,0,1,50000,75000,0,14355624.84113294
e18500,0,1,75000,100000,0,16228401.844808834
e18500,0,1,100000,200000,0,64328722.81352843
e18500,0,1,200000,500000,0,75740493.24787532
e18500,0,1,500000,9e99,0,51374935.135655165
