varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,767975.0938181579
c00100,1,1,-9e99,1,0,5957.284818326786
c00100,1,1,1,10000,0,34935.88376743664
c00100,1,1,10000,25000,0,45571.72474666646
c00100,1,1,25000,50000,0,66361.03112858275
c00100,1,1,50000,75000,0,53860.13151709273
c00100,1,1,75000,100000,0,38288.57769839538
c00100,1,1,100000,200000,0,74145.33016938894
c00100,1,1,200000,500000,0,48875.84481628725
c00100,1,1,500000,9e99,0,17461.57014693743
c00100,0,1,1,10000,0,167067777.48873317
c00100,0,1,10000,25000,0,794629647.7470095
c00100,0,1,25000,50000,0,2473045797.491925
c00100,0,1,50000,75000,0,3331416726.1337953
c00100,0,1,75000,100000,0,3318686375.609845
c00100,0,1,100000,200000,0,10465258228.17004
c00100,0,1,200000,500000,0,14664462059.993526
c00100,0,1,500000,9e99,0,33555740123.44331
c00100,1,1,-9e99,1,1,4102.444632415054
c00100,1,1,1,10000,1,31089.3288378737
c00100,1,1,10000,25000,1,35840.67853248995
c00100,1,1,25000,50000,1,47032.26949675589
c00100,1,1,50000,75000,1,36563.6095585224
c00100,1,1,75000,100000,1,22178.67527136906
c00100,1,1,100000,200000,1,25286.05818904906
c00100,1,1,200000,500000,1,7245.088082494208
c00100,1,1,500000,9e99,1,1662.670649343405
c00100,1,1,-9e99,1,2,1161.9469616915069
c00100,1,1,1,10000,2,2086.9653150644863
c00100,1,1,10000,25000,2,4107.493634404697
c00100,1,1,25000,50000,2,9076.824264555897
c00100,1,1,50000,75000,2,10437.885648306436
c00100,1,1,75000,100000,2,11983.28420608324
c00100,1,1,100000,200000,2,43531.97755629107
c00100,1,1,200000,500000,2,39808.86676375488
c00100,1,1,500000,9e99,2,15254.063329390936
c00100,1,1,-9e99,1,4,487.90762019214947
c00100,1,1,1,10000,4,1212.8635325860623
c00100,1,1,10000,25000,4,4499.031865312254
c00100,1,1,25000,50000,4,8126.237434915478
c00100,1,1,50000,75000,4,4919.384968227931
c00100,1,1,75000,100000,4,2874.837541274754
c00100,1,1,100000,200000,4,3596.4561769613806
c00100,1,1,200000,500000,4,1287.9367414448498
c00100,1,1,500000,9e99,4,389.4561872445297
e00200,0,1,-9e99,1,0,49208277.627893455
e00200,0,1,1,10000,0,125370065.93772537
e00200,0,1,10000,25000,0,451593567.5202127
e00200,0,1,25000,50000,0,1773615286.7550993
e00200,0,1,50000,75000,0,2510925801.67478
e00200,0,1,75000,100000,0,2454540288.630866
e00200,0,1,100000,200000,0,7709990395.796022
e00200,0,1,200000,500000,0,10706274415.79063
e00200,0,1,500000,9e99,0,12140929043.837427
e26270,0,1,25000,50000,0,6515703.253491231
e26270,0,1,50000,75000,0,18726294.25851498
e26270,0,1,75000,100000,0,24204946.252765816
e26270,0,1,100000,200000,0,129405545.30657414
e26270,0,1,200000,500000,0,444413355.8076283
e26270,0,1,500000,9e99,0,4593500911.969687
e18400,0,1,10000,25000,0,7979314.892327874
e18400,0,1,25000,50000,0,26651829.420031182
e18400,0,1,50000,75000,0,49712999.50747086
e18400,0,1,75000,100000,0,70847907.85471986
e18400,0,1,100000,200000,0,353542751.8318298
e18400,0,1,200000,500000,0,634567053.9708403
e18400,0,1,500000,9e99,0,1501234858.2425892
e18500,0,1,10000,25000,0,22665100.879399195
e18500,0,1,25000,50000,0,43580623.957279086
e18500,0,1,50000,75000,0,65376563.11432667
e18500,0,1,75000,100000,0,77015479.98449314
e18500,0,1,100000,200000,0,301097224.4510816
e18500,0,1,200000,500000,0,415076491.1766797
e18500,0,1,500000,9e99,0,300616378.51571786
