varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,777483.5540489235
c00100,1,1,-9e99,1,0,5671.332037428104
c00100,1,1,1,10000,0,38831.04836140375
c00100,1,1,10000,25000,0,55642.94227320222
c00100,1,1,25000,50000,0,77108.70652894693
c00100,1,1,50000,75000,0,57172.96313676814
c00100,1,1,75000,100000,0,42994.47396277752
c00100,1,1,100000,200000,0,80538.52490326115
c00100,1,1,200000,500000,0,25927.310123526688
c00100,1,1,500000,9e99,0,2653.127653049673
c00100,0,1,1,10000,0,189916517.14544755
c00100,0,1,10000,25000,0,959280238.9045528
c00100,0,1,25000,50000,0,2840630853.093278
c00100,0,1,50000,75000,0,3537188615.8857603
c00100,0,1,75000,100000,0,3734169629.362108
c00100,0,1,100000,200000,0,11147065862.13936
c00100,0,1,200000,500000,0,7012907654.465561
c00100,0,1,500000,9e99,0,3415458492.16497
c00100,1,1,-9e99,1,1,3837.727404163561
c00100,1,1,1,10000,1,33137.25711847846
c00100,1,1,10000,25000,1,39840.46370959473
c00100,1,1,25000,50000,1,46700.20882239694
c00100,1,1,50000,75000,1,31051.200717329157
c00100,1,1,75000,100000,1,19406.20926102983
c00100,1,1,100000,200000,1,21340.34667091717
c00100,1,1,200000,500000,1,2450.583067725446
c00100,1,1,500000,9e99,1,318.50577746384846
c00100,1,1,-9e99,1,2,819.256890135309
c00100,1,1,1,10000,2,1733.7600504854645
c00100,1,1,10000,25000,2,4031.8476986910287
c00100,1,1,25000,50000,2,9328.059738164837
c00100,1,1,50000,75000,2,11414.848581208722
c00100,1,1,75000,100000,2,13245.47971239538
c00100,1,1,100000,200000,2,46752.21599544657
c00100,1,1,200000,500000,2,22317.733569441272
c00100,1,1,500000,9e99,2,2223.5688525947935
c00100,1,1,-9e99,1,4,752.4478485503124
c00100,1,1,1,10000,4,3222.5563807253925
c00100,1,1,10000,25000,4,10240.851432198817
c00100,1,1,25000,50000,4,17477.903706705838
c00100,1,1,50000,75000,4,11031.92236798878
c00100,1,1,75000,100000,4,7513.363668925449
c00100,1,1,100000,200000,4,8485.381948918019
c00100,1,1,200000,500000,4,767.9015553976731
c00100,1,1,500000,9e99,4,65.92923971069322
e00200,0,1,-9e99,1,0,38683958.040139735
e00200,0,1,1,10000,0,139325789.1624243
e00200,0,1,10000,25000,0,671430053.0964729
e00200,0,1,25000,50000,0,2281849899.6983237
e00200,0,1,50000,75000,0,2808262945.8044176
e00200,0,1,75000,100000,0,2895104777.83261
e00200,0,1,100000,200000,0,8657062474.16754
e00200,0,1,200000,500000,0,5082331308.180248
e00200,0,1,500000,9e99,0,1168808533.9978943
e26270,0,1,25000,50000,0,4293896.858501913
e26270,0,1,50000,75000,0,7164721.562438914
e26270,0,1,75000,100000,0,8282524.929646567
e26270,0,1,100000,200000,0,68031093.84834413
e26270,0,1,200000,500000,0,209506888.13456175
e26270,0,1,500000,9e99,0,793236788.4099436
e18400,0,1,10000,25000,0,13023669.641452238
e18400,0,1,25000,50000,0,94528647.94748612
e18400,0,1,50000,75000,0,212051904.69643572
e18400,0,1,75000,100000,0,319395602.155602
e18400,0,1,100000,200000,0,1153906950.922872
e18400,0,1,200000,500000,0,589416650.4923787
e18400,0,1,500000,9e99,0,179899125.88102075
e18500,0,1,10000,25000,0,21422438.817093022
e18500,0,1,25000,50000,0,72267051.76192935
e18500,0,1,50000,75000,0,134805854.83716914
e18500,0,1,75000,100000,0,169767847.65341544
e18500,0,1,100000,200000,0,500396727.2132423
e18500,0,1,200000,500000,0,193503163.5207047
e18500,0,1,500000,9e99,0,27180885.574207388
