varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,692518.3481449584
c00100,1,1,-9e99,1,0,8435.223624930984
c00100,1,1,1,10000,0,38491.75026320823
c00100,1,1,10000,25000,0,54152.33768475907
c00100,1,1,25000,50000,0,89419.44597027138
c00100,1,1,50000,75000,0,59003.28109609257
c00100,1,1,75000,100000,0,37625.53721852995
c00100,1,1,100000,200000,0,61497.20454912598
c00100,1,1,200000,500000,0,20819.143090294725
c00100,1,1,500000,9e99,0,5107.3391405927805
c00100,0,1,1,10000,0,191495449.0765856
c00100,0,1,10000,25000,0,939852751.4331208
c00100,0,1,25000,50000,0,3315728427.977439
c00100,0,1,50000,75000,0,3629774567.788363
c00100,0,1,75000,100000,0,3260264337.628469
c00100,0,1,100000,200000,0,8382917190.07362
c00100,0,1,200000,500000,0,6037791083.875038
c00100,0,1,500000,9e99,0,6925343612.607171
c00100,1,1,-9e99,1,1,5786.572766792346
c00100,1,1,1,10000,1,32394.508495405174
c00100,1,1,10000,25000,1,41223.78164237557
c00100,1,1,25000,50000,1,61369.82912246957
c00100,1,1,50000,75000,1,32438.964400849945
c00100,1,1,75000,100000,1,12639.331149759346
c00100,1,1,100000,200000,1,11025.00780166098
c00100,1,1,200000,500000,1,2996.756866272767
c00100,1,1,500000,9e99,1,705.2415680967242
c00100,1,1,-9e99,1,2,1523.518480344205
c00100,1,1,1,10000,2,3728.614548872816
c00100,1,1,10000,25000,2,6423.6028281558365
c00100,1,1,25000,50000,2,14119.974400963603
c00100,1,1,50000,75000,2,18891.75627513628
c00100,1,1,75000,100000,2,21839.555447683215
c00100,1,1,100000,200000,2,47671.41278153622
c00100,1,1,200000,500000,2,17097.768198926908
c00100,1,1,500000,9e99,2,4258.877866360054
c00100,1,1,-9e99,1,4,949.3417839085632
c00100,1,1,1,10000,4,1861.0993879046048
c00100,1,1,10000,25000,4,5464.572815748111
c00100,1,1,25000,50000,4,11083.874483069623
c00100,1,1,50000,75000,4,5617.044279364395
c00100,1,1,75000,100000,4,2342.1892998307862
c00100,1,1,100000,200000,4,2007.4133540722912
c00100,1,1,200000,500000,4,514.5157067322127
c00100,1,1,500000,9e99,4,95.47980409066844
e00200,0,1,-9e99,1,0,36345329.049785614
e00200,0,1,1,10000,0,136682404.43677
e00200,0,1,10000,25000,0,592219998.5242397
e00200,0,1,25000,50000,0,2519847902.7385716
e00200,0,1,50000,75000,0,2649359387.2958007
e00200,0,1,75000,100000,0,2250454011.185317
e00200,0,1,100000,200000,0,5704425583.902059
e00200,0,1,200000,500000,0,3402340208.4970164
e00200,0,1,500000,9e99,0,2160631304.570728
e26270,0,1,25000,50000,0,9831085.754614202
e26270,0,1,50000,75000,0,21223601.630469896
e26270,0,1,75000,100000,0,32318034.834254652
e26270,0,1,100000,200000,0,182958949.3911785
e26270,0,1,200000,500000,0,513719955.0636484
e26270,0,1,500000,9e99,0,1551406345.4360328
e18400,0,1,10000,25000,0,4862785.886786984
e18400,0,1,25000,50000,0,18518568.77180268
e18400,0,1,50000,75000,0,47385152.7570051
e18400,0,1,75000,100000,0,59876466.73422696
e18400,0,1,100000,200000,0,204478989.803656
e18400,0,1,200000,500000,0,231360195.5219866
e18400,0,1,500000,9e99,0,336348976.0243833
e18500,0,1,10000,25000,0,11662037.501636451
e18500,0,1,25000,50000,0,26073450.91435031
e18500,0,1,50000,75000,0,46681149.347672254
e18500,0,1,75000,100000,0,46088741.0841477
e18500,0,1,100000,200000,0,125027343.6669434
e18500,0,1,200000,500000,0,98616784.41461776
e18500,0,1,500000,9e99,0,55523157.77657087
