varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,776946.4113128926
c00100,1,1,-9e99,1,0,6356.2015155108975
c00100,1,1,1,10000,0,44664.54546269078
c00100,1,1,10000,25000,0,60567.89948740558
c00100,1,1,25000,50000,0,77292.47312770152
c00100,1,1,50000,75000,0,50961.277588753015
c00100,1,1,75000,100000,0,36736.99167988182
c00100,1,1,100000,200000,0,69440.99334024731
c00100,1,1,200000,500000,0,23470.093776665573
c00100,1,1,500000,9e99,0,4804.013266723679
c00100,0,1,1,10000,0,214938382.1301656
c00100,0,1,10000,25000,0,1048555959.8929276
c00100,0,1,25000,50000,0,2824814194.321752
c00100,0,1,50000,75000,0,3151579325.630767
c00100,0,1,75000,100000,0,3191343967.8481183
c00100,0,1,100000,200000,0,9581450719.516296
c00100,0,1,200000,500000,0,6641289019.654322
c00100,0,1,500000,9e99,0,6654742379.375527
c00100,1,1,-9e99,1,1,4173.723602734901
c00100,1,1,1,10000,1,38379.833822283006
c00100,1,1,10000,25000,1,44692.61295226082
c00100,1,1,25000,50000,1,48510.709845874
c00100,1,1,50000,75000,1,25152.128816725217
c00100,1,1,75000,100000,1,11437.499165202924
c00100,1,1,100000,200000,1,9889.010843347283
c00100,1,1,200000,500000,1,2093.6569252229456
c00100,1,1,500000,9e99,1,470.7217550768976
c00100,1,1,-9e99,1,2,1317.0832206694815
c00100,1,1,1,10000,2,3372.6966188871015
c00100,1,1,10000,25000,2,7396.769801202948
c00100,1,1,25000,50000,2,15686.73404775536
c00100,1,1,50000,75000,2,18823.710220320823
c00100,1,1,75000,100000,2,21980.36804788612
c00100,1,1,100000,200000,2,56334.721051115215
c00100,1,1,200000,500000,2,20744.16363371223
c00100,1,1,500000,9e99,2,4190.368904608303
c00100,1,1,-9e99,1,4,716.0967599145656
c00100,1,1,1,10000,4,2427.259679721849
c00100,1,1,10000,25000,4,7453.998639204853
c00100,1,1,25000,50000,4,10932.633396723462
c00100,1,1,50000,75000,4,5244.591595378661
c00100,1,1,75000,100000,4,2481.026874588839
c00100,1,1,100000,200000,4,2386.173206209327
c00100,1,1,200000,500000,4,497.8502234584876
c00100,1,1,500000,9e99,4,108.4719931747504
e00200,0,1,-9e99,1,0,36959059.33728042
e00200,0,1,1,10000,0,151401289.57808065
e00200,0,1,10000,25000,0,630276133.8486527
e00200,0,1,25000,50000,0,2044339579.9059136
e00200,0,1,50000,75000,0,2221021343.118886
e00200,0,1,75000,100000,0,2200734048.4226785
e00200,0,1,100000,200000,0,6866283165.463409
e00200,0,1,200000,500000,0,4472562484.976914
e00200,0,1,500000,9e99,0,2431636610.1148376
e26270,0,1,25000,50000,0,4577640.675042203
e26270,0,1,50000,75000,0,13130774.771878012
e26270,0,1,75000,100000,0,22966723.491642743
e26270,0,1,100000,200000,0,122921659.01756205
e26270,0,1,200000,500000,0,376147972.1458468
e26270,0,1,500000,9e99,0,1582528281.6601355
e18400,0,1,10000,25000,0,2795487.5500612264
e18400,0,1,25000,50000,0,10716762.64728194
e18400,0,1,50000,75000,0,22526616.9887731
e18400,0,1,75000,100000,0,33354328.748800486
e18400,0,1,100000,200000,0,151610237.8758112
e18400,0,1,200000,500000,0,162451858.9801419
e18400,0,1,500000,9e99,0,175502674.24749613
e18500,0,1,10000,25000,0,7167363.861234097
e18500,0,1,25000,50000,0,17020042.480521046
e18500,0,1,50000,75000,0,28757049.35706465
e18500,0,1,75000,100000,0,33167655.57492797
e18500,0,1,100000,200000,0,120785879.95150805
e18500,0,1,200000,500000,0,95533978.39448966
e18500,0,1,500000,9e99,0,43301701.49287627
