varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,708064.8351549122
c00100,1,1,-9e99,1,0,5626.170389661875
c00100,1,1,1,10000,0,34954.91550994114
c00100,1,1,10000,25000,0,50468.61396660041
c00100,1,1,25000,50000,0,82752.81683083817
c00100,1,1,50000,75000,0,53983.743110577634
c00100,1,1,75000,100000,0,33295.53890286809
c00100,1,1,100000,200000,0,59600.09470374795
c00100,1,1,200000,500000,0,23987.31982887253
c00100,1,1,500000,9e99,0,5429.794459830744
c00100,0,1,1,10000,0,174949352.1272554
c00100,0,1,10000,25000,0,877406672.6058396
c00100,0,1,25000,50000,0,3075787094.962531
c00100,0,1,50000,75000,0,3313806504.473651
c00100,0,1,75000,100000,0,2881611557.425159
c00100,0,1,100000,200000,0,8275204114.591535
c00100,0,1,200000,500000,0,6903281611.725645
c00100,0,1,500000,9e99,0,8103109086.604375
c00100,1,1,-9e99,1,1,4015.887765046608
c00100,1,1,1,10000,1,30860.47737296208
c00100,1,1,10000,25000,1,38774.42734515662
c00100,1,1,25000,50000,1,55711.85129309158
c00100,1,1,50000,75000,1,32716.229909866255
c00100,1,1,75000,100000,1,14492.543621537394
c00100,1,1,100000,200000,1,11831.649772325582
c00100,1,1,200000,500000,1,2474.336715872238
c00100,1,1,500000,9e99,1,500.7586210693815
c00100,1,1,-9e99,1,2,697.1345509005115
c00100,1,1,1,10000,2,1590.645031632153
c00100,1,1,10000,25000,2,3790.055445740809
c00100,1,1,25000,50000,2,10457.018263507673
c00100,1,1,50000,75000,2,12479.690340768311
c00100,1,1,75000,100000,2,15022.758632081444
c00100,1,1,100000,200000,2,44567.51727517495
c00100,1,1,200000,500000,2,20835.486155082897
c00100,1,1,500000,9e99,2,4762.116298404902
c00100,1,1,-9e99,1,4,805.1413123076329
c00100,1,1,1,10000,4,2130.6788386677604
c00100,1,1,10000,25000,4,7197.177828310914
c00100,1,1,25000,50000,4,14738.013533826306
c00100,1,1,50000,75000,4,7187.359031819357
c00100,1,1,75000,100000,4,3053.6457088740713
c00100,1,1,100000,200000,4,2513.611901838464
c00100,1,1,200000,500000,4,530.215010544051
c00100,1,1,500000,9e99,4,127.6443543902345
e00200,0,1,-9e99,1,0,30871278.04910279
e00200,0,1,1,10000,0,146079144.80313182
e00200,0,1,10000,25000,0,591902581.3819039
e00200,0,1,25000,50000,0,2417196229.689625
e00200,0,1,50000,75000,0,2525635018.142375
e00200,0,1,75000,100000,0,2011540507.6781616
e00200,0,1,100000,200000,0,5759235701.595098
e00200,0,1,200000,500000,0,4650251731.856248
e00200,0,1,500000,9e99,0,2903664574.345195
e26270,0,1,25000,50000,0,5666427.455277256
e26270,0,1,50000,75000,0,14196997.847141543
e26270,0,1,75000,100000,0,19816295.07925933
e26270,0,1,100000,200000,0,137952126.9470705
e26270,0,1,200000,500000,0,368358041.658637
e26270,0,1,500000,9e99,0,1760836194.9796
e18400,0,1,10000,25000,0,4406258.727900123
e18400,0,1,25000,50000,0,21617049.57493832
e18400,0,1,50000,75000,0,54868428.15141187
e18400,0,1,75000,100000,0,80210088.1912775
e18400,0,1,100000,200000,0,285892576.10315704
e18400,0,1,200000,500000,0,326138248.56696606
e18400,0,1,500000,9e99,0,469074209.4739077
e18500,0,1,10000,25000,0,6827261.67595984
e18500,0,1,25000,50000,0,20902540.03952235
e18500,0,1,50000,75000,0,41105647.86877118
e18500,0,1,75000,100000,0,49954961.53997976
e18500,0,1,100000,200000,0,145596687.95230758
e18500,0,1,200000,500000,0,117724847.98489615
e18500,0,1,500000,9e99,0,64050053.95450262
