varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,766175.484310136
c00100,1,1,-9e99,1,0,8752.641465366201
c00100,1,1,1,10000,0,41618.83497940359
c00100,1,1,10000,25000,0,67319.54768145317
c00100,1,1,25000,50000,0,94295.24549751807
c00100,1,1,50000,75000,0,56184.85666297542
c00100,1,1,75000,100000,0,32751.634464595583
c00100,1,1,100000,200000,0,45183.648701500606
c00100,1,1,200000,500000,0,11507.459996859396
c00100,1,1,500000,9e99,0,2469.079410060161
c00100,0,1,1,10000,0,212139926.1775908
c00100,0,1,10000,25000,0,1157350634.2968037
c00100,0,1,25000,50000,0,3461998774.549406
c00100,0,1,50000,75000,0,3447830620.5841913
c00100,0,1,75000,100000,0,2831395212.1267176
c00100,0,1,100000,200000,0,6082750553.70995
c00100,0,1,200000,500000,0,3243818534.2502723
c00100,0,1,500000,9e99,0,3875193813.380894
c00100,1,1,-9e99,1,1,6207.572265280546
c00100,1,1,1,10000,1,33294.105634379084
c00100,1,1,10000,25000,1,45404.10442279663
c00100,1,1,25000,50000,1,56240.37503484926
c00100,1,1,50000,75000,1,29047.245963060544
c00100,1,1,75000,100000,1,11123.42137091475
c00100,1,1,100000,200000,1,8225.36998112798
c00100,1,1,200000,500000,1,1625.369084245773
c00100,1,1,500000,9e99,1,377.3976343960427
c00100,1,1,-9e99,1,2,1242.972089173932
c00100,1,1,1,10000,2,2859.4023114530128
c00100,1,1,10000,25000,2,6598.364204065628
c00100,1,1,25000,50000,2,14748.401047517236
c00100,1,1,50000,75000,2,17661.23492725251
c00100,1,1,75000,100000,2,18288.606771906205
c00100,1,1,100000,200000,2,34702.73796848461
c00100,1,1,200000,500000,2,9521.20626846111
c00100,1,1,500000,9e99,2,2006.7296718023208
c00100,1,1,-9e99,1,4,1114.8920126864195
c00100,1,1,1,10000,4,4830.80319429396
c00100,1,1,10000,25000,4,13929.265391428831
c00100,1,1,25000,50000,4,19839.96959893101
c00100,1,1,50000,75000,4,7251.825626661442
c00100,1,1,75000,100000,4,2469.0090544513264
c00100,1,1,100000,200000,4,1627.0152403709649
c00100,1,1,200000,500000,4,254.8797634550046
c00100,1,1,500000,9e99,4,57.13655087703946
e00200,0,1,-9e99,1,0,29513126.77167255
e00200,0,1,1,10000,0,157202896.5092044
e00200,0,1,10000,25000,0,852240514.3735067
e00200,0,1,25000,50000,0,2871659258.981768
e00200,0,1,50000,75000,0,2712214254.0192895
e00200,0,1,75000,100000,0,2124300848.4560015
e00200,0,1,100000,200000,0,4439442983.856643
e00200,0,1,200000,500000,0,2029268498.0456035
e00200,0,1,500000,9e99,0,1299242955.2594123
e26270,0,1,25000,50000,0,8408463.598204901
e26270,0,1,50000,75000,0,12447417.99499631
e26270,0,1,75000,100000,0,16235870.185779722
e26270,0,1,100000,200000,0,111689029.52222686
e26270,0,1,200000,500000,0,251755161.2474081
e26270,0,1,500000,9e99,0,820409883.7890689
e18400,0,1,10000,25000,0,2104697.4036308783
e18400,0,1,25000,50000,0,13160999.769057784
e18400,0,1,50000,75000,0,25568388.04625703
e18400,0,1,75000,100000,0,37718182.714690894
e18400,0,1,100000,200000,0,136763398.0109687
e18400,0,1,200000,500000,0,112980243.9147452
e18400,0,1,500000,9e99,0,124650460.16065426
e18500,0,1,10000,25000,0,4526257.306482945
e18500,0,1,25000,50000,0,12283421.037032755
e18500,0,1,50000,75000,0,20707509.88995673
e18500,0,1,75000,100000,0,26118303.858691085
e18500,0,1,100000,200000,0,73837416.94918817
e18500,0,1,200000,500000,0,46009705.49251095
e18500,0,1,500000,9e99,0,26056312.98394271
