varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,725361.8031191863
c00100,1,1,-9e99,1,0,9543.808597847215
c00100,1,1,1,10000,0,42716.8466340982
c00100,1,1,10000,25000,0,91640.2136462238
c00100,1,1,25000,50000,0,82107.04567102715
c00100,1,1,50000,75000,0,33553.0153693732
c00100,1,1,75000,100000,0,17937.588966675172
c00100,1,1,100000,200000,0,23760.83416049186
c00100,1,1,200000,500000,0,5589.129467140043
c00100,1,1,500000,9e99,0,1115.3161535942484
c00100,0,1,1,10000,0,234807896.91643444
c00100,0,1,10000,25000,0,1557377372.819641
c00100,0,1,25000,50000,0,2919631730.4245205
c00100,0,1,50000,75000,0,2047725903.3448677
c00100,0,1,75000,100000,0,1550729650.5742726
c00100,0,1,100000,200000,0,3191957077.430888
c00100,0,1,200000,500000,0,1572346411.786288
c00100,0,1,500000,9e99,0,1461258882.081842
c00100,1,1,-9e99,1,1,6482.9844648556655
c00100,1,1,1,10000,1,31075.741942331653
c00100,1,1,10000,25000,1,47390.03909930713
c00100,1,1,25000,50000,1,36214.51469364424
c00100,1,1,50000,75000,1,13944.473240014657
c00100,1,1,75000,100000,1,4928.258378908686
c00100,1,1,100000,200000,1,3425.106205874389
c00100,1,1,200000,500000,1,653.8364668202769
c00100,1,1,500000,9e99,1,126.43116734507647
c00100,1,1,-9e99,1,2,1335.468906943329
c00100,1,1,1,10000,2,2399.859025059855
c00100,1,1,10000,25000,2,5967.362263556196
c00100,1,1,25000,50000,2,11142.909639752892
c00100,1,1,50000,75000,2,10560.595826893756
c00100,1,1,75000,100000,2,10251.528826084374
c00100,1,1,100000,200000,2,18659.84933196692
c00100,1,1,200000,500000,2,4745.375246399281
c00100,1,1,500000,9e99,2,961.8313079470652
c00100,1,1,-9e99,1,4,1519.601182337855
c00100,1,1,1,10000,4,8724.786752840848
c00100,1,1,10000,25000,4,37117.61894797869
c00100,1,1,25000,50000,4,32574.958249444535
c00100,1,1,50000,75000,4,7848.900512351407
c00100,1,1,75000,100000,4,2306.867882127635
c00100,1,1,100000,200000,4,1338.391077095835
c00100,1,1,200000,500000,4,130.23705991412805
c00100,1,1,500000,9e99,4,23.51878863592407
e00200,0,1,-9e99,1,0,22732198.29798511
e00200,0,1,1,10000,0,176742763.7641899
e00200,0,1,10000,25000,0,1238794251.8150988
e00200,0,1,25000,50000,0,2523578293.173416
e00200,0,1,50000,75000,0,1552522103.806993
e00200,0,1,75000,100000,0,1083112236.1515386
e00200,0,1,100000,200000,0,2122932481.4247155
e00200,0,1,200000,500000,0,794515368.0239432
e00200,0,1,500000,9e99,0,301858270.89442253
e26270,0,1,25000,50000,0,3086866.8439893597
e26270,0,1,50000,75000,0,9881704.071668344
e26270,0,1,75000,100000,0,15317943.555208482
e26270,0,1,100000,200000,0,93531515.48556487
e26270,0,1,200000,500000,0,212162401.1457518
e26270,0,1,500000,9e99,0,515174673.9419278
e18400,0,1,10000,25000,0,2012627.05153808
e18400,0,1,25000,50000,0,17128896.1006165
e18400,0,1,50000,75000,0,21377323.037170317
e18400,0,1,75000,100000,0,19256921.020502787
e18400,0,1,100000,200000,0,63115624.238552086
e18400,0,1,200000,500000,0,50338309.97763827
e18400,0,1,500000,9e99,0,41544632.91594854
e18500,0,1,10000,25000,0,2385345.8329293556
e18500,0,1,25000,50000,0,9588201.918255247
e18500,0,1,50000,75000,0,11877658.03937608
e18500,0,1,75000,100000,0,9628408.20643974
e18500,0,1,100000,200000,0,29018376.739908345
e18500,0,1,200000,500000,0,16996652.641068943
e18500,0,1,500000,9e99,0,7022145.099757848
