varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,1104271
c00100,0,1,-9e99,1,0,-589818000
c00100,0,1,1,10000,0,320581000
c00100,0,1,10000,25000,0,1622940000
c00100,0,1,25000,50000,0,4749675000
c00100,0,1,50000,75000,0,4835636000
c00100,0,1,75000,100000,0,4537764000
c00100,0,1,100000,200000,0,11038259000
c00100,0,1,200000,500000,0,7288244000
c00100,0,1,500000,9e99,0,11184746000
c00100,1,1,-9e99,1,0,13640
c00100,1,1,1,10000,0,64180
c00100,1,1,10000,25000,0,94130
c00100,1,1,25000,50000,0,130250
c00100,1,1,50000,75000,0,78510
c00100,1,1,75000,100000,0,52340
c00100,1,1,100000,200000,0,81630
c00100,1,1,200000,500000,0,25010
c00100,1,1,500000,9e99,0,7310
e00200,0,1,-9e99,1,0,69930000
e00200,0,1,1,10000,0,242063000
e00200,0,1,10000,25000,0,1138957000
e00200,0,1,25000,50000,0,3657623000
e00200,0,1,50000,75000,0,3400523000
e00200,0,1,75000,100000,0,3016154000
e00200,0,1,100000,200000,0,7028721000
e00200,0,1,200000,500000,0,3330356000
e00200,0,1,500000,9e99,0,2130015000
e26270,0,1,-9e99,1,0,-163514000
e26270,0,1,1,10000,0,-5615000
e26270,0,1,10000,25000,0,322000
e26270,0,1,25000,50000,0,19318000
e26270,0,1,50000,75000,0,66793000
e26270,0,1,75000,100000,0,81347000
e26270,0,1,100000,200000,0,436771000
e26270,0,1,200000,500000,0,1050646000
e26270,0,1,500000,9e99,0,2839627000
c00100,1,1,-9e99,1,1,7910
c00100,1,1,1,10000,1,52360
c00100,1,1,10000,25000,1,68360
c00100,1,1,25000,50000,1,81620
c00100,1,1,50000,75000,1,36660
c00100,1,1,75000,100000,1,14700
c00100,1,1,100000,200000,1,12680
c00100,1,1,200000,500000,1,3650
c00100,1,1,500000,9e99,1,1110
c00100,1,1,-9e99,1,2,3930
c00100,1,1,1,10000,2,6420
c00100,1,1,10000,25000,2,12840
c00100,1,1,25000,50000,2,27090
c00100,1,1,50000,75000,2,32360
c00100,1,1,75000,100000,2,33850
c00100,1,1,100000,200000,2,65860
c00100,1,1,200000,500000,2,20630
c00100,1,1,500000,9e99,2,6010
c00100,1,1,-9e99,1,4,1420
c00100,1,1,1,10000,4,4470
c00100,1,1,10000,25000,4,11090
c00100,1,1,25000,50000,4,17550
c00100,1,1,50000,75000,4,7190
c00100,1,1,75000,100000,4,2840
c00100,1,1,100000,200000,4,2260
c00100,1,1,200000,500000,4,510
c00100,1,1,500000,9e99,4,130
