varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,759651.8172157686
c00100,1,1,-9e99,1,0,8294.678085216674
c00100,1,1,1,10000,0,39148.85981815172
c00100,1,1,10000,25000,0,69612.97096391319
c00100,1,1,25000,50000,0,88687.84994061703
c00100,1,1,50000,75000,0,48769.2628142484
c00100,1,1,75000,100000,0,30429.617754413575
c00100,1,1,100000,200000,0,43881.576881216904
c00100,1,1,200000,500000,0,11004.17856935236
c00100,1,1,500000,9e99,0,2399.2752079572674
c00100,0,1,1,10000,0,205989802.9998074
c00100,0,1,10000,25000,0,1206468648.5632553
c00100,0,1,25000,50000,0,3205803189.118141
c00100,0,1,50000,75000,0,2992796578.3691335
c00100,0,1,75000,100000,0,2639577360.277587
c00100,0,1,100000,200000,0,5902102620.251973
c00100,0,1,200000,500000,0,3105469654.832818
c00100,0,1,500000,9e99,0,3208721844.411316
c00100,1,1,-9e99,1,1,5313.470219574885
c00100,1,1,1,10000,1,29490.340555823313
c00100,1,1,10000,25000,1,43284.872094532766
c00100,1,1,25000,50000,1,43630.05816947686
c00100,1,1,50000,75000,1,18342.15950326766
c00100,1,1,75000,100000,1,6899.060326371107
c00100,1,1,100000,200000,1,5481.096995870514
c00100,1,1,200000,500000,1,1256.5965583578588
c00100,1,1,500000,9e99,1,282.67197197843126
c00100,1,1,-9e99,1,2,1552.0108320387544
c00100,1,1,1,10000,2,3718.496263029616
c00100,1,1,10000,25000,2,9305.3243034179
c00100,1,1,25000,50000,2,22106.27486747699
c00100,1,1,50000,75000,2,22767.561226044316
c00100,1,1,75000,100000,2,21110.268433810154
c00100,1,1,100000,200000,2,36781.11009403761
c00100,1,1,200000,500000,2,9450.673640423189
c00100,1,1,500000,9e99,2,2045.228247931654
c00100,1,1,-9e99,1,4,1205.4342611530908
c00100,1,1,1,10000,4,5159.279166477783
c00100,1,1,10000,25000,4,15117.339034861292
c00100,1,1,25000,50000,4,19067.78659611299
c00100,1,1,50000,75000,4,5832.102477716895
c00100,1,1,75000,100000,4,1779.3061825902394
c00100,1,1,100000,200000,4,1086.461233284012
c00100,1,1,200000,500000,4,187.7048087802006
c00100,1,1,500000,9e99,4,39.977713109733365
e00200,0,1,-9e99,1,0,23367380.75129227
e00200,0,1,1,10000,0,155239339.7798603
e00200,0,1,10000,25000,0,861749706.9100153
e00200,0,1,25000,50000,0,2545900682.6659904
e00200,0,1,50000,75000,0,2174482896.7417555
e00200,0,1,75000,100000,0,1793498587.5721133
e00200,0,1,100000,200000,0,3782581429.447091
e00200,0,1,200000,500000,0,1568404552.6325357
e00200,0,1,500000,9e99,0,772464757.2958193
e26270,0,1,25000,50000,0,9066705.390764209
e26270,0,1,50000,75000,0,14251192.974098803
e26270,0,1,75000,100000,0,21874346.5860161
e26270,0,1,100000,200000,0,126538496.43929422
e26270,0,1,200000,500000,0,306065608.1886015
e26270,0,1,500000,9e99,0,1030800446.752612
e18400,0,1,10000,25000,0,2511838.571345578
e18400,0,1,25000,50000,0,13950869.27378128
e18400,0,1,50000,75000,0,20810129.86492733
e18400,0,1,75000,100000,0,26465676.70206832
e18400,0,1,100000,200000,0,110983127.26960652
e18400,0,1,200000,500000,0,105548937.5452732
e18400,0,1,500000,9e99,0,108692373.4582652
e18500,0,1,10000,25000,0,4065452.358005503
e18500,0,1,25000,50000,0,9951942.800556602
e18500,0,1,50000,75000,0,13980080.11186157
e18500,0,1,75000,100000,0,15113312.067312114
e18500,0,1,100000,200000,0,46207704.293465905
e18500,0,1,200000,500000,0,32068512.23562653
e18500,0,1,500000,9e99,0,13742833.421886826
