varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,774948
c00100,1,1,-9e99,1,0,7370
c00100,1,1,1,10000,0,34170
c00100,1,1,10000,25000,0,54050
c00100,1,1,25000,50000,0,85590
c00100,1,1,50000,75000,0,56920
c00100,1,1,75000,100000,0,38100
c00100,1,1,100000,200000,0,67750
c00100,1,1,200000,500000,0,19030
c00100,1,1,500000,9e99,0,4680
c00100,0,1,1,10000,0,179966000
c00100,0,1,10000,25000,0,934480000
c00100,0,1,25000,50000,0,3171896000
c00100,0,1,50000,75000,0,3495546000
c00100,0,1,75000,100000,0,3312091000
c00100,0,1,100000,200000,0,9203861000
c00100,0,1,200000,500000,0,5461095000
c00100,0,1,500000,9e99,0,7797955000
c00100,1,1,-9e99,1,1,4450
c00100,1,1,1,10000,1,28670
c00100,1,1,10000,25000,1,40760
c00100,1,1,25000,50000,1,56780
c00100,1,1,50000,75000,1,30630
c00100,1,1,75000,100000,1,11820
c00100,1,1,100000,200000,1,9590
c00100,1,1,200000,500000,1,2280
c00100,1,1,500000,9e99,1,600
c00100,1,1,-9e99,1,2,1870
c00100,1,1,1,10000,2,2300
c00100,1,1,10000,25000,2,5110
c00100,1,1,25000,50000,2,13290
c00100,1,1,50000,75000,2,18170
c00100,1,1,75000,100000,2,23200
c00100,1,1,100000,200000,2,55800
c00100,1,1,200000,500000,2,16340
c00100,1,1,500000,9e99,2,3980
c00100,1,1,-9e99,1,4,880
c00100,1,1,1,10000,4,2760
c00100,1,1,10000,25000,4,7160
c00100,1,1,25000,50000,4,12970
c00100,1,1,50000,75000,4,6430
c00100,1,1,75000,100000,4,2490
c00100,1,1,100000,200000,4,1820
c00100,1,1,200000,500000,4,340
c00100,1,1,500000,9e99,4,70
e00200,0,1,-9e99,1,0,62660000
e00200,0,1,1,10000,0,149562000
e00200,0,1,10000,25000,0,718115000
e00200,0,1,25000,50000,0,2591515000
e00200,0,1,50000,75000,0,2661860000
e00200,0,1,75000,100000,0,2383446000
e00200,0,1,100000,200000,0,6478432000
e00200,0,1,200000,500000,0,2678204000
e00200,0,1,500000,9e99,0,1379648000
e26270,0,1,25000,50000,0,5033000
e26270,0,1,50000,75000,0,20763000
e26270,0,1,75000,100000,0,29594000
e26270,0,1,100000,200000,0,223482000
e26270,0,1,200000,500000,0,584470000
e26270,0,1,500000,9e99,0,2151678000
e18400,0,1,10000,25000,0,576772.983501681
e18400,0,1,25000,50000,0,2959112.9419941916
e18400,0,1,50000,75000,0,4832763.338789202
e18400,0,1,75000,100000,0,6696136.721748971
e18400,0,1,100000,200000,0,30578222.31579854
e18400,0,1,200000,500000,0,48973705.668414265
e18400,0,1,500000,9e99,0,130559177.93981786
e18500,0,1,10000,25000,0,2572705.139858438
e18500,0,1,25000,50000,0,7464286.403684963
e18500,0,1,50000,75000,0,13039805.863427972
e18500,0,1,75000,100000,0,16015394.586181436
e18500,0,1,100000,200000,0,50329972.04217201
e18500,0,1,200000,500000,0,52440979.922198005
e18500,0,1,500000,9e99,0,31365418.072357308
