varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,647973.7007044388
c00100,1,1,-9e99,1,0,8813.86241012646
c00100,1,1,1,10000,0,34873.507765801376
c00100,1,1,10000,25000,0,51408.37263722008
c00100,1,1,25000,50000,0,74658.35129793761
c00100,1,1,50000,75000,0,48200.84472034628
c00100,1,1,75000,100000,0,31019.674333450537
c00100,1,1,100000,200000,0,43621.20700316452
c00100,1,1,200000,500000,0,9695.614171223491
c00100,1,1,500000,9e99,0,2182.000678977169
c00100,0,1,1,10000,0,181921071.4259733
c00100,0,1,10000,25000,0,884151331.7530948
c00100,0,1,25000,50000,0,2760497115.2321253
c00100,0,1,50000,75000,0,2959818668.913758
c00100,0,1,75000,100000,0,2694529646.5560093
c00100,0,1,100000,200000,0,5787571794.888271
c00100,0,1,200000,500000,0,2769614733.828825
c00100,0,1,500000,9e99,0,2869225715.7268085
c00100,1,1,-9e99,1,1,4662.278574632928
c00100,1,1,1,10000,1,28121.062114286407
c00100,1,1,10000,25000,1,35314.17522460807
c00100,1,1,25000,50000,1,41554.78897147083
c00100,1,1,50000,75000,1,19216.060841204213
c00100,1,1,75000,100000,1,6071.696351710174
c00100,1,1,100000,200000,1,4521.390327000255
c00100,1,1,200000,500000,1,1050.6947391393965
c00100,1,1,500000,9e99,1,252.5556215672248
c00100,1,1,-9e99,1,2,3337.944760357433
c00100,1,1,1,10000,2,3782.528341234526
c00100,1,1,10000,25000,2,7807.751251864156
c00100,1,1,25000,50000,2,18094.4198988809
c00100,1,1,50000,75000,2,22472.365507959796
c00100,1,1,75000,100000,2,23249.81073511403
c00100,1,1,100000,200000,2,38114.95519963141
c00100,1,1,200000,500000,2,8493.169368429986
c00100,1,1,500000,9e99,2,1915.4172678443688
c00100,1,1,-9e99,1,4,642.3612643524862
c00100,1,1,1,10000,4,2602.528341234526
c00100,1,1,10000,25000,4,7403.612643524862
c00100,1,1,25000,50000,4,13059.50301296119
c00100,1,1,50000,75000,4,5431.251379172375
c00100,1,1,75000,100000,4,1378.6949088836889
c00100,1,1,100000,200000,4,723.4447179213599
c00100,1,1,200000,500000,4,96.11115826230343
c00100,1,1,500000,9e99,4,32.41667373934551
e00200,0,1,-9e99,1,0,66831117.0023158
e00200,0,1,1,10000,0,145487521.55146283
e00200,0,1,10000,25000,0,663243587.6062417
e00200,0,1,25000,50000,0,2252064531.7967434
e00200,0,1,50000,75000,0,2257744168.883446
e00200,0,1,75000,100000,0,1940448184.4514227
e00200,0,1,100000,200000,0,3831710186.427731
e00200,0,1,200000,500000,0,1166506192.9022636
e00200,0,1,500000,9e99,0,517047117.06293875
e26270,0,1,25000,50000,0,14109946.627544647
e26270,0,1,50000,75000,0,28546427.646495387
e26270,0,1,75000,100000,0,42985743.72249233
e26270,0,1,100000,200000,0,222872043.11505023
e26270,0,1,200000,500000,0,452956476.1691138
e26270,0,1,500000,9e99,0,923618835.5905282
e18400,0,1,10000,25000,0,1349490.3191773435
e18400,0,1,25000,50000,0,8338285.961493265
e18400,0,1,50000,75000,0,16984528.374252927
e18400,0,1,75000,100000,0,18810456.33619421
e18400,0,1,100000,200000,0,69202672.72238812
e18400,0,1,200000,500000,0,55026850.20323435
e18400,0,1,500000,9e99,0,24506305.695791516
e18500,0,1,10000,25000,0,2396600.876010867
e18500,0,1,25000,50000,0,6321963.31854725
e18500,0,1,50000,75000,0,10698414.406769698
e18500,0,1,75000,100000,0,11933584.801209468
e18500,0,1,100000,200000,0,35077052.661560915
e18500,0,1,200000,500000,0,23595816.357035138
e18500,0,1,500000,9e99,0,11982058.145053511
