varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,689635.9893713534
c00100,1,1,-9e99,1,0,5902.145421555686
c00100,1,1,1,10000,0,34647.533096281266
c00100,1,1,10000,25000,0,47537.31794358046
c00100,1,1,25000,50000,0,77232.38164236667
c00100,1,1,50000,75000,0,54265.98618103956
c00100,1,1,75000,100000,0,37320.25969670521
c00100,1,1,100000,200000,0,68190.30299382146
c00100,1,1,200000,500000,0,25072.882418447065
c00100,1,1,500000,9e99,0,5901.919132853783
c00100,0,1,1,10000,0,177728129.31520042
c00100,0,1,10000,25000,0,817144396.6351218
c00100,0,1,25000,50000,0,2873825188.047932
c00100,0,1,50000,75000,0,3346026503.050576
c00100,0,1,75000,100000,0,3242951691.790746
c00100,0,1,100000,200000,0,9394417644.120922
c00100,0,1,200000,500000,0,7214824091.85696
c00100,0,1,500000,9e99,0,10051919559.710894
c00100,1,1,-9e99,1,1,3695.010512557023
c00100,1,1,1,10000,1,29354.26117577253
c00100,1,1,10000,25000,1,35540.71227410901
c00100,1,1,25000,50000,1,52175.66714965668
c00100,1,1,50000,75000,1,30193.00113079857
c00100,1,1,75000,100000,1,13358.046255250903
c00100,1,1,100000,200000,1,12377.855825332468
c00100,1,1,200000,500000,1,3105.6535198792667
c00100,1,1,500000,9e99,1,821.059725942583
c00100,1,1,-9e99,1,2,1244.917769876042
c00100,1,1,1,10000,2,2903.564982221095
c00100,1,1,10000,25000,2,5865.329543939909
c00100,1,1,25000,50000,2,12142.233219680194
c00100,1,1,50000,75000,2,16285.860030355278
c00100,1,1,75000,100000,2,20162.05887031933
c00100,1,1,100000,200000,2,52483.192807605155
c00100,1,1,200000,500000,2,21145.78336823187
c00100,1,1,500000,9e99,2,4898.287377622227
c00100,1,1,-9e99,1,4,779.5165083691993
c00100,1,1,1,10000,4,1823.148263600755
c00100,1,1,10000,25000,4,4976.615558584395
c00100,1,1,25000,50000,4,10059.37307323533
c00100,1,1,50000,75000,4,5608.4468933136695
c00100,1,1,75000,100000,4,2817.423026154554
c00100,1,1,100000,200000,4,2416.5228159034136
c00100,1,1,200000,500000,4,608.4876966536102
c00100,1,1,500000,9e99,4,121.92902196672958
e00200,0,1,-9e99,1,0,33361714.127242785
e00200,0,1,1,10000,0,132109169.85196428
e00200,0,1,10000,25000,0,551539645.1657287
e00200,0,1,25000,50000,0,2275427203.5523415
e00200,0,1,50000,75000,0,2541235581.742118
e00200,0,1,75000,100000,0,2356937818.2896996
e00200,0,1,100000,200000,0,6783228865.490866
e00200,0,1,200000,500000,0,4692967841.516216
e00200,0,1,500000,9e99,0,3058192656.0351534
e26270,0,1,25000,50000,0,1360005.6883897514
e26270,0,1,50000,75000,0,11065786.205977324
e26270,0,1,75000,100000,0,14383286.023243714
e26270,0,1,100000,200000,0,87910751.87355694
e26270,0,1,200000,500000,0,241850282.32987505
e26270,0,1,500000,9e99,0,1095972195.1465952
e18400,0,1,10000,25000,0,1425201.8847283912
e18400,0,1,25000,50000,0,4796232.5948379515
e18400,0,1,50000,75000,0,12468628.133358609
e18400,0,1,75000,100000,0,20234535.66131975
e18400,0,1,100000,200000,0,67649879.5249885
e18400,0,1,200000,500000,0,62352230.386644736
e18400,0,1,500000,9e99,0,134245478.8137032
e18500,0,1,10000,25000,0,14563177.608365595
e18500,0,1,25000,50000,0,36169280.46546421
e18500,0,1,50000,75000,0,56111348.92448888
e18500,0,1,75000,100000,0,60930837.48544788
e18500,0,1,100000,200000,0,174884253.84404308
e18500,0,1,200000,500000,0,137307585.9040688
e18500,0,1,500000,9e99,0,76950794.58550262
