varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,751167.6540381976
c00100,1,1,-9e99,1,0,6105.091578992173
c00100,1,1,1,10000,0,42074.51577648398
c00100,1,1,10000,25000,0,72464.58006695274
c00100,1,1,25000,50000,0,95696.26123566816
c00100,1,1,50000,75000,0,54312.6059440357
c00100,1,1,75000,100000,0,32931.27637671371
c00100,1,1,100000,200000,0,46534.4913191422
c00100,1,1,200000,500000,0,21071.52448890074
c00100,1,1,500000,9e99,0,5866.548066876804
c00100,0,1,1,10000,0,209218933.89388785
c00100,0,1,10000,25000,0,1279960091.955322
c00100,0,1,25000,50000,0,3463228680.2952776
c00100,0,1,50000,75000,0,3339519406.876718
c00100,0,1,75000,100000,0,2847460760.426243
c00100,0,1,100000,200000,0,6350817862.884878
c00100,0,1,200000,500000,0,6295694972.47507
c00100,0,1,500000,9e99,0,7391998461.747613
c00100,1,1,-9e99,1,1,4200.817555137028
c00100,1,1,1,10000,1,33236.70310808923
c00100,1,1,10000,25000,1,45679.38913280935
c00100,1,1,25000,50000,1,52229.34396080174
c00100,1,1,50000,75000,1,29549.372928120218
c00100,1,1,75000,100000,1,17309.640383873004
c00100,1,1,100000,200000,1,22213.72101578987
c00100,1,1,200000,500000,1,6552.14309328151
c00100,1,1,500000,9e99,1,1141.6383220190032
c00100,1,1,-9e99,1,2,960.2498262031148
c00100,1,1,1,10000,2,3084.367299526358
c00100,1,1,10000,25000,2,7387.470466971069
c00100,1,1,25000,50000,2,14546.273420105654
c00100,1,1,50000,75000,2,12694.034932953871
c00100,1,1,75000,100000,2,9992.611742083647
c00100,1,1,100000,200000,2,19066.041419201443
c00100,1,1,200000,500000,2,13183.438335177296
c00100,1,1,500000,9e99,2,4430.882936606166
c00100,1,1,-9e99,1,4,762.9617139199397
c00100,1,1,1,10000,4,5061.414498255869
c00100,1,1,10000,25000,4,17890.786165233945
c00100,1,1,25000,50000,4,26283.960172052964
c00100,1,1,50000,75000,4,10236.180914497669
c00100,1,1,75000,100000,4,4543.15068276672
c00100,1,1,100000,200000,4,3588.879920560611
c00100,1,1,200000,500000,4,755.4663304397762
c00100,1,1,500000,9e99,4,166.41004513207923
e00200,0,1,-9e99,1,0,25818767.883916568
e00200,0,1,1,10000,0,123249215.57539468
e00200,0,1,10000,25000,0,779766893.1580881
e00200,0,1,25000,50000,0,2726494417.4863763
e00200,0,1,50000,75000,0,2857021304.91322
e00200,0,1,75000,100000,0,2454924218.9404325
e00200,0,1,100000,200000,0,5461745905.363902
e00200,0,1,200000,500000,0,5331619845.17381
e00200,0,1,500000,9e99,0,4195346195.395754
e26270,0,1,25000,50000,0,14108204.083665175
e26270,0,1,50000,75000,0,18626769.748529803
e26270,0,1,75000,100000,0,20358089.17641779
e26270,0,1,100000,200000,0,65665111.15877923
e26270,0,1,200000,500000,0,139277898.7311391
e26270,0,1,500000,9e99,0,841511870.6655126
e18400,0,1,10000,25000,0,4109380.2515623383
e18400,0,1,25000,50000,0,19366932.137796216
e18400,0,1,50000,75000,0,32819685.325920448
e18400,0,1,75000,100000,0,49048592.936645895
e18400,0,1,100000,200000,0,211357542.51983625
e18400,0,1,200000,500000,0,289323901.5404648
e18400,0,1,500000,9e99,0,455039505.4730469
e18500,0,1,10000,25000,0,17632462.62640581
e18500,0,1,25000,50000,0,45422040.22984824
e18500,0,1,50000,75000,0,56449274.85478548
e18500,0,1,75000,100000,0,59449674.70358594
e18500,0,1,100000,200000,0,162775191.0640116
e18500,0,1,200000,500000,0,135715345.97606736
e18500,0,1,500000,9e99,0,76808070.30830203
