varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,785492.1226650315
c00100,1,1,-9e99,1,0,8548.53274205208
c00100,1,1,1,10000,0,33051.94593518169
c00100,1,1,10000,25000,0,59589.79528471279
c00100,1,1,25000,50000,0,94441.52697792
c00100,1,1,50000,75000,0,60822.46460040699
c00100,1,1,75000,100000,0,41016.03088516905
c00100,1,1,100000,200000,0,65374.6840388208
c00100,1,1,200000,500000,0,21476.616522640143
c00100,1,1,500000,9e99,0,7669.035439901335
c00100,0,1,1,10000,0,171836264.04425216
c00100,0,1,10000,25000,0,1043723157.2349322
c00100,0,1,25000,50000,0,3483578265.446094
c00100,0,1,50000,75000,0,3745291077.080905
c00100,0,1,75000,100000,0,3556732947.958927
c00100,0,1,100000,200000,0,8916191040.777466
c00100,0,1,200000,500000,0,6242649856.56134
c00100,0,1,500000,9e99,0,17753823159.38652
c00100,1,1,-9e99,1,1,5790.515907167876
c00100,1,1,1,10000,1,27161.038144140115
c00100,1,1,10000,25000,1,44675.892227390046
c00100,1,1,25000,50000,1,61303.795848600435
c00100,1,1,50000,75000,1,32429.548347010117
c00100,1,1,75000,100000,1,14962.614872283782
c00100,1,1,100000,200000,1,13463.410605153318
c00100,1,1,200000,500000,1,3996.994987579032
c00100,1,1,500000,9e99,1,1501.3347664019643
c00100,1,1,-9e99,1,2,1706.133626016222
c00100,1,1,1,10000,2,2862.740340591058
c00100,1,1,10000,25000,2,5831.460581952536
c00100,1,1,25000,50000,2,14083.456099381325
c00100,1,1,50000,75000,2,18708.088437978728
c00100,1,1,75000,100000,2,21730.526624952243
c00100,1,1,100000,200000,2,48445.78004937531
c00100,1,1,200000,500000,2,16695.687819197803
c00100,1,1,500000,9e99,2,5795.339342353332
c00100,1,1,-9e99,1,4,816.4513288561938
c00100,1,1,1,10000,4,2615.414156360644
c00100,1,1,10000,25000,4,8122.920966642231
c00100,1,1,25000,50000,4,16845.23239465459
c00100,1,1,50000,75000,4,8270.347080351246
c00100,1,1,75000,100000,4,3686.357473774649
c00100,1,1,100000,200000,4,2759.9062898803695
c00100,1,1,200000,500000,4,600.6274068304309
c00100,1,1,500000,9e99,4,231.65297001945927
e00200,0,1,-9e99,1,0,49940192.0243812
e00200,0,1,1,10000,0,131218337.24728908
e00200,0,1,10000,25000,0,763410379.7874215
e00200,0,1,25000,50000,0,2809339600.4448853
e00200,0,1,50000,75000,0,2846449727.1873856
e00200,0,1,75000,100000,0,2546169445.1386476
e00200,0,1,100000,200000,0,5947376158.261113
e00200,0,1,200000,500000,0,3219139419.103658
e00200,0,1,500000,9e99,0,3603662495.478363
e26270,0,1,50000,75000,0,10884842.072361588
e26270,0,1,75000,100000,0,16490724.675838532
e26270,0,1,100000,200000,0,145770092.6983468
e26270,0,1,200000,500000,0,426643556.5485186
e26270,0,1,500000,9e99,0,3015897041.7633495
e18400,0,1,10000,25000,0,1263901.191725406
e18400,0,1,25000,50000,0,4210235.484871267
e18400,0,1,50000,75000,0,6214246.910174179
e18400,0,1,75000,100000,0,8543580.681359043
e18400,0,1,100000,200000,0,42815944.7334093
e18400,0,1,200000,500000,0,73971913.34942038
e18400,0,1,500000,9e99,0,323581257.7791666
e18500,0,1,10000,25000,0,6414184.673736365
e18500,0,1,25000,50000,0,16648691.916371876
e18500,0,1,50000,75000,0,23925150.92552689
e18500,0,1,75000,100000,0,28683921.37882062
e18500,0,1,100000,200000,0,100366833.01597348
e18500,0,1,200000,500000,0,92790764.7577236
e18500,0,1,500000,9e99,0,105305001.55206704
