varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,735406.910331695
c00100,1,1,-9e99,1,0,7400.504055591467
c00100,1,1,1,10000,0,44263.990541061605
c00100,1,1,10000,25000,0,87278.0566014085
c00100,1,1,25000,50000,0,95915.71020258791
c00100,1,1,50000,75000,0,54766.36289793209
c00100,1,1,75000,100000,0,33653.68973650507
c00100,1,1,100000,200000,0,48911.237879989545
c00100,1,1,200000,500000,0,14672.126809008814
c00100,1,1,500000,9e99,0,2115.513839067182
c00100,0,1,1,10000,0,212030978.30781183
c00100,0,1,10000,25000,0,1538389158.6639628
c00100,0,1,25000,50000,0,3472901894.403681
c00100,0,1,50000,75000,0,3366583609.5458035
c00100,0,1,75000,100000,0,2912080970.398009
c00100,0,1,100000,200000,0,6635502312.454568
c00100,0,1,200000,500000,0,4109129578.770995
c00100,0,1,500000,9e99,0,2373499499.2692866
c00100,1,1,-9e99,1,1,4862.926656927685
c00100,1,1,1,10000,1,35494.51416139463
c00100,1,1,10000,25000,1,60149.07033889832
c00100,1,1,25000,50000,1,47869.36932898459
c00100,1,1,50000,75000,1,27238.01628633234
c00100,1,1,75000,100000,1,15281.940047454316
c00100,1,1,100000,200000,1,16017.806743893872
c00100,1,1,200000,500000,1,3022.8677902468116
c00100,1,1,500000,9e99,1,398.4254527102921
c00100,1,1,-9e99,1,2,1801.00614651171
c00100,1,1,1,10000,2,5563.865542996135
c00100,1,1,10000,25000,2,13652.67537880318
c00100,1,1,25000,50000,2,29360.59303181184
c00100,1,1,50000,75000,2,17180.60954659678
c00100,1,1,75000,100000,2,12395.567516089142
c00100,1,1,100000,200000,2,26429.79286562827
c00100,1,1,200000,500000,2,10763.170125798291
c00100,1,1,500000,9e99,2,1601.147605615737
c00100,1,1,-9e99,1,4,537.5668373173204
c00100,1,1,1,10000,4,2243.043122617366
c00100,1,1,10000,25000,4,11472.40486798705
c00100,1,1,25000,50000,4,16031.005000309577
c00100,1,1,50000,75000,4,8402.970328490543
c00100,1,1,75000,100000,4,4639.892368484483
c00100,1,1,100000,200000,4,4793.536932514105
c00100,1,1,200000,500000,4,636.0524176283761
c00100,1,1,500000,9e99,4,73.19569775475615
e00200,0,1,-9e99,1,0,43082266.97007501
e00200,0,1,1,10000,0,117238213.0370588
e00200,0,1,10000,25000,0,648922259.734103
e00200,0,1,25000,50000,0,2207173949.950522
e00200,0,1,50000,75000,0,2593547815.5129
e00200,0,1,75000,100000,0,2274507907.227666
e00200,0,1,100000,200000,0,5070764636.21708
e00200,0,1,200000,500000,0,2823135452.6964264
e00200,0,1,500000,9e99,0,973226377.2231984
e26270,0,1,25000,50000,0,4453474.472999866
e26270,0,1,50000,75000,0,12151641.75225274
e26270,0,1,75000,100000,0,16319211.08487153
e26270,0,1,100000,200000,0,76106403.02701044
e26270,0,1,200000,500000,0,152523432.7959544
e26270,0,1,500000,9e99,0,451791470.92423534
e18400,0,1,10000,25000,0,6258850.524502119
e18400,0,1,25000,50000,0,26496957.528575804
e18400,0,1,50000,75000,0,59835398.27172247
e18400,0,1,75000,100000,0,91406768.00894251
e18400,0,1,100000,200000,0,381011067.2371298
e18400,0,1,200000,500000,0,284372110.8051322
e18400,0,1,500000,9e99,0,169875861.70426777
e18500,0,1,10000,25000,0,17297971.581661522
e18500,0,1,25000,50000,0,39149081.76823322
e18500,0,1,50000,75000,0,47165409.76279253
e18500,0,1,75000,100000,0,49155316.75075551
e18500,0,1,100000,200000,0,153790022.37796822
e18500,0,1,200000,500000,0,80493388.27653007
e18500,0,1,500000,9e99,0,20726280.30005687
