varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,787393.1669086025
c00100,1,1,-9e99,1,0,6847.025445085804
c00100,1,1,1,10000,0,42117.34762663036
c00100,1,1,10000,25000,0,67980.10177148212
c00100,1,1,25000,50000,0,100510.59577308336
c00100,1,1,50000,75000,0,63263.44569563288
c00100,1,1,75000,100000,0,37890.07677404145
c00100,1,1,100000,200000,0,52108.75720767671
c00100,1,1,200000,500000,0,11355.185537990288
c00100,1,1,500000,9e99,0,2605.2569334597574
c00100,0,1,1,10000,0,219213641.8424411
c00100,0,1,10000,25000,0,1172432915.6445456
c00100,0,1,25000,50000,0,3707773729.512706
c00100,0,1,50000,75000,0,3876286896.7591114
c00100,0,1,75000,100000,0,3282578864.8836555
c00100,0,1,100000,200000,0,6916769681.720013
c00100,0,1,200000,500000,0,3235588950.5032887
c00100,0,1,500000,9e99,0,3613050976.684227
c00100,1,1,-9e99,1,1,4553.572652580835
c00100,1,1,1,10000,1,34652.240546084424
c00100,1,1,10000,25000,1,46065.81901986383
c00100,1,1,25000,50000,1,55651.641115905135
c00100,1,1,50000,75000,1,25917.930477706737
c00100,1,1,75000,100000,1,9067.596880429766
c00100,1,1,100000,200000,1,6470.029301243129
c00100,1,1,200000,500000,1,1291.8278033318898
c00100,1,1,500000,9e99,1,293.2164307976542
c00100,1,1,-9e99,1,2,1185.896172623789
c00100,1,1,1,10000,2,3160.838150631296
c00100,1,1,10000,25000,2,8187.431557511025
c00100,1,1,25000,50000,2,17727.138537422965
c00100,1,1,50000,75000,2,21501.767739124884
c00100,1,1,75000,100000,2,23051.703581324837
c00100,1,1,100000,200000,2,41539.3759442824
c00100,1,1,200000,500000,2,9627.087286095844
c00100,1,1,500000,9e99,2,2229.6921418643074
c00100,1,1,-9e99,1,4,907.3507380628716
c00100,1,1,1,10000,4,3578.0053398197733
c00100,1,1,10000,25000,4,11229.507472752231
c00100,1,1,25000,50000,4,16313.918655935542
c00100,1,1,50000,75000,4,6720.634872672376
c00100,1,1,75000,100000,4,2287.8551321788445
c00100,1,1,100000,200000,4,1457.8962756805004
c00100,1,1,200000,500000,4,218.11728655563837
c00100,1,1,500000,9e99,4,51.59461970729353
e00200,0,1,-9e99,1,0,25618581.958523203
e00200,0,1,1,10000,0,165572594.31706408
e00200,0,1,10000,25000,0,797620051.8195274
e00200,0,1,25000,50000,0,2904556139.668056
e00200,0,1,50000,75000,0,2890161729.7941866
e00200,0,1,75000,100000,0,2355870143.7589664
e00200,0,1,100000,200000,0,4873793991.1639
e00200,0,1,200000,500000,0,1825141823.356103
e00200,0,1,500000,9e99,0,1057808076.5019468
e26270,0,1,25000,50000,0,5251524.958057672
e26270,0,1,50000,75000,0,14104394.221551416
e26270,0,1,75000,100000,0,22249960.056044236
e26270,0,1,100000,200000,0,121973305.42367038
e26270,0,1,200000,500000,0,302506913.62515175
e26270,0,1,500000,9e99,0,1020731585.3231694
e18400,0,1,10000,25000,0,1204608.3162152886
e18400,0,1,25000,50000,0,7927792.037774783
e18400,0,1,50000,75000,0,17685771.44141074
e18400,0,1,75000,100000,0,24513096.94115348
e18400,0,1,100000,200000,0,88439289.5684855
e18400,0,1,200000,500000,0,75177510.60895474
e18400,0,1,500000,9e99,0,100031727.49174295
e18500,0,1,10000,25000,0,3719093.245112274
e18500,0,1,25000,50000,0,9409565.90583349
e18500,0,1,50000,75000,0,16423314.190986555
e18500,0,1,75000,100000,0,18644167.105771773
e18500,0,1,100000,200000,0,54324757.9078138
e18500,0,1,200000,500000,0,36794283.69998907
e18500,0,1,500000,9e99,0,21433899.334954925
