varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,799068.6586576904
c00100,1,1,-9e99,1,0,10136.117773682286
c00100,1,1,1,10000,0,39073.31143636791
c00100,1,1,10000,25000,0,65516.805818883746
c00100,1,1,25000,50000,0,85003.52796109206
c00100,1,1,50000,75000,0,50259.13855785817
c00100,1,1,75000,100000,0,32349.39748306428
c00100,1,1,100000,200000,0,47608.28290619878
c00100,1,1,200000,500000,0,11259.152655397274
c00100,1,1,500000,9e99,0,2226.117806712474
c00100,0,1,1,10000,0,200795339.13979447
c00100,0,1,10000,25000,0,1135255927.1784673
c00100,0,1,25000,50000,0,3094316101.730267
c00100,0,1,50000,75000,0,3089513906.9331245
c00100,0,1,75000,100000,0,2806991587.01527
c00100,0,1,100000,200000,0,6401585575.888914
c00100,0,1,200000,500000,0,3168854608.7153754
c00100,0,1,500000,9e99,0,3021622822.556912
c00100,1,1,-9e99,1,1,6142.388261252937
c00100,1,1,1,10000,1,29700.972431805745
c00100,1,1,10000,25000,1,42147.60336699282
c00100,1,1,25000,50000,1,43802.87124121003
c00100,1,1,50000,75000,1,19276.42988828932
c00100,1,1,75000,100000,1,7528.468162391005
c00100,1,1,100000,200000,1,5712.5911469983
c00100,1,1,200000,500000,1,1263.9443534725676
c00100,1,1,500000,9e99,1,288.9965833135881
c00100,1,1,-9e99,1,2,2366.504463196573
c00100,1,1,1,10000,2,4037.048141748861
c00100,1,1,10000,25000,2,9235.401469629094
c00100,1,1,25000,50000,2,21109.04950929074
c00100,1,1,50000,75000,2,22787.729406181064
c00100,1,1,75000,100000,2,21815.128832550457
c00100,1,1,100000,200000,2,39778.412367960955
c00100,1,1,200000,500000,2,9668.418879397104
c00100,1,1,500000,9e99,2,1864.5072013195108
c00100,1,1,-9e99,1,4,1359.4439348167152
c00100,1,1,1,10000,4,4581.104168900271
c00100,1,1,10000,25000,4,12503.969152931377
c00100,1,1,25000,50000,4,16771.423092474095
c00100,1,1,50000,75000,4,6411.474589785269
c00100,1,1,75000,100000,4,2340.0227877628595
c00100,1,1,100000,200000,4,1546.5311032910647
c00100,1,1,200000,500000,4,204.65387486210105
c00100,1,1,500000,9e99,4,41.07672547281119
e00200,0,1,-9e99,1,0,46047701.25565953
e00200,0,1,1,10000,0,156014472.42107347
e00200,0,1,10000,25000,0,829766706.5946089
e00200,0,1,25000,50000,0,2498544992.487417
e00200,0,1,50000,75000,0,2360671372.563643
e00200,0,1,75000,100000,0,2063881256.3482487
e00200,0,1,100000,200000,0,4566711325.430422
e00200,0,1,200000,500000,0,1762049523.7846465
e00200,0,1,500000,9e99,0,680747841.9451547
e26270,0,1,25000,50000,0,6171857.54418283
e26270,0,1,50000,75000,0,18578880.37923817
e26270,0,1,75000,100000,0,28802943.54418363
e26270,0,1,100000,200000,0,136039406.94921198
e26270,0,1,200000,500000,0,308969205.2406132
e26270,0,1,500000,9e99,0,867953446.8732852
e18400,0,1,10000,25000,0,1550669.165020028
e18400,0,1,25000,50000,0,9173757.945470428
e18400,0,1,50000,75000,0,17110156.30721031
e18400,0,1,75000,100000,0,24573594.89469149
e18400,0,1,100000,200000,0,118338366.63042416
e18400,0,1,200000,500000,0,98734954.98032096
e18400,0,1,500000,9e99,0,65089406.572547026
e18500,0,1,10000,25000,0,2772395.686837184
e18500,0,1,25000,50000,0,9132554.940535432
e18500,0,1,50000,75000,0,13071875.96106609
e18500,0,1,75000,100000,0,14546576.192702208
e18500,0,1,100000,200000,0,57037511.32823902
e18500,0,1,200000,500000,0,35209606.148888715
e18500,0,1,500000,9e99,0,14856496.137052262
