varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,709267.6405080454
c00100,1,1,-9e99,1,0,7754.209935843447
c00100,1,1,1,10000,0,33156.769343394844
c00100,1,1,10000,25000,0,55440.19894174207
c00100,1,1,25000,50000,0,81728.0706458417
c00100,1,1,50000,75000,0,49713.7129094108
c00100,1,1,75000,100000,0,33710.42048603682
c00100,1,1,100000,200000,0,53747.70475897401
c00100,1,1,200000,500000,0,17199.69846121684
c00100,1,1,500000,9e99,0,4233.298301417814
c00100,0,1,1,10000,0,171705309.7138972
c00100,0,1,10000,25000,0,968869648.4589846
c00100,0,1,25000,50000,0,2991095874.490499
c00100,0,1,50000,75000,0,3062592340.218647
c00100,0,1,75000,100000,0,2922971489.2399554
c00100,0,1,100000,200000,0,7327793694.424324
c00100,0,1,200000,500000,0,4953698374.083267
c00100,0,1,500000,9e99,0,5906121055.705463
c00100,1,1,-9e99,1,1,4884.019832729712
c00100,1,1,1,10000,1,27077.12781392105
c00100,1,1,10000,25000,1,40243.48032576182
c00100,1,1,25000,50000,1,50550.26816249566
c00100,1,1,50000,75000,1,24157.219734402643
c00100,1,1,75000,100000,1,11186.650952905198
c00100,1,1,100000,200000,1,9831.390970201672
c00100,1,1,200000,500000,1,2324.400229141568
c00100,1,1,500000,9e99,1,542.4123064043438
c00100,1,1,-9e99,1,2,1709.3061301087669
c00100,1,1,1,10000,2,3266.570386077752
c00100,1,1,10000,25000,2,7135.500557378353
c00100,1,1,25000,50000,2,15599.602606352037
c00100,1,1,50000,75000,2,18444.20098438576
c00100,1,1,75000,100000,2,19453.153252040145
c00100,1,1,100000,200000,2,41376.70967943971
c00100,1,1,200000,500000,2,14307.65433890871
c00100,1,1,500000,9e99,2,3554.3850402936014
c00100,1,1,-9e99,1,4,949.6408682688036
c00100,1,1,1,10000,4,2306.962914884151
c00100,1,1,10000,25000,4,7055.689492581183
c00100,1,1,25000,50000,4,13472.189024502444
c00100,1,1,50000,75000,4,5687.358317042631
c00100,1,1,75000,100000,4,2414.1522355767634
c00100,1,1,100000,200000,4,1921.8808764427015
c00100,1,1,200000,500000,4,432.9428419519257
c00100,1,1,500000,9e99,4,100.99814680443264
e00200,0,1,-9e99,1,0,39052017.47540591
e00200,0,1,1,10000,0,127334305.43295576
e00200,0,1,10000,25000,0,637931911.9928039
e00200,0,1,25000,50000,0,2276203007.422024
e00200,0,1,50000,75000,0,2195968085.5018177
e00200,0,1,75000,100000,0,1987770219.797325
e00200,0,1,100000,200000,0,4778643588.071957
e00200,0,1,200000,500000,0,2685727938.190705
e00200,0,1,500000,9e99,0,1685850956.405068
e26270,0,1,25000,50000,0,7303111.530010636
e26270,0,1,50000,75000,0,21107660.365996458
e26270,0,1,75000,100000,0,32275679.16157987
e26270,0,1,100000,200000,0,176762829.34071058
e26270,0,1,200000,500000,0,491866246.1880896
e26270,0,1,500000,9e99,0,1607180835.7264807
e18400,0,1,10000,25000,0,10549269.653469376
e18400,0,1,25000,50000,0,47185372.55960973
e18400,0,1,50000,75000,0,93201292.47005866
e18400,0,1,75000,100000,0,119023348.97440492
e18400,0,1,100000,200000,0,391317967.7432207
e18400,0,1,200000,500000,0,328394507.39761597
e18400,0,1,500000,9e99,0,336690936.8309664
e18500,0,1,10000,25000,0,13859778.729761217
e18500,0,1,25000,50000,0,34661889.27431701
e18500,0,1,50000,75000,0,57254651.727651365
e18500,0,1,75000,100000,0,62459357.5497094
e18500,0,1,100000,200000,0,169838288.9961334
e18500,0,1,200000,500000,0,108560836.01523767
e18500,0,1,500000,9e99,0,49876712.602857016
