varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,763567.0620950074
c00100,1,1,-9e99,1,0,6617.8199856998235
c00100,1,1,1,10000,0,45144.480053965424
c00100,1,1,10000,25000,0,62684.355418896615
c00100,1,1,25000,50000,0,94255.381280493
c00100,1,1,50000,75000,0,60257.90942101359
c00100,1,1,75000,100000,0,38927.68204707452
c00100,1,1,100000,200000,0,63606.44585421871
c00100,1,1,200000,500000,0,17561.315306862554
c00100,1,1,500000,9e99,0,3807.035747581846
c00100,0,1,1,10000,0,221616049.00972167
c00100,0,1,10000,25000,0,1086913728.3301127
c00100,0,1,25000,50000,0,3476785223.9193068
c00100,0,1,50000,75000,0,3709698072.0212264
c00100,0,1,75000,100000,0,3377337581.0111966
c00100,0,1,100000,200000,0,8656199700.733206
c00100,0,1,200000,500000,0,4966663705.238124
c00100,0,1,500000,9e99,0,6091278710.797777
c00100,1,1,-9e99,1,1,4445.389286704882
c00100,1,1,1,10000,1,38071.84698690918
c00100,1,1,10000,25000,1,43850.67270243283
c00100,1,1,25000,50000,1,57758.5159478214
c00100,1,1,50000,75000,1,31716.94262242393
c00100,1,1,75000,100000,1,12593.15278010852
c00100,1,1,100000,200000,1,9444.227059640496
c00100,1,1,200000,500000,1,1803.170328061453
c00100,1,1,500000,9e99,1,428.2742026737056
c00100,1,1,-9e99,1,2,1174.6632957641812
c00100,1,1,1,10000,2,3118.437239048475
c00100,1,1,10000,25000,2,6618.396720682444
c00100,1,1,25000,50000,2,14462.610244405829
c00100,1,1,50000,75000,2,18522.003834684943
c00100,1,1,75000,100000,2,22454.091298200776
c00100,1,1,100000,200000,2,51272.827896497925
c00100,1,1,200000,500000,2,15224.24796734284
c00100,1,1,500000,9e99,2,3289.8254535457045
c00100,1,1,-9e99,1,4,817.0076334520098
c00100,1,1,1,10000,4,3388.831409095919
c00100,1,1,10000,25000,4,10923.304159676349
c00100,1,1,25000,50000,4,18717.37429941275
c00100,1,1,50000,75000,4,7500.889226634325
c00100,1,1,75000,100000,4,2903.9508643789345
c00100,1,1,100000,200000,4,2025.5793584169685
c00100,1,1,200000,500000,4,365.8275538409973
c00100,1,1,500000,9e99,4,59.05009532046734
e00200,0,1,-9e99,1,0,49746709.71546569
e00200,0,1,1,10000,0,181344358.7822818
e00200,0,1,10000,25000,0,699480296.7467263
e00200,0,1,25000,50000,0,2701642646.142729
e00200,0,1,50000,75000,0,2772134747.8302264
e00200,0,1,75000,100000,0,2390712109.4865003
e00200,0,1,100000,200000,0,6122953147.474808
e00200,0,1,200000,500000,0,3155615016.122223
e00200,0,1,500000,9e99,0,1699029141.8940625
e26270,0,1,25000,50000,0,4889046.5242301375
e26270,0,1,50000,75000,0,13016505.8496918
e26270,0,1,75000,100000,0,16043794.70181644
e26270,0,1,100000,200000,0,104443435.70591664
e26270,0,1,200000,500000,0,298952822.6870281
e26270,0,1,500000,9e99,0,1373042874.6115136
e18400,0,1,10000,25000,0,2769869.1575572854
e18400,0,1,25000,50000,0,15877877.997045197
e18400,0,1,50000,75000,0,30512747.24793048
e18400,0,1,75000,100000,0,39004335.74936811
e18400,0,1,100000,200000,0,131330956.86210498
e18400,0,1,200000,500000,0,122704755.79177044
e18400,0,1,500000,9e99,0,147824957.3069697
e18500,0,1,10000,25000,0,6242104.850343456
e18500,0,1,25000,50000,0,17265913.552075505
e18500,0,1,50000,75000,0,32416255.556281295
e18500,0,1,75000,100000,0,35395605.41579262
e18500,0,1,100000,200000,0,104475425.16305384
e18500,0,1,200000,500000,0,69477871.2369739
e18500,0,1,500000,9e99,0,34894845.06089858
