GEOID,NAME,variable,estimate,moe
0101,"Congressional District 1 (116th Congress), Alabama",B01003_001,735373,2819
0102,"Congressional District 2 (116th Congress), Alabama",B01003_001,690107,6886
0103,"Congressional District 3 (116th Congress), Alabama",B01003_001,742147,5538
0104,"Congressional District 4 (116th Congress), Alabama",B01003_001,708532,6011
0105,"Congressional District 5 (116th Congress), Alabama",B01003_001,773212,216
0106,"Congressional District 6 (116th Congress), Alabama",B01003_001,723686,10486
0107,"Congressional District 7 (116th Congress), Alabama",B01003_001,666820,12561
0200,"Congressional District (at Large) (116th Congress), Alaska",B01003_001,732673,NA
0401,"Congressional District 1 (116th Congress), Arizona",B01003_001,774354,9460
0402,"Congressional District 2 (116th Congress), Arizona",B01003_001,754647,11777
0403,"Congressional District 3 (116th Congress), Arizona",B01003_001,780337,17156
0404,"Congressional District 4 (116th Congress), Arizona",B01003_001,848908,14318
0405,"Congressional District 5 (116th Congress), Arizona",B01003_001,891118,12021
0406,"Congressional District 6 (116th Congress), Arizona",B01003_001,786168,18892
0407,"Congressional District 7 (116th Congress), Arizona",B01003_001,791774,17716
0408,"Congressional District 8 (116th Congress), Arizona",B01003_001,863775,15497
0409,"Congressional District 9 (116th Congress), Arizona",B01003_001,785235,16402
0501,"Congressional District 1 (116th Congress), Arkansas",B01003_001,714143,3986
0502,"Congressional District 2 (116th Congress), Arkansas",B01003_001,771880,2385
0503,"Congressional District 3 (116th Congress), Arkansas",B01003_001,851053,4247
0504,"Congressional District 4 (116th Congress), Arkansas",B01003_001,688815,4620
0601,"Congressional District 1 (116th Congress), California",B01003_001,701063,6859
0602,"Congressional District 2 (116th Congress), California",B01003_001,718090,6014
0603,"Congressional District 3 (116th Congress), California",B01003_001,762445,7011
0604,"Congressional District 4 (116th Congress), California",B01003_001,782605,8401
0605,"Congressional District 5 (116th Congress), California",B01003_001,710312,8461
0606,"Congressional District 6 (116th Congress), California",B01003_001,784724,11037
0607,"Congressional District 7 (116th Congress), California",B01003_001,789764,12031
0608,"Congressional District 8 (116th Congress), California",B01003_001,759705,11082
0609,"Congressional District 9 (116th Congress), California",B01003_001,808663,10872
0610,"Congressional District 10 (116th Congress), California",B01003_001,774782,6520
0611,"Congressional District 11 (116th Congress), California",B01003_001,771855,10183
0612,"Congressional District 12 (116th Congress), California",B01003_001,718792,8342
0613,"Congressional District 13 (116th Congress), California",B01003_001,761542,4010
0614,"Congressional District 14 (116th Congress), California",B01003_001,719826,10814
0615,"Congressional District 15 (116th Congress), California",B01003_001,784297,6867
0616,"Congressional District 16 (116th Congress), California",B01003_001,751686,13839
0617,"Congressional District 17 (116th Congress), California",B01003_001,771306,10559
0618,"Congressional District 18 (116th Congress), California",B01003_001,721174,13755
0619,"Congressional District 19 (116th Congress), California",B01003_001,722407,13915
0620,"Congressional District 20 (116th Congress), California",B01003_001,748911,7204
0621,"Congressional District 21 (116th Congress), California",B01003_001,718991,17274
0622,"Congressional District 22 (116th Congress), California",B01003_001,810279,15745
