STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N20950,A20950,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
US,0,"152,455,900","72,858,670","54,719,600","21,580,140","134,694,080","9,565,250","81,314,050","93,575,420","291,781,490","94,162,650","3,348,720","1,574,100","126,190","1,648,430","459,020","21,055,350","37,059,830","10,991,386,516","151,883,220","11,148,878,322","125,810,680","7,557,396,023","43,997,810","106,605,858","28,136,800","279,740,132","26,166,960","214,614,828","19,964,380","34,409,554","26,044,990","350,904,404","25,494,330","855,728,034","15,020,410","283,187,706","28,326,900","729,165,302","1,840,560","5,231,660","24,378,318","20,763,960","308,253,971","9,038,470","677,726,637","38,807,000","157,491,806","3,542,260","910,489","1,010,470","25,374,746","4,147,040","31,628,858","2,606,950","13,156,611","12,316,470","13,336,451","1,094,280","2,561,099","781,800","14,947,644","47,103,650","1,403,313,346","10,077,080","102,103,653","34,132,100","368,945,149","10,809,950","19,993,888","39,019,720","219,756,597","46,595,670","624,144,302","19,384,000","10,468,402","33,390,710","287,021,778","825,780","4,416,156","2,087,350","1,390,831","2,330,950","3,564,963","1,424,180","16,917,319","37,972,110","256,340,776","13,424,270","122,371,154","1,799,970","36,535,738","118,868,190","8,002,481,273","118,462,670","1,662,439,370","5,106,080","36,573,829","3,089,680","3,399,229","45,983,760","72,681,583","8,701,490","22,081,045","6,576,700","3,725,526","8,890,580","9,417,552","8,676,440","1,547,978","22,117,110","26,842,495","1,593,770","2,189,071","19,898,100","62,925,144","5,484,120","29,552,178","6,232,750","32,814,598","4,654,990","3,666,084","143,785,130","1,941,684,251","26,838,260","65,334,130","22,749,580","55,833,625","17,892,310","23,861,880","8,028,050","7,120,297","2,316,780","1,852,412","107,576,550","1,589,760,706","116,802,320","1,696,149,449","4,034,160","8,673,612","4,525,030","25,522,042","30,931,860","180,977,680","116,526,500","421,439,708","113,470,180","336,086,491","3,890,090","85,353,222"
US,1,"2,104,070","1,259,420","660,720","88,950","1,443,300","332,930","1,336,940","479,060","3,182,590","523,350","24,320","13,840",280,"10,200",360,"61,900","975,830","-231,640,267","1,531,620","-228,928,309","558,180","21,230,099","665,020","5,897,312","443,090","5,242,513","402,220","3,585,585","57,460","344,668","717,340","-11,275,681","630,590","17,508,592","162,980","2,622,632","235,270","3,140,106","161,100","14,920","77,647","3,800","21,993","392,120","-55,000,817","465,610","2,711,958","7,740","1,867","3,660","73,500","114,480","665,513","11,950","62,232","86,060","101,099","65,560","231,974","26,270","608,817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,640","222,029","5,480","206,638","34,880","11,754","8,580","28,917",640,130,0,0,"1,430","1,034",760,598,"4,200","3,187",0,0,"253,770","664,073","209,980","1,572,577","223,350","1,505,215","1,860","1,474","919,070","6,472,660","181,960","208,954","116,780","141,144","76,420","119,676","92,840","87,341","151,100","166,164","37,720","193,108","328,140","1,001,025","13,390","28,199","3,550","41,688","191,420","389,346","829,800","5,862,115","772,340","4,066,981","72,610","1,795,138"
US,2,"20,466,760","16,792,260","1,630,980","1,763,300","17,280,390","1,586,700","9,405,140","10,840,880","19,107,580","4,126,630","880,680","427,330","9,110","444,240","181,490","2,346,000","3,866,000","106,085,375","20,466,540","109,307,936","15,108,520","87,676,119","2,817,180","1,289,187","1,756,180","2,276,483","1,580,660","1,460,556","141,130","106,773","3,410,740","12,601,925","1,500,310","949,636","894,830","3,535,821","1,860,590","8,601,661","107,030","281,550","804,625","53,140","231,678","264,020","-677,231","3,375,380","3,222,561","28,390","6,207","5,580","30,861","203,650","630,768","41,950","138,445","336,390","299,407","200,790","613,547","15,600","56,146","763,190","12,632,316","532,820","5,095,279","184,250","383,585","411,750","262,255","523,270","2,082,104","711,390","2,862,467","221,810","96,656","376,640","2,605,057","9,450","55,520","17,340","8,933","36,480","67,256","14,280","25,850","436,050","580,465","300,830","972,608","28,540","300,578","2,305,960","4,032,482","2,278,300","459,900","1,260","6,072","145,800","52,374","145,220","18,222","91,820","3,910",360,124,"29,750","8,144","5,720","1,251","10,420","3,341","1,820",461,"2,829,230","2,218,907","661,530","3,924,727","696,410","3,896,254","14,870","8,070","17,032,330","16,391,642","6,347,050","7,154,125","5,365,680","6,128,145","1,861,240","1,271,804","775,290","666,607","418,160","256,510","2,226,090","441,714","5,140,000","2,737,333","1,220","1,317","1,950","12,094","2,122,240","1,045,338","15,854,510","14,496,300","15,766,320","14,290,436","111,680","205,861"
US,3,"31,868,260","19,239,930","4,596,810","7,483,940","28,264,610","1,947,400","16,092,020","22,562,750","53,287,350","18,912,550","1,089,230","552,950","26,050","510,240","183,290","6,813,250","6,441,460","547,983,849","31,868,260","557,013,971","25,303,440","424,335,720","4,279,110","3,052,150","2,435,440","5,406,675","2,196,280","3,478,617","493,420","330,806","5,992,280","47,994,652","2,078,420","3,754,372","1,992,110","14,485,751","4,445,420","47,573,991","206,150","1,214,280","4,862,711","2,289,090","4,277,728","565,130","1,362,241","6,656,020","9,030,122","166,350","38,398","19,490","124,443","440,420","1,439,561","203,610","674,240","1,354,680","1,202,833","115,870","298,470","31,940","105,590","2,398,150","38,656,715","1,409,740","12,652,657","880,050","1,204,635","1,200,200","960,463","1,553,360","5,604,052","2,292,590","8,278,568","774,900","376,021","1,133,760","7,257,675","29,150","153,659","48,870","29,834","115,560","188,274","30,450","49,543","1,582,640","3,679,356","848,330","5,232,888","95,610","976,272","20,300,470","130,768,042","20,207,140","13,910,734","5,870","11,512","770,660","265,497","6,097,130","2,119,047","291,500","29,338","352,940","113,958","1,831,100","1,034,667","2,227,290","374,322","1,661,370","531,356","59,220","21,755","4,901,760","8,458,542","2,054,510","10,759,622","2,105,320","10,747,186","1,449,650","805,527","29,774,560","92,971,552","12,048,880","40,414,985","10,576,960","35,217,046","8,704,690","11,993,302","1,959,350","1,669,305","1,009,880","658,120","16,425,530","11,791,776","20,418,430","21,216,794","2,690","2,934","2,310","13,521","3,396,590","3,856,409","27,513,880","75,475,038","27,346,900","75,023,415","229,440","451,625"
US,4,"36,092,270","18,904,730","8,626,460","7,469,230","32,240,070","2,055,510","18,185,390","25,497,440","67,542,260","23,037,600","897,360","453,040","39,600","404,720","92,900","6,628,060","7,356,170","1,309,476,019","36,092,270","1,326,003,621","31,305,470","1,080,871,317","6,725,990","4,959,013","3,718,750","10,053,383","3,391,770","6,774,829","2,169,030","1,415,709","4,753,830","40,790,008","3,205,920","8,958,219","2,642,530","27,030,366","5,812,130","99,281,781","320,850","1,465,210","6,942,590","5,365,980","36,912,206","970,350","6,942,986","8,120,180","16,527,602","639,990","153,565","52,530","451,876","648,360","2,903,308","583,650","2,298,347","3,727,720","3,947,287","115,930","262,466","65,010","237,983","6,756,380","112,866,984","2,565,880","22,255,369","3,976,650","7,539,339","2,270,760","2,703,707","4,601,480","15,582,854","6,596,580","27,597,788","2,509,090","1,277,080","3,854,820","23,650,006","101,110","502,785","163,650","145,207","527,870","785,227","63,220","104,586","4,833,560","13,894,399","2,602,740","20,923,909","247,780","2,564,685","34,575,900","679,166,774","34,390,040","84,109,127","7,650","25,405","1,332,090","991,599","14,089,510","12,036,620","863,520","174,420","1,571,280","916,344","2,655,310","2,677,819","5,046,540","938,213","7,718,370","7,036,432","275,420","196,843","3,311,110","8,255,219","1,988,990","10,072,727","2,162,150","11,041,611","1,993,490","1,296,928","35,058,760","152,016,836","8,113,640","17,503,804","6,591,600","14,310,148","6,161,670","8,929,457","1,830,190","1,565,289","606,430","583,584","28,571,520","72,072,868","30,182,290","82,033,647","5,840","7,266","4,800","18,808","5,647,950","9,385,043","30,195,460","78,933,973","29,897,250","77,975,003","410,260","958,968"
US,5,"20,843,440","8,772,260","8,755,380","2,664,080","18,561,440","1,207,350","11,364,940","13,326,560","42,941,860","13,360,260","285,950","92,970","22,770","170,220",980,"2,664,790","5,679,840","1,281,367,153","20,843,440","1,297,072,763","17,850,960","995,474,843","6,590,720","5,586,064","3,793,880","13,250,838","3,500,470","9,237,145","3,354,950","2,617,376","3,080,310","31,117,709","3,294,720","13,470,931","2,417,360","33,261,075","4,807,040","118,244,641","285,430","854,610","4,245,460","4,251,650","64,622,449","963,530","10,586,247","6,066,370","15,705,610","672,370","167,205","64,490","687,401","509,360","3,011,399","526,080","2,430,648","2,878,340","3,249,414","177,860","355,373","72,500","272,060","7,845,070","144,621,816","2,110,520","19,835,293","5,537,520","16,693,373","1,911,900","2,918,306","6,227,250","22,512,268","7,758,980","44,213,285","3,144,670","1,485,701","5,412,720","35,227,638","133,840","631,371","260,120","216,478","733,080","1,134,455","86,020","157,044","5,979,060","19,247,451","2,636,080","20,511,964","272,400","2,995,565","20,700,100","835,941,450","20,630,450","118,624,207","27,730","50,357","488,400","896,224","8,041,030","11,424,079","1,094,750","315,385","1,011,380","573,416","1,510,590","1,852,315","1,396,130","233,594","5,184,910","7,910,418","304,600","321,606","2,178,330","6,226,042","460,260","2,676,626","662,320","3,686,476","694,060","659,770","20,428,340","147,641,604","146,740","52,262","98,570","37,142","914,500","1,271,725","1,058,650","958,004","111,990","155,689","19,657,610","107,200,213","19,961,800","114,712,591","5,760","6,435","5,190","18,463","4,939,900","11,741,500","15,819,100","44,190,492","15,487,140","42,990,601","440,340","1,199,887"
US,6,"13,465,530","3,729,370","8,372,960","1,066,710","12,033,860","766,330","7,662,310","8,200,670","31,440,150","9,606,430","101,820","21,140","13,620","67,060",0,"1,266,250","4,169,240","1,166,938,390","13,465,530","1,180,038,150","11,527,400","874,565,320","5,709,790","5,576,822","3,449,140","14,527,592","3,201,600","10,410,687","3,393,390","3,178,174","2,274,490","27,340,264","3,020,750","16,913,394","2,046,240","37,072,601","3,724,880","115,611,933","234,570","551,170","2,737,446","3,134,510","62,844,721","909,750","13,241,511","4,038,960","13,099,760","590,870","155,768","72,310","891,034","403,660","2,795,613","377,670","2,022,644","1,604,220","1,818,933","55,690","109,049","72,250","285,183","7,081,630","147,529,492","1,444,020","14,656,853","5,410,500","23,340,875","1,404,710","2,599,756","5,998,720","24,719,758","7,038,130","52,683,999","2,993,930","1,451,838","5,271,620","38,535,993","126,730","574,513","292,620","216,801","698,460","1,187,103","100,660","195,902","5,689,770","20,579,896","2,078,030","15,694,185","240,700","2,867,952","13,419,030","820,162,756","13,380,290","123,598,294","80,620","136,303","175,970","527,212","5,534,170","9,173,147","1,076,620","387,462","927,560","544,925","1,125,510","1,436,262",0,0,"3,721,490","6,197,657","258,920","339,125","1,642,750","5,330,242","93,520","472,990","216,070","1,103,930","258,940","332,910","13,269,580","142,917,743",0,0,0,0,"131,820","206,359","796,870","726,779","17,400","28,446","13,220,070","114,425,369","13,280,410","120,838,706","8,340","6,956","5,920","17,070","3,655,770","11,142,668","9,766,770","32,954,340","9,452,110","31,588,906","411,340","1,365,436"
US,7,"19,896,460","3,263,730","15,526,220","848,900","17,879,200","1,172,600","11,704,750","10,476,460","52,344,480","16,926,840","65,650","12,200","13,910","39,550",0,"1,155,340","6,136,530","2,701,132,620","19,896,460","2,733,928,282","17,402,560","2,005,665,280","11,085,330","14,475,461","7,470,850","45,480,866","7,023,640","34,120,970","7,492,800","9,084,879","3,894,950","71,407,358","6,736,060","67,581,726","3,448,240","94,239,123","5,687,800","235,009,491","361,500","692,470","3,712,694","4,257,310","100,696,591","2,300,960","60,070,320","7,149,880","32,795,662","1,190,130","323,850","274,320","4,540,468","860,490","7,426,128","692,840","3,924,114","2,329,060","2,717,478","362,580","690,220","184,690","986,307","15,037,580","393,415,864","1,746,880","20,826,475","12,167,470","87,838,814","2,470,950","5,972,963","13,486,730","72,522,672","14,989,120","171,406,986","6,717,010","3,657,252","11,925,900","104,691,460","281,440","1,277,134","798,450","501,754","219,510","202,648","363,620","938,279","12,881,990","56,563,550","3,661,660","28,848,720","519,030","7,562,536","19,859,270","2,037,849,630","19,824,640","354,395,120","694,730","1,653,231","120,310","537,812","8,542,180","12,017,002","2,652,600","1,632,409","1,931,780","1,133,551","1,736,880","2,407,311",0,0,"3,813,590","5,157,511","493,510","795,112","2,915,610","12,673,745","15,330","72,909","141,520","694,376","197,570","388,348","19,674,490","382,385,605",0,0,0,0,"41,980","69,557","1,514,860","1,446,972","1,820","3,899","19,745,940","342,379,700","19,782,610","357,660,678","204,870","64,662","94,730","92,068","7,032,930","34,299,414","12,806,390","58,488,191","12,061,100","52,904,958","971,370","5,583,239"
US,8,"6,230,560","728,610","5,288,930","158,170","5,642,920","396,650","4,272,400","1,974,550","17,639,970","6,122,680","3,700",640,860,"2,200",0,"116,400","1,925,620","1,778,786,987","6,230,560","1,809,390,435","5,496,310","1,209,162,195","4,739,590","14,235,654","3,847,550","53,195,997","3,684,780","41,811,071","2,268,320","5,272,883","1,505,860","72,799,528","3,762,340","109,870,376","1,162,240","54,510,972","1,497,820","85,808,301","122,030","143,590","899,078","1,144,140","30,876,514","1,763,050","140,045,291","2,168,960","30,603,448","231,480","59,919","337,350","9,497,620","636,210","7,613,834","131,200","1,222,541",0,0,0,0,"167,960","1,887,335","5,832,860","258,494,488","253,250","5,828,704","4,799,010","82,697,764","940,290","3,251,016","5,328,070","47,988,073","5,823,570","136,409,223","2,506,890","1,612,271","4,466,570","56,813,885","113,070","762,541","401,630","218,345",0,0,"419,730","2,061,512","5,264,400","40,752,776","1,060,610","12,410,292","246,300","6,981,694","6,221,470","1,457,796,794","6,220,870","344,103,148","3,671,020","19,245,990","18,970","102,047","2,569,800","5,454,055","1,816,300","3,668,738","676,720","379,496",0,0,0,0,"2,760","2,593","168,900","369,916","1,358,360","10,390,296",0,0,"22,490","121,746","37,420","134,729","6,156,620","343,103,021",0,0,0,0,0,0,0,0,0,0,"6,208,550","338,649,611","6,221,520","355,932,956","2,739,450","2,116,038","3,092,840","3,300,439","3,197,420","43,922,821","3,007,160","30,576,554","2,379,630","19,297,685","761,310","11,278,867"
US,9,"993,160","109,470","847,700","24,580","902,730","64,870","834,430","156,100","2,887,150","1,046,950",0,0,0,0,0,"2,930","325,380","669,148,177","993,160","683,308,769","851,440","372,348,573","904,910","8,295,811","787,270","28,552,337","762,160","22,668,589","347,950","2,464,866","275,970","27,663,158","812,260","77,029,458","173,380","10,581,748","174,260","10,409,714","25,270","11,300","77,463","172,130","4,986,562","543,220","122,111,126","478,120","14,160,592","12,290","3,053","114,550","5,088,679","198,700","2,945,662","25,370","254,478",0,0,0,0,"69,650","1,815,463","931,980","83,111,442","11,820","718,086","781,950","37,007,522","141,170","665,304","870,280","14,052,980","930,020","52,332,644","357,240","304,650","667,400","12,112,745","19,910","248,113","73,440","36,226",0,0,"174,660","1,849,921","869,510","17,643,791","151,330","4,384,383","71,010","3,786,576","991,560","585,975,103","992,330","171,167,289","505,530","6,681,149","2,050","11,630","595,000","4,505,402","492,590","3,475,313","81,650","48,689",0,0,0,0,0,0,"22,750","80,044","318,920","3,879,367",0,0,"2,420","13,892","4,840","25,531","980,940","168,886,375",0,0,0,0,0,0,0,0,0,0,"989,880","166,661,913","992,170","176,846,907","708,310","2,232,867","861,160","3,743,938","542,750","23,972,906","445,120","15,724,100","214,840","5,521,380","262,560","10,202,714"
