STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18460,A18460,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
US,0,"153,455,990","73,826,490","54,813,240","21,423,480","137,492,460","8,770,310","81,009,630","94,110,170","290,644,230","92,262,250","3,376,990","1,597,730","113,240","1,666,020","437,820","20,758,060","38,073,870","11,628,652,019","152,856,600","11,769,733,622","126,405,000","7,890,791,770","46,476,220","127,360,352","28,636,680","318,307,981","26,595,720","240,947,866","18,552,320","35,318,595","26,698,080","357,275,310","25,506,340","924,693,300","34,588,450","1,077,822,234","1,814,400","4,560,320","21,854,062","21,679,360","336,749,979","9,043,340","684,220,825","37,546,440","141,081,603","3,456,750","892,492","968,980","25,341,630","3,939,690","31,482,595","2,446,430","12,366,229","12,297,050","13,267,149","133,782,330","2,244,988,569","133,782,320","2,201,030,981","22,666,730","43,957,593","17,599,150","650,067,704","4,489,850","76,191,284","12,785,290","201,495,204","4,178,330","9,331,511","15,395,300","105,303,318","16,329,860","130,005,541","17,437,760","147,034,337","7,218,890","4,929,766","13,742,470","172,519,562","369,570","2,974,613","978,210","922,869","965,850","21,461,427","14,859,270","197,208,458","1,002,770","28,286,916","18,678,770","149,143,530","120,842,820","8,934,264,399","120,294,580","1,651,792,026","263,720","3,839,050","2,942,580","4,245,716","57,097,410","133,565,150","9,008,910","25,008,554","6,518,720","3,784,027","8,680,290","8,907,346","9,355,700","1,754,497","39,072,640","81,121,925","726,440","2,396,771","20,061,370","64,910,694","5,474,670","42,572,897","6,142,090","47,080,531","3,797,480","3,172,599","144,496,550","1,880,356,432","26,142,740","64,060,520","22,866,240","55,458,085","20,029,470","35,557,916","7,317,250","6,357,768","2,112,970","1,806,749","103,237,980","1,518,229,807","113,132,680","1,631,747,709","4,362,840","9,335,006","5,046,180","30,034,802","32,164,420","180,790,860","116,067,510","424,763,402","112,792,990","329,892,319","4,201,800","94,871,100"
US,1,"2,066,170","1,227,940","657,150","84,440","1,391,520","357,490","1,304,710","457,940","3,117,770","511,360","19,810","11,910",220,"7,690",200,"51,700","986,710","-202,133,468","1,466,990","-200,044,050","519,260","21,744,209","664,820","5,385,202","418,030","4,681,652","377,730","3,163,040","56,370","307,174","714,820","-11,519,265","590,440","16,213,216","324,710","5,556,208","162,440","13,100","69,428","3,480","19,106","381,150","-51,854,638","388,250","2,089,418","8,190","1,990","3,550","76,937","104,830","636,885","11,440","60,749","80,190","95,837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,"13,436",0,0,"43,990","207,529","4,530","178,350","35,640","12,405","9,910","22,626",620,490,0,0,"1,340",895,560,409,"6,120","5,319",0,0,"238,160","642,753","194,450","2,028,197","207,740","2,012,103","1,170",899,"860,510","5,944,841","149,070","185,061","90,220","120,994","71,550","147,980","83,400","77,465","129,610","151,596","37,100","184,907","311,630","970,115","12,420","23,046",60,"1,893","181,590","371,169","778,440","5,347,128","723,150","3,835,085","70,680","1,512,049"
US,2,"19,090,410","15,824,080","1,522,950","1,468,090","16,428,800","1,411,470","8,582,920","10,068,320","17,577,930","3,569,360","853,350","413,340","7,940","432,070","168,540","1,770,030","3,767,050","98,606,254","19,090,200","100,922,617","13,963,430","82,518,673","2,841,190","1,369,442","1,635,320","2,148,103","1,469,060","1,343,803","129,880","103,383","3,160,220","10,450,463","1,354,240","1,050,617","2,272,690","11,492,638","98,210","201,200","610,711","55,240","231,496","241,720","-854,051","2,919,060","2,316,363","25,380","5,589","4,800","28,098","181,070","574,135","34,560","115,068","301,020","271,234","18,847,680","206,142,994","18,847,680","201,031,348","2,829,510","5,111,642","240,230","5,311,596","174,270","2,794,149","62,210","158,978","125,580","82,808","156,170","793,822","192,080","784,902","221,950","924,985","62,150","33,917","122,350","1,221,105","3,430","27,410","6,600","4,822","7,300","20,066","126,930","173,068","8,600","84,748","37,230","22,492","600,880","1,236,367","488,260","135,660","1,100","4,256","128,670","49,210","95,960","15,854","57,170","3,439",520,193,"10,510","2,989","4,580","1,152","18,600","7,049",520,196,"2,572,610","1,935,848","593,150","4,972,339","625,570","5,038,805","9,210","5,392","15,591,330","13,487,807","5,739,260","5,959,593","4,800,020","5,178,158","1,576,980","1,090,459","642,590","541,806","342,020","220,609","450,390","119,831","3,164,140","2,124,117",670,789,70,381,"1,968,660","993,305","14,519,590","12,352,918","14,438,800","12,157,609","102,430","195,308"
US,3,"31,010,390","19,227,720","4,212,220","7,026,490","27,927,570","1,706,810","15,416,760","22,341,350","50,198,450","17,473,800","1,060,880","542,610","22,790","495,470","173,870","6,594,480","6,276,880","533,537,141","31,010,380","542,112,266","24,515,620","413,159,027","4,305,150","3,272,252","2,322,310","5,243,979","2,095,210","3,274,002","440,140","318,534","6,158,850","48,560,580","1,934,540","3,990,680","5,004,920","58,780,557","192,490","979,750","4,011,221","2,329,330","4,479,879","536,130","1,036,511","6,534,590","8,575,125","159,700","36,655","17,090","110,919","384,870","1,266,700","181,490","599,781","1,269,460","1,122,372","30,354,340","456,725,985","30,354,340","448,383,692","4,519,660","8,342,296","653,920","14,907,163","457,300","7,220,438","225,630","405,916","341,280","296,878","439,740","2,017,638","548,870","2,254,208","624,030","2,624,166","198,520","120,607","337,570","3,067,777","9,830","72,206","17,760","16,730","15,120","46,274","421,640","1,248,607","33,760","390,361","1,776,290","1,227,572","19,429,260","107,672,619","19,311,580","10,981,470","3,990","9,071","640,710","230,914","7,651,760","2,689,631","257,270","27,468","381,660","130,979","1,647,860","794,529","2,284,920","387,595","3,596,250","1,320,430","31,040","16,788","5,008,660","8,715,842","1,902,140","14,383,575","1,958,540","14,527,993","950,930","524,797","28,867,060","87,618,637","11,716,710","39,291,637","10,475,650","34,151,567","8,175,830","14,157,240","1,711,760","1,432,601","879,250","591,746","13,768,450","8,292,939","17,974,500","17,704,409","2,010","2,468",220,734,"3,066,410","3,626,187","26,899,400","73,418,808","26,744,110","72,980,384","213,460","438,429"
US,4,"36,512,260","19,510,880","8,218,070","7,674,320","33,070,510","1,855,600","18,106,000","26,195,310","66,600,020","22,249,820","934,280","481,810","36,070","416,410","93,720","6,923,110","7,446,950","1,326,269,176","36,512,260","1,341,851,833","31,654,410","1,098,528,811","6,915,660","5,483,201","3,630,450","10,038,564","3,305,420","6,536,153","1,872,430","1,279,100","4,957,930","40,957,991","3,058,970","9,561,207","6,704,740","124,035,727","303,720","1,272,140","6,129,932","5,387,320","37,875,785","934,530","6,286,294","7,918,500","15,582,657","606,110","145,316","45,870","389,052","582,450","2,571,586","538,030","2,102,018","3,678,130","3,865,171","34,745,490","559,753,695","34,745,490","550,767,402","4,687,860","8,986,291","1,764,880","40,873,964","971,290","14,360,670","953,530","2,036,757","677,230","922,899","1,272,870","5,570,111","1,534,390","7,450,469","1,720,370","8,579,926","659,880","483,298","1,068,840","9,426,288","34,720","254,772","57,620","86,226","32,290","103,218","1,323,050","5,815,050","108,550","1,448,950","3,502,840","5,890,005","36,143,390","716,312,956","35,889,070","78,481,724","3,440","20,135","1,276,810","1,005,192","16,563,200","19,505,790","852,400","174,632","1,485,390","921,653","2,637,180","2,675,629","5,573,240","1,114,530","11,308,480","14,311,380","161,110","194,727","3,374,630","8,565,071","2,111,290","15,215,560","2,210,340","16,274,702","1,698,450","1,109,094","35,395,330","142,605,696","8,325,650","18,537,043","7,344,180","15,943,227","7,920,340","15,974,593","1,692,530","1,409,834","608,620","596,918","26,954,710","58,976,092","28,901,710","69,016,890","4,600","7,051","1,610",897,"5,559,520","8,649,472","30,699,940","81,772,692","30,410,650","80,821,286","400,300","951,406"
US,5,"21,349,080","9,316,280","8,503,620","2,851,060","19,248,140","1,109,600","11,447,070","13,843,330","42,945,160","13,162,330","313,100","107,690","19,880","185,530","1,500","2,781,810","5,820,490","1,312,496,690","21,349,080","1,327,078,165","18,259,490","1,021,377,233","6,844,950","6,272,267","3,763,430","13,456,109","3,466,460","9,066,454","2,948,960","2,358,906","3,175,910","31,397,956","3,202,820","14,363,963","5,643,470","151,871,162","271,710","760,020","3,847,319","4,339,050","67,168,436","930,120","10,194,312","5,908,090","14,581,475","641,380","159,410","56,950","599,876","470,870","2,771,179","493,650","2,255,394","2,916,290","3,311,900","18,900,580","342,369,705","18,900,580","335,635,910","3,510,650","6,733,799","2,447,710","57,897,930","940,860","14,488,068","1,678,760","5,381,013","659,450","1,105,786","2,046,360","9,016,734","2,222,760","13,707,880","2,419,960","14,983,677","992,840","638,737","1,809,290","15,970,660","51,760","370,682","100,730","135,303","43,840","144,918","1,929,590","9,198,895","127,680","1,795,104","2,761,980","7,310,873","21,286,500","901,928,980","21,230,460","110,959,101","3,590","19,354","507,620","1,117,519","9,164,730","19,747,839","1,098,460","328,798","961,710","552,804","1,503,520","1,758,987","1,492,400","250,811","6,963,990","16,248,389","154,750","333,573","2,204,180","6,415,725","530,700","4,732,228","717,820","5,962,541","634,900","595,850","20,908,430","132,082,527","212,060","87,186","156,190","64,139","1,862,080","3,418,931","976,870","861,544","126,740","191,867","19,241,760","91,211,437","19,803,900","98,759,145","4,100","6,064","1,540",825,"4,947,870","10,953,945","16,321,680","43,759,672","15,979,060","42,505,362","458,220","1,254,309"
US,6,"13,827,630","4,050,610","8,305,430","1,159,790","12,493,710","708,200","7,780,420","8,486,490","31,698,410","9,595,010","113,800","25,030","11,980","76,790",0,"1,331,020","4,333,570","1,198,550,688","13,827,630","1,210,545,130","11,787,450","895,670,900","5,977,350","6,365,627","3,464,310","14,957,208","3,209,150","10,378,121","3,046,450","2,929,209","2,324,590","27,390,863","2,970,980","18,120,170","4,469,530","156,189,331","227,270","504,310","2,539,607","3,262,910","66,712,933","883,320","12,779,110","3,877,670","11,994,442","556,580","146,852","62,600","756,960","379,740","2,642,574","341,270","1,827,344","1,566,740","1,775,197","11,471,160","238,052,907","11,471,160","232,903,534","2,552,270","5,149,372","2,356,080","59,947,035","683,710","11,201,489","1,774,960","8,019,867","508,470","986,232","2,086,060","9,963,458","2,179,920","16,229,619","2,340,910","17,419,583","993,600","596,214","1,876,250","18,012,877","49,520","344,727","115,580","132,613","51,100","188,511","1,937,160","10,283,410","115,110","1,723,305","2,291,070","7,631,866","13,804,330","890,638,724","13,774,840","116,848,886","6,800","27,456","193,630","737,589","6,295,620","17,024,851","1,085,460","399,714","882,220","525,406","1,055,040","1,308,951",0,0,"5,070,730","14,082,084","111,420","350,033","1,656,570","5,408,307","123,820","1,067,411","240,740","1,907,357","251,360","322,523","13,617,170","127,960,844",0,0,0,0,"340,450","580,323","738,400","653,813","23,860","46,391","13,382,080","99,824,179","13,511,770","106,229,080","6,010","6,486","1,530",712,"3,717,810","10,575,474","10,068,140","31,888,238","9,735,270","30,449,572","439,650","1,438,667"
US,7,"21,091,740","3,652,310","16,206,410","941,310","19,130,780","1,131,600","12,307,380","10,400,590","54,685,870","17,428,180","76,670","14,450","13,290","48,930",0,"1,182,830","6,681,220","2,871,181,661","21,091,740","2,901,744,304","18,308,250","2,112,285,001","12,047,090","17,366,927","7,816,730","49,083,213","7,323,550","35,780,917","7,143,910","8,856,969","4,109,520","73,001,143","6,925,550","74,320,593","7,384,880","359,698,479","378,700","668,510","3,615,188","4,679,930","114,082,432","2,310,800","59,755,421","7,021,850","30,562,643","1,191,310","326,838","252,790","4,131,660","840,750","7,397,541","675,130","3,797,283","2,485,220","2,825,438","15,475,850","349,508,901","15,475,850","342,056,290","3,543,900","7,452,614","5,615,470","169,895,756","1,033,400","18,729,589","4,482,640","33,904,559","1,016,820","2,436,083","5,171,930","30,221,350","5,289,810","47,125,725","5,596,970","50,462,619","2,511,590","1,606,396","4,734,840","57,511,419","121,970","827,531","344,620","337,237","197,730","938,731","4,941,130","34,924,604","274,690","5,079,684","4,808,580","25,663,836","21,074,260","2,322,031,621","21,054,010","356,198,135","39,320","189,524","133,740","875,029","11,563,420","33,733,503","2,773,210","1,724,860","1,950,680","1,164,125","1,824,840","2,365,366",0,0,"9,057,750","26,158,221","186,440","881,188","3,016,550","13,096,471","19,120","173,587","152,580","1,125,171","201,570","406,674","20,848,410","355,780,366",0,0,0,0,"77,650","177,242","1,471,690","1,380,705","2,870","7,622","20,923,170","322,465,366","20,968,010","338,173,325","216,200","61,127","83,540","37,096","8,291,280","35,724,270","12,740,420","52,609,795","11,926,610","46,560,994","1,064,850","6,048,806"
US,8,"6,865,430","827,540","5,798,140","177,820","6,285,440","393,550","4,649,940","2,081,500","19,218,080","6,595,840","5,100",900,"1,080","3,130",0,"119,500","2,184,790","1,965,543,933","6,865,430","1,994,747,041","6,013,110","1,319,135,852","5,339,760","17,794,463","4,233,530","60,885,137","4,040,220","46,896,843","2,299,360","5,477,766","1,640,690","76,733,199","4,078,100","124,019,736","2,317,860","168,909,669","134,420","146,340","925,519","1,320,570","36,954,871","1,849,200","145,718,556","2,209,800","29,203,108","251,770","65,767","333,890","9,384,290","647,120","7,991,490","131,430","1,211,191",0,0,"3,494,660","81,073,656","3,494,660","79,188,066","883,750","1,885,591","3,370,590","131,966,308","214,190","6,281,604","2,691,010","47,138,779","629,340","1,950,759","3,161,940","28,030,321","3,246,640","31,475,132","3,365,280","34,133,958","1,419,540","1,036,660","2,914,850","48,451,522","71,240","624,776","249,130","165,972","294,310","2,362,529","3,088,840","33,619,489","182,000","5,854,708","2,637,850","33,562,798","6,862,330","1,717,887,986","6,860,430","340,476,888","96,650","739,641","22,620","189,083","4,649,680","16,443,304","1,988,120","3,841,951","735,840","416,146",0,0,0,0,"3,040,120","8,974,589","65,130","446,736","1,447,380","10,936,213",0,0,"25,180","200,539","41,780","160,397","6,784,430","337,495,880",0,0,0,0,"4,590","11,148",0,0,0,0,"6,842,630","324,033,881","6,855,610","342,781,979","2,974,230","2,293,411","3,489,970","3,868,116","3,604,460","41,677,276","3,232,760","35,780,264","2,506,570","21,819,152","906,160","13,961,114"
US,9,"1,101,480","123,620","938,270","26,890","1,017,320","63,150","916,780","173,890","3,174,830","1,140,900",0,0,0,0,0,"3,150","369,960","741,790,366","1,101,480","754,943,821","942,000","409,808,497","1,013,810","10,344,156","875,990","33,420,797","846,020","26,092,825","354,490","2,667,085","303,020","29,374,021","896,990","86,678,745","317,580","26,722,492","27,480","12,120","84,479","197,710","5,971,454","580,820","127,589,336","485,440","13,153,455","13,420","3,352","119,770","5,371,279","207,420","3,189,579","26,590","267,290",0,0,"371,500","8,610,181","371,500","8,386,348","104,770","223,845","729,940","44,328,715","12,590","847,375","577,770","25,666,665","143,550","504,858","678,400","9,532,271","709,260","6,974,913","728,820","8,037,191","256,790","239,139","594,740","12,396,520","16,460","240,831","57,910","29,327","152,670","2,338,195","686,420","16,930,985","68,040","3,525,587","524,140","15,038,577","1,100,880","673,877,921","1,100,890","173,109,198","32,360","494,656","2,440","22,297","707,130","5,468,052","544,180","3,621,160","94,470","55,821",0,0,0,0,"10,610","14,464","10,980","100,736","340,430","4,104,438",0,0,"2,750","23,972","5,490","31,183","1,087,850","172,531,296",0,0,0,0,0,0,0,0,0,0,"1,098,140","167,641,288","1,100,460","178,958,661","772,230","2,426,284","968,070","4,415,007","597,920","25,061,838","497,310","18,256,503","236,300","6,322,061","302,300","11,934,442"
