STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18460,A18460,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
US,0,"157,705,360","77,657,250","54,696,550","21,589,010","142,340,320","6,753,210","80,793,260","100,187,270","293,591,230","2,361,810","1,250,370","67,320","1,044,120","344,460","21,600,270","38,883,820","11,947,410,367","156,865,590","12,090,994,318","129,810,910","8,255,244,337","48,348,650","152,285,865","28,872,150","328,784,764","26,656,690","245,587,217","4,341,730","5,678,820","27,451,180","358,812,722","25,749,950","864,843,111","15,893,570","330,236,487","28,602,690","785,391,630","1,780,060","4,471,070","21,834,172","22,231,870","360,800,221","8,919,890","686,307,920","38,791,080","143,583,951","3,583,210","923,936","949,360","25,329,479","3,826,320","31,076,459","2,399,680","12,502,484","12,543,040","13,894,679","138,079,620","2,356,049,683","138,079,620","2,309,861,328","23,517,070","46,188,364","17,223,980","638,119,329","4,245,730","74,585,651","12,557,720","212,402,528","4,042,370","8,957,335","15,139,100","109,675,995","16,693,110","133,829,124","17,076,660","138,582,236","7,106,310","4,942,177","13,597,570","178,769,119","344,220","2,994,505","976,110","1,066,835","878,760","20,357,017","14,272,540","188,690,770","966,020","28,873,827","22,136,740","154,552,222","124,018,650","9,214,652,243","123,535,910","1,693,084,140","168,620","2,803,646","2,737,550","3,932,165","58,035,710","134,009,612","9,362,590","25,248,851","6,450,430","3,784,614","7,909,800","8,482,049","9,769,810","1,855,889","39,533,020","82,884,785","1,938,410","3,443,881","20,373,080","66,568,673","5,198,170","40,416,025","5,815,400","44,640,711","148,064,830","1,910,032,475","26,580,120","64,169,357","23,187,360","55,610,539","19,658,070","35,191,150","6,991,110","6,113,726","1,976,580","1,723,181","106,641,980","1,559,075,727","116,355,040","1,672,343,598","4,755,070","9,844,179","5,396,920","28,234,542","33,493,950","197,370,349","118,503,890","432,696,975","115,419,010","334,353,166","3,928,850","98,343,796"
US,1,"2,391,150","1,528,560","656,720","90,110","1,495,680","349,750","1,296,840","609,980","3,444,630","13,080","8,610",80,"4,380",250,"59,640","1,041,660","-237,896,512","1,556,620","-235,479,677","570,640","23,071,605","680,600","7,421,658","409,300","6,195,049","367,340","4,217,289","21,300","85,418","779,750","-14,866,048","573,860","19,816,729","156,930","2,606,811","222,150","3,145,436","161,310","12,660","69,044","3,450","19,116","376,000","-70,789,064","455,250","2,416,835","9,870","2,329","3,770","88,356","102,930","643,772","11,750","64,976","95,650","115,609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,090","176,303","3,830","141,706","34,740","12,219","9,600","23,531",600,"1,116",0,0,"1,150",709,570,385,"5,750","5,117",0,0,"239,250","659,639","186,520","1,897,241","199,180","1,881,162","900,610","7,255,251","168,830","186,686","108,230","123,607","71,780","151,857","89,960","83,588","125,680","144,575","36,240","152,658","312,480","959,525","13,700","26,038",30,427,"185,420","383,542","816,710","6,672,436","765,310","4,540,494","66,420","2,131,940"
US,2,"19,697,380","16,475,300","1,504,890","1,394,690","17,170,920","1,121,490","8,498,650","11,178,400","18,033,820","556,550","297,330","4,040","255,180","120,620","1,800,260","3,768,120","99,561,451","19,692,150","102,537,026","14,379,160","85,127,091","2,909,270","1,641,253","1,610,330","2,162,666","1,431,950","1,340,503","56,460","41,148","3,380,490","10,585,725","1,345,250","891,302","855,830","3,439,100","1,709,780","7,879,934","95,530","186,320","591,412","63,670","258,927","232,370","-801,550","3,193,590","2,975,575","30,880","6,667","4,600","28,863","177,370","552,880","35,540","116,774","310,210","284,678","19,484,680","219,864,365","19,484,680","214,576,299","2,869,910","5,288,069","209,190","4,639,638","148,470","2,400,507","55,350","165,433","112,280","71,350","132,760","711,734","180,990","750,960","193,500","809,567","50,680","27,499","105,560","1,117,003","2,820","24,343","5,880","3,990","6,640","21,716","106,420","149,139","7,650","67,958","53,970","11,626","531,170","1,054,203","442,220","123,057",240,"2,248","118,600","47,552","91,380","15,567","54,450","3,467",570,221,"9,180","2,614","4,430","1,122","17,160","6,589","1,520",404,"2,694,140","1,989,029","564,350","4,641,031","595,210","4,695,698","15,990,590","13,329,061","6,099,000","5,762,934","5,052,750","4,975,287","1,461,330","1,010,147","632,280","541,568","323,530","211,121","406,110","107,672","3,249,920","2,158,487",730,"1,192",40,23,"2,088,750","1,041,194","14,830,730","12,203,791","14,758,490","12,021,410","92,990","182,378"
US,3,"30,681,300","19,488,570","3,922,590","6,684,050","27,794,810","1,358,700","14,783,270","22,837,620","48,465,290","734,510","413,960","13,110","307,450","137,420","6,574,320","6,172,730","528,586,123","30,681,290","537,628,805","24,221,360","411,826,140","4,360,020","3,924,903","2,242,400","5,271,770","2,012,110","3,234,351","146,670","110,355","6,232,740","48,616,244","1,912,750","3,424,890","1,865,250","14,039,724","4,022,370","42,499,333","183,440","902,470","3,806,304","2,412,350","4,827,322","514,860","1,057,859","6,598,990","9,042,682","167,650","38,134","16,100","106,152","364,290","1,186,939","179,470","596,867","1,188,930","1,072,235","30,108,730","460,423,108","30,108,730","451,974,669","4,505,390","8,448,443","569,720","13,263,130","392,520","6,282,098","203,170","402,623","294,580","257,978","381,940","1,839,660","515,600","2,172,201","545,090","2,374,534","170,310","108,372","297,650","2,862,904","8,280","65,879","15,880","15,920","13,120","47,755","357,300","1,104,654","30,320","346,757","1,946,750","1,293,960","19,047,570","104,847,923","18,948,820","10,663,230",710,"5,415","562,550","209,243","7,274,240","2,512,860","260,830","28,721","331,600","110,537","1,430,800","718,440","2,297,770","398,214","3,373,720","1,221,516","60,630","23,746","5,030,570","8,882,742","1,754,090","13,331,438","1,804,850","13,475,037","28,467,540","85,720,078","11,491,320","38,342,682","10,216,570","33,190,677","7,763,880","13,526,392","1,598,000","1,357,431","802,090","554,372","13,759,340","8,150,450","17,873,850","17,320,687","2,460","3,817",410,684,"3,035,570","3,631,907","26,581,410","71,976,116","26,446,100","71,575,148","188,830","400,973"
US,4,"37,717,440","20,746,880","7,866,930","7,892,780","34,398,820","1,466,820","18,102,430","27,911,130","67,041,370","686,690","395,520","21,950","269,230","84,370","7,415,330","7,556,920","1,371,402,415","37,717,440","1,387,260,723","32,811,160","1,146,190,827","7,125,270","6,767,729","3,579,860","10,176,836","3,242,490","6,539,996","489,440","374,681","5,089,190","40,922,472","3,053,970","8,257,387","2,620,570","27,835,306","5,655,990","95,029,842","291,170","1,269,200","6,179,422","5,386,340","39,097,023","900,210","6,251,202","8,026,150","15,858,308","612,090","145,990","43,300","375,100","548,070","2,412,568","536,980","2,117,467","3,639,380","3,826,109","36,063,190","587,627,108","36,063,190","578,283,030","4,819,310","9,344,077","1,652,100","39,506,255","893,390","13,597,650","908,350","1,998,782","616,280","864,757","1,192,870","5,395,616","1,536,210","7,565,692","1,610,670","8,269,889","623,980","484,192","1,018,050","9,464,084","31,000","246,733","55,650","90,289","28,560","103,127","1,201,820","5,504,542","103,810","1,399,835","3,935,610","6,174,309","37,328,400","739,599,128","37,094,220","80,908,689","1,110","11,237","1,190,860","950,807","16,963,230","19,618,784","887,570","191,712","1,443,810","894,545","2,500,200","2,605,486","5,902,350","1,189,683","11,405,160","14,362,477","335,120","264,587","3,411,670","8,781,387","2,024,910","14,560,462","2,113,600","15,610,036","36,524,350","146,614,385","8,543,580","19,740,912","7,594,530","17,215,858","8,004,520","16,125,393","1,640,040","1,376,562","572,830","569,955","28,050,340","61,289,938","29,790,230","70,880,257","5,540","8,639","1,740","2,584","5,784,280","8,886,336","31,666,810","84,500,382","31,413,190","83,637,233","357,340","863,147"
US,5,"22,088,470","10,021,810","8,261,470","3,047,970","20,095,610","834,460","11,478,000","14,820,980","43,315,700","227,660","95,630","12,000","120,030","1,800","2,970,950","5,939,330","1,357,580,636","22,088,460","1,372,697,637","18,930,000","1,066,572,201","7,089,850","7,841,097","3,749,820","13,728,633","3,434,060","9,166,906","838,920","727,544","3,226,780","31,361,963","3,197,950","12,363,670","2,469,010","35,066,094","4,801,030","118,223,376","262,480","753,600","3,880,771","4,382,810","69,536,447","895,770","10,058,578","6,121,720","15,117,001","675,450","167,003","53,400","577,216","446,930","2,608,643","488,470","2,261,771","2,998,050","3,645,066","19,700,480","359,180,198","19,700,480","352,090,130","3,656,620","7,090,063","2,387,090","58,171,991","891,380","14,140,124","1,646,030","5,348,352","626,820","1,073,854","1,999,850","9,042,199","2,285,820","14,171,371","2,360,920","14,822,452","982,030","647,292","1,792,600","16,626,320","47,720","368,006","100,070","147,742","37,920","142,873","1,812,540","8,919,291","122,080","1,730,148","3,215,280","7,575,335","22,027,130","932,867,681","21,973,850","114,075,226","2,130","14,951","482,870","1,019,180","9,357,920","19,954,016","1,131,280","348,735","937,340","544,625","1,360,810","1,684,411","1,564,690","266,485","7,052,690","16,407,514","374,980","468,669","2,214,870","6,511,560","518,900","4,667,850","692,350","5,798,704","21,630,540","135,680,820","277,390","136,143","215,290","105,110","1,899,440","3,530,450","931,070","824,875","124,580","186,533","19,941,650","94,121,260","20,474,250","101,563,842","4,750","8,338","1,690",680,"5,147,570","11,047,887","16,860,430","45,022,144","16,548,870","43,899,315","419,460","1,122,830"
US,6,"14,148,350","4,355,480","8,209,640","1,238,360","12,898,120","519,150","7,785,780","8,881,490","31,826,430","81,730","23,440","7,230","51,060",0,"1,389,480","4,451,990","1,226,532,789","14,148,350","1,238,452,434","12,029,760","919,993,543","6,182,860","8,025,306","3,455,930","15,465,876","3,181,360","10,568,187","860,000","858,388","2,339,230","27,454,526","2,962,940","15,631,074","2,147,570","39,802,573","3,808,130","120,052,102","220,730","501,690","2,558,450","3,343,810","70,282,802","851,870","12,756,886","4,000,920","11,919,645","557,790","146,670","59,100","728,820","363,930","2,520,407","322,440","1,796,688","1,699,420","1,854,305","11,822,380","247,485,956","11,822,380","242,038,495","2,685,640","5,447,465","2,325,570","60,882,162","659,780","11,117,146","1,752,350","8,000,078","495,850","974,319","2,062,810","10,098,155","2,253,140","16,840,880","2,311,430","17,307,331","996,340","604,004","1,871,660","18,798,858","46,410","351,561","117,230","153,512","44,320","171,062","1,854,720","10,059,330","111,900","1,698,632","2,701,530","7,838,084","14,124,740","910,114,170","14,096,850","119,548,716","3,900","21,179","188,000","663,821","6,431,600","17,136,162","1,117,820","424,489","851,390","513,118","988,220","1,234,014",0,0,"5,092,300","14,180,195","311,070","500,491","1,655,120","5,468,406","127,350","1,113,815","234,150","1,877,592","13,931,390","130,266,407",0,0,0,0,"362,010","626,880","692,610","612,106","24,490","46,736","13,680,830","102,412,587","13,815,900","108,786,418","6,410","5,772","1,750",855,"3,929,990","10,701,503","10,177,790","32,047,061","9,871,960","30,749,168","400,800","1,297,886"
US,7,"21,972,830","3,958,210","16,675,900","1,009,710","20,139,400","784,920","12,538,300","11,368,800","56,252,970","57,460","14,860","8,240","34,360",0,"1,254,600","7,045,340","2,995,134,860","21,972,830","3,026,408,918","19,005,150","2,209,553,472","12,689,670","22,437,953","7,977,960","51,962,664","7,422,760","37,467,356","1,485,730","1,792,630","4,217,070","74,231,502","7,030,540","66,754,512","3,982,170","112,854,045","6,295,820","269,056,264","383,170","677,170","3,672,457","4,946,550","126,064,444","2,286,620","60,959,047","7,340,320","31,274,058","1,237,110","340,570","241,880","4,002,862","826,930","7,269,011","653,830","3,860,193","2,611,410","3,096,677","16,483,260","377,459,062","16,483,260","369,277,235","3,864,610","8,181,830","5,489,040","169,528,987","1,024,400","19,173,259","4,361,430","33,582,589","1,005,550","2,435,711","5,061,150","30,713,221","5,375,300","48,004,879","5,471,040","49,002,507","2,469,640","1,574,459","4,642,570","58,948,890","112,280","817,842","348,550","406,090","172,720","868,989","4,740,400","34,730,111","269,380","5,146,773","5,863,480","26,605,523","21,955,270","2,420,697,870","21,934,640","369,103,906","20,680","137,119","134,570","821,705","12,010,420","34,639,755","2,896,990","1,812,507","1,964,990","1,190,822","1,619,430","2,236,375",0,0,"9,327,210","27,091,812","602,870","1,277,722","3,082,410","13,488,678","22,030","204,188","149,110","1,086,256","21,719,420","369,977,246",0,0,0,0,"89,120","205,246","1,407,160","1,317,596","3,380","9,889","21,789,950","334,464,878","21,841,800","350,481,013","252,150","70,999","94,740","35,217","8,492,900","35,600,541","13,424,220","54,673,285","12,621,520","48,947,591","1,043,390","5,725,696"
US,8,"7,289,320","887,310","6,141,640","189,760","6,745,990","257,390","4,843,650","2,324,920","20,296,180","4,120","1,020",680,"2,420",0,"131,560","2,309,970","2,089,280,715","7,289,320","2,118,794,726","6,404,250","1,424,137,966","5,697,930","22,866,315","4,434,660","65,585,373","4,205,440","49,764,659","371,260","747,615","1,714,390","78,533,102","4,230,870","116,806,773","1,469,850","72,349,919","1,788,460","109,269,297","136,650","151,700","960,692","1,385,730","40,820,969","1,869,440","151,015,312","2,276,020","29,514,011","274,710","72,162","332,380","9,464,874","645,360","8,052,029","132,070","1,266,670",0,0,"3,871,820","91,196,226","3,871,820","89,129,057","964,840","2,067,165","3,417,310","135,362,778","220,420","6,679,456","2,701,800","49,389,544","660,450","2,126,106","3,216,960","30,087,454","3,380,670","32,831,264","3,412,120","33,536,621","1,436,250","1,054,426","2,968,160","51,233,801","68,530","641,205","250,650","203,009","267,350","2,270,452","3,093,770","34,560,196","178,590","6,109,373","3,331,330","35,226,545","7,286,230","1,827,334,308","7,284,090","360,801,116","41,680","481,559","22,420","181,568","4,813,780","16,423,083","2,090,300","4,057,579","787,550","450,773",0,0,0,0,"3,247,880","9,594,606","211,780","659,454","1,491,980","11,399,188",0,0,"23,840","189,107","7,202,370","354,536,720",0,0,0,0,"5,980","14,769",0,0,0,0,"7,263,890","344,378,104","7,278,890","363,913,651","3,258,000","2,535,324","3,750,730","3,930,311","3,890,800","44,436,088","3,373,770","34,527,639","2,668,550","21,842,518","856,150","12,685,119"
US,9,"1,164,780","129,060","993,860","28,200","1,086,150","40,200","958,500","190,740","3,354,030",10,0,0,10,0,"3,710","386,400","783,628,628","1,164,780","797,046,641","1,003,820","444,860,233","1,074,310","12,837,066","924,900","36,078,778","888,510","27,659,495","47,260","233,082","315,850","30,113,279","939,080","83,221,118","225,420","14,143,057","206,610","13,542,070","27,950","13,270","94,315","202,990","6,464,337","594,450","134,991,411","496,140","13,418,013","14,620","3,656","122,540","5,481,285","209,620","3,315,087","26,330","282,315",0,0,"412,940","9,741,892","412,940","9,498,421","113,820","243,478","751,810","45,312,528","13,060","909,186","589,690","28,437,710","152,950","557,120","703,910","10,671,956","746,230","7,353,227","750,650","7,612,705","258,270","243,579","615,990","13,162,214","16,430","255,984","55,720","32,222","144,300","2,248,206","701,280","17,352,389","64,600","3,723,348","689,520","15,779,134","1,164,180","712,865,410","1,164,140","182,903,234","24,080","403,135","2,390","21,040","689,380","5,229,303","569,110","3,803,514","104,600","61,645",0,0,0,0,"11,150","14,959","29,380","146,116","350,010","4,280,460",0,0,"2,530","21,877","1,149,850","179,500,986",0,0,0,0,10,16,0,0,0,0,"1,161,240","177,674,066","1,163,790","189,448,460","828,560","2,643,187","1,030,910","4,451,801","676,790","28,416,564","482,310","18,109,442","239,090","6,277,772","278,380","11,831,666"
