STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,VRTCRIND,N2,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N02910,A02910,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18460,A18460,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N11450,A11450,N11520,A11520,N11530,A11530,N10970,A10970,N10971,A10971,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
US,0,"159,514,700","80,386,520","54,125,110","21,036,070","149,137,980","5,534,400","84,527,520","102,548,850","6,563,130","292,733,630","2,159,680","1,242,240","39,390","878,040","388,370","23,418,680","41,094,110","14,775,705,582","157,281,980","14,913,322,863","125,967,920","9,012,497,171","48,540,670","103,674,558","32,065,310","384,935,193","30,406,920","293,662,546","3,218,080","3,761,500","28,836,410","419,525,679","32,996,180","2,050,443,583","15,696,510","407,491,906","29,245,760","853,473,354","1,767,010","15,564,030","205,200,624","23,661,390","413,593,936","9,217,590","979,046,547","32,869,660","137,617,281","3,110,670","813,761","1,007,440","29,237,952","3,612,270","30,092,545","2,327,070","13,146,901","4,765,460","4,191,523","47,994,190","17,949,537","141,012,720","2,495,673,198","141,012,720","2,443,112,867","25,843,790","52,560,348","14,892,840","658,122,742","3,606,040","70,823,477","10,834,380","253,189,201","3,457,430","7,531,832","12,797,290","100,643,033","14,639,950","118,312,747","14,701,850","120,297,874","5,743,260","4,327,716","11,408,350","136,145,747","296,670","2,630,472","953,040","1,458,905","1,277,180","2,904,686","801,080","20,084,955","12,073,670","261,590,286","973,410","39,205,620","25,667,530","204,736,336","128,122,430","11,757,380,291","127,500,340","2,288,251,008","253,860","5,447,253","2,607,660","3,845,605","37,885,770","63,607,716","10,790,900","28,621,382","595,480","996,139","7,932,140","8,233,298","9,230,680","1,751,633","11,634,080","8,514,574","2,625,570","5,029,606","21,491,970","76,976,697","7,395,250","51,651,702","7,785,300","53,555,503","150,450,710","2,570,038,242","32,067,810","65,210,404","25,138,380","48,352,863","37,487,510","114,418,299","6,045,710","5,224,085","4,262,810","3,611,259","1,183,150","4,731,423","5,749,900","12,323,927","1,189,250","5,634,139","11,690,720","20,039,147","125,878,910","336,590,004","123,091,550","2,224,646,797","129,865,850","2,384,417,506","5,983,550","13,984,399","7,191,110","59,636,215","38,879,770","306,682,997","114,960,310","490,188,286","111,942,630","374,650,336","3,796,300","115,537,948"
US,1,"3,601,570","2,409,100","677,140","394,430","2,827,310","324,010","1,617,550","1,945,010","77,120","5,607,140","38,230","32,910",70,"5,250","1,520","418,120","1,180,940","-173,010,712","1,370,240","-171,067,025","477,170","22,775,464","563,110","3,480,500","354,880","3,270,739","324,780","2,266,062","13,890","39,018","677,150","-15,949,269","540,990","18,072,464","121,630","1,958,785","186,050","2,630,626","136,730","101,560","1,478,243","3,100","15,977","344,160","-60,858,590","317,060","1,943,687","8,540","2,093","3,270","76,311","78,400","561,209","12,750","77,838","44,310","49,366","550,910","187,457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"3,553",0,0,"28,290","225,424","3,990","167,750","22,050","9,640","7,450","31,391",560,565,0,0,"1,220",674,770,551,"2,260","1,632",0,0,"183,700","582,846","199,810","1,859,417","210,790","1,821,365","2,132,820","11,835,269","380,810","752,013","346,280","668,447","636,980","2,295,376","86,250","78,713","155,100","151,047","76,270","792,971","2,420","6,047","74,720","887,275","833,640","1,495,027","2,691,430","6,172,642","23,680","194,045","246,650","890,450","13,850","22,101",60,389,"94,010","318,476","2,084,480","11,257,937","2,035,260","9,831,267","64,520","1,426,672"
US,2,"16,976,170","13,737,580","1,420,700","1,533,230","15,367,180","850,080","7,877,480","10,785,460","351,070","17,928,600","498,200","282,000","2,090","214,110","124,730","2,336,560","3,759,360","86,634,096","16,974,780","88,655,381","11,278,720","68,009,636","2,608,800","977,927","1,476,790","1,767,404","1,343,970","1,131,867","40,430","30,927","3,272,490","10,614,557","1,425,270","1,455,931","797,500","3,300,101","1,687,550","7,975,616","85,910","633,740","4,563,356","73,900","266,817","203,550","-1,666,418","2,942,290","2,021,285","21,290","4,821","3,930","28,869","127,710","420,590","32,660","120,753","121,600","114,212","2,360,610","630,052","16,808,080","209,913,512","16,808,080","204,204,042","2,986,810","5,709,470","165,250","3,875,989","118,980","2,082,703","44,930","148,751","87,220","54,324","100,920","587,356","149,330","637,576","151,650","655,469","36,950","23,472","77,930","813,406","1,920","17,631","4,600","4,462","11,890","44,130","4,220","13,546","84,250","123,183","6,120","79,515","51,750","18,726","458,700","1,071,069","407,950","143,947",250,"2,766","77,620","28,973","93,450","10,570","61,240","2,620",30,16,"10,270","3,610","4,360",923,"4,970","1,932","1,030",315,"2,719,390","2,007,354","627,170","4,560,983","659,200","4,587,702","13,574,610","26,928,627","7,294,430","9,870,613","7,054,270","8,481,701","2,007,900","6,826,666","563,140","485,517","429,260","239,574","174,910","831,808","135,560","207,918","168,280","1,038,257","1,859,370","3,053,564","10,368,480","21,282,006","385,630","133,518","3,229,310","2,213,277","1,120","1,541",50,169,"1,027,110","534,625","13,234,410","25,235,276","13,163,770","25,017,982","91,800","217,292"
US,3,"28,512,000","19,356,990","3,229,660","5,381,030","26,770,050","930,610","14,127,740","22,176,880","747,960","42,109,070","602,090","364,490","6,290","231,310","189,200","6,632,550","6,025,270","493,239,295","28,512,000","500,096,565","20,665,840","336,129,033","4,291,240","2,169,310","2,220,300","4,304,218","2,043,050","2,737,607","101,550","83,140","6,165,680","39,137,732","2,369,080","5,495,630","1,630,330","12,924,276","3,696,790","40,585,997","167,730","4,525,920","57,368,783","2,504,680","5,229,298","461,250","-657,736","5,537,750","6,857,270","130,500","30,541","13,880","103,036","285,060","903,746","155,820","578,392","396,340","376,206","5,620,890","1,601,991","28,068,350","431,735,466","28,068,350","423,014,375","4,509,190","8,721,093","441,620","10,736,611","303,900","5,173,923","158,500","346,012","219,250","191,499","283,950","1,484,547","411,750","1,771,540","417,010","1,843,734","123,750","87,325","220,630","2,069,730","5,970","49,508","12,190","14,696","43,630","126,710","8,010","27,582","273,200","930,684","26,580","395,615","2,293,280","1,512,067","17,852,230","96,571,568","17,652,740","9,717,800",630,"8,208","278,080","97,361","4,347,590","1,357,512","242,640","23,989","18,860","7,077","1,505,790","743,766","1,969,160","342,466","609,050","197,645","81,680","30,427","4,778,910","7,860,157","2,056,060","14,120,203","2,096,800","13,895,231","26,616,680","92,405,422","15,624,900","34,960,415","12,354,650","28,446,295","6,247,540","19,974,051","1,408,900","1,186,247","1,403,530","773,508","434,610","1,152,716","743,710","1,682,297","439,680","1,355,825","2,851,010","4,663,180","23,360,850","53,663,030","15,364,880","8,360,767","18,397,340","16,444,805","2,540","3,733",590,385,"2,903,840","2,975,005","24,610,640","78,898,550","24,486,300","78,441,105","177,220","457,442"
US,4,"37,526,010","21,781,900","6,911,630","7,647,030","35,482,920","1,091,680","18,633,290","28,274,780","1,297,640","63,760,820","630,180","397,550","12,790","219,840","70,910","7,673,610","7,605,860","1,370,421,336","37,526,010","1,382,562,031","31,837,670","1,082,083,271","7,064,480","3,675,298","3,711,970","8,523,863","3,446,150","5,553,940","343,170","269,574","5,615,850","45,950,548","3,979,630","14,060,782","2,320,210","26,094,027","5,349,650","91,508,877","264,210","4,715,650","67,647,893","5,307,430","40,066,079","834,380","3,443,599","6,141,510","12,140,695","449,160","108,736","39,020","365,258","459,210","1,833,141","472,010","2,004,455","1,164,800","1,096,496","9,957,980","3,096,783","36,230,820","595,807,080","36,230,820","585,851,180","5,001,180","9,955,898","1,293,690","32,663,504","706,590","11,825,788","699,110","1,587,018","475,810","681,693","882,660","4,333,482","1,235,130","6,139,490","1,246,770","6,540,957","460,120","400,915","750,060","6,727,461","23,510","188,016","43,060","82,931","227,210","591,337","18,250","74,784","915,070","4,697,392","99,390","1,650,334","4,396,950","7,174,688","37,023,730","735,091,208","36,747,120","79,661,770","1,350","15,902","997,590","632,122","11,049,540","6,410,613","851,590","169,096","109,270","137,735","2,440,610","2,596,135","5,725,160","1,143,836","2,964,940","1,820,958","450,570","405,264","3,881,960","9,688,232","2,721,530","18,214,315","2,735,800","18,047,477","36,330,350","160,816,166","8,399,490","19,405,732","5,366,580","10,747,645","9,215,790","28,641,267","1,509,820","1,261,824","1,488,390","1,203,128","263,830","978,790","1,274,230","2,896,612","269,280","1,210,650","2,475,280","4,063,889","35,027,290","85,665,040","35,133,760","73,251,654","35,632,040","83,516,781","6,230","10,812","1,820",598,"6,737,800","9,553,361","30,507,610","86,762,380","30,282,940","85,852,570","312,400","909,811"
US,5,"22,735,910","11,226,030","7,475,910","3,188,010","21,428,720","693,290","12,031,140","15,386,790","998,120","42,277,780","236,860","117,480","7,250","112,130","2,010","3,209,250","6,095,630","1,398,246,162","22,735,910","1,409,839,470","19,263,700","1,071,948,861","6,707,820","4,232,760","3,953,500","11,868,618","3,715,970","7,886,492","621,830","536,058","3,412,320","37,159,412","4,047,220","21,661,554","2,266,000","34,295,494","4,726,230","117,160,722","241,660","2,035,120","27,607,983","4,403,400","71,971,667","843,010","8,060,345","4,604,150","11,593,308","582,220","144,613","50,010","570,232","398,620","2,073,990","457,300","2,220,590","1,131,630","1,047,862","7,823,480","2,744,827","20,841,440","378,217,278","20,841,440","370,399,532","3,921,250","7,817,752","1,893,890","47,950,198","722,810","12,515,097","1,288,080","4,252,834","499,850","848,853","1,528,610","7,409,097","1,848,650","11,556,436","1,859,990","11,905,673","736,610","550,931","1,369,320","11,999,794","37,810","290,640","85,910","160,365","435,850","1,004,184","24,590","104,478","1,390,620","7,745,277","118,220","2,083,565","3,449,900","8,564,452","22,676,210","962,311,401","22,612,070","116,476,223","2,480","22,896","582,250","858,570","5,759,710","4,984,324","1,157,270","319,499","86,900","165,407","1,330,870","1,607,765","1,531,230","263,857","2,119,840","1,620,752","489,090","728,604","2,377,890","7,458,375","1,045,030","7,803,825","1,108,380","8,207,218","22,272,910","152,487,919","368,180","221,631","16,600","8,775","5,314,330","16,970,993","763,440","671,320","478,390","606,455","105,550","480,381","716,230","1,693,619","107,190","569,890","1,473,600","2,393,702","21,665,570","57,608,201","22,355,960","111,492,037","22,442,090","119,737,669","6,280","9,510","1,750",822,"6,026,110","12,778,076","16,629,000","45,432,913","16,370,460","44,312,772","346,400","1,120,139"
US,6,"14,618,120","5,175,000","7,660,160","1,377,780","13,743,630","463,580","8,190,820","8,974,570","730,840","31,094,430","83,680","27,870","4,510","51,310",0,"1,498,920","4,622,720","1,267,010,117","14,618,120","1,276,934,386","12,247,310","929,469,128","5,868,340","4,384,548","3,677,810","13,871,396","3,478,480","9,360,471","669,670","649,520","2,413,140","31,434,002","3,681,380","27,903,540","2,029,860","40,366,557","3,834,920","121,355,288","211,080","1,261,600","16,499,521","3,439,680","74,420,802","803,220","11,033,429","3,191,070","9,924,269","457,030","119,601","55,960","734,282","333,640","2,075,016","298,680","1,770,377","662,090","493,927","5,832,340","2,351,803","12,676,680","263,387,176","12,676,680","257,262,935","2,943,370","6,124,240","1,941,200","51,114,512","554,420","10,170,079","1,454,600","6,711,164","411,530","774,244","1,680,120","8,559,564","1,911,230","14,264,228","1,920,390","14,449,039","785,790","519,854","1,525,270","13,796,183","38,730","294,219","107,360","183,890","437,450","992,998","30,050","129,736","1,480,940","8,913,120","109,350","2,067,095","2,879,290","8,576,829","14,593,640","942,273,151","14,562,260","124,654,854","4,450","31,177","283,680","622,809","3,528,320","3,932,505","1,180,020","380,927","78,390","169,092","890,780","1,048,261",0,0,"1,536,030","1,246,234","404,410","757,131","1,721,550","6,161,341","423,420","3,018,959","466,560","3,421,507","14,398,320","145,982,618",0,0,0,0,"3,801,070","12,259,150","540,240","466,013","176,010","308,828","48,460","216,592","611,470","1,507,817","49,470","252,960","827,440","1,388,538","12,781,290","40,221,486","14,451,520","120,722,418","14,488,950","127,688,981","8,760","9,175","2,020","1,005","4,784,740","13,634,835","9,787,590","31,817,899","9,532,080","30,567,318","333,960","1,250,579"
US,7,"24,033,980","5,047,230","17,344,780","1,200,830","22,624,340","794,170","13,957,850","12,113,010","1,441,400","58,977,350","64,340","18,310","5,780","40,250",0,"1,470,710","7,914,830","3,297,750,169","24,033,980","3,326,308,727","20,392,070","2,364,398,457","12,748,340","13,111,124","8,997,600","51,198,553","8,597,400","35,862,430","1,117,980","1,303,768","4,556,410","84,479,254","9,002,160","125,811,731","4,203,790","130,738,154","6,971,850","296,296,985","422,170","1,784,670","23,208,118","5,590,830","148,692,113","2,291,820","58,417,059","6,438,770","28,558,558","1,116,070","311,217","237,650","4,151,416","806,520","6,577,840","673,930","4,184,545","1,244,680","1,013,454","11,129,530","5,045,493","19,508,400","451,548,726","19,508,400","441,218,194","4,723,310","10,330,534","4,525,330","140,086,876","929,550","19,277,300","3,548,920","27,392,854","852,880","1,933,435","4,066,420","24,862,555","4,475,680","39,354,482","4,491,270","39,599,268","1,900,650","1,278,634","3,693,150","40,237,251","91,990","687,415","323,540","548,652","121,160","145,327","124,380","632,606","3,776,670","32,216,344","266,860","6,469,977","6,672,030","29,074,825","24,013,950","2,672,546,171","23,989,520","405,896,432","22,450","231,140","284,950","1,057,047","7,643,990","9,778,412","3,305,000","1,619,705","203,980","403,701","1,752,600","2,233,087",0,0,"3,174,550","2,603,699","808,270","1,821,588","3,338,160","15,563,233","322,230","2,074,000","407,980","2,857,438","23,759,030","422,766,440",0,0,0,0,"7,406,280","22,029,839","1,173,930","1,074,451","132,130","328,719","56,100","195,644","1,566,350","3,459,803","57,280","227,690","1,368,800","2,980,317","17,698,210","64,772,531","23,899,220","396,118,173","23,931,060","414,003,567","341,650","97,419","128,140","51,016","10,406,450","49,330,722","13,554,440","57,779,077","12,837,690","52,377,612","927,030","5,401,464"
US,8,"9,011,010","1,324,640","7,332,390","252,220","8,513,740","310,210","5,994,040","2,526,330","709,360","24,051,100","6,010","1,630",620,"3,760",0,"171,410","2,998,800","2,611,076,083","9,011,010","2,642,480,074","7,719,920","1,700,362,695","6,444,820","14,497,749","5,603,630","73,885,962","5,433,530","54,488,747","261,490","478,366","2,061,290","94,045,100","5,767,910","245,829,601","1,852,520","105,800,429","2,343,200","142,853,748","172,380","439,460","5,907,611","1,861,070","56,893,407","2,090,790","161,112,815","2,646,170","31,403,991","318,150","85,147","353,330","10,308,253","679,210","8,193,979","167,930","1,583,229",0,0,"3,984,970","1,923,793","5,863,080","140,662,478","5,863,080","137,394,094","1,473,750","3,268,395","3,147,840","125,887,132","248,860","8,139,854","2,468,030","45,074,242","619,070","1,843,376","2,901,040","27,004,278","3,129,160","30,073,530","3,134,670","30,249,223","1,247,010","956,713","2,642,930","39,436,489","62,490","566,699","267,260","361,873",0,0,"224,140","1,678,791","2,784,930","37,178,144","182,640","7,895,301","4,281,620","39,817,608","9,006,370","2,303,034,724","9,003,080","449,697,502","41,900","793,209","69,620","450,339","4,002,710","7,414,159","2,666,960","3,778,107","94,830","111,056",0,0,0,0,"1,221,380","1,020,625","318,980","923,037","1,742,530","13,708,632",0,0,"86,010","612,961","8,900,410","428,000,299",0,0,0,0,"2,853,380","5,416,337",0,0,0,0,"19,240","65,714","699,880","869,764","19,340","73,889","1,580",930,"2,043,640","6,468,785","8,984,880","442,283,511","9,000,260","467,201,921","3,918,080","3,072,931","4,810,230","6,259,815","5,457,490","73,486,729","3,510,890","33,842,708","2,792,330","21,640,429","862,810","12,202,285"
US,9,"1,626,260","213,120","1,353,090","40,220","1,547,900","50,960","1,307,430","253,010","139,430","4,515,650",110,20,0,90,0,"6,330","555,750","1,099,128,877","1,626,260","1,114,618,091","1,375,550","595,428,769","1,414,980","8,413,303","1,303,270","43,582,027","1,273,440","33,286,286","31,580","119,707","422,930","40,610,855","1,373,110","183,209,933","317,290","26,710,610","305,980","21,043,712","38,230","50,490","696,354","308,280","10,199,390","746,250","160,176,679","631,150","15,489,214","22,200","5,608","146,310","6,459,359","245,600","3,841,122","36,170","389,821",0,0,"540,920","270,772","749,740","18,058,962","749,740","17,593,603","208,660","465,374","876,500","50,989,623","17,640","1,247,146","684,300","31,617,775","179,380","581,173","807,470","11,685,692","873,300","8,558,755","874,070","8,625,917","291,920","274,327","711,950","12,982,440","18,770","261,767","70,750","70,207",0,0,"147,310","1,781,080","796,070","20,774,013","66,510","4,923,875","1,002,320","19,246,004","1,625,110","1,010,698,035","1,624,870","252,347,327","39,290","785,197","8,770","65,963","863,770","5,120,553","784,510","3,653,083","2,230","1,384",0,0,0,0,"1,050","1,097","50,550","212,258","443,800","5,479,498",0,0,"10,250","77,885","1,602,360","235,695,428",0,0,0,0,"4,240","4,620",0,0,0,0,"3,150","12,364",50,42,"3,020","13,324",0,0,"166,400","502,755","1,621,500","247,227,089","1,625,000","264,753,938","1,103,170","3,473,681","1,438,610","7,685,391","1,020,900","48,786,267","594,200","19,418,020","299,000","7,089,438","337,370","12,328,585"
