varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,734923
c00100,0,1,1,10000,0,177471000
c00100,0,1,10000,25000,0,874782000
c00100,0,1,25000,50000,0,2855458000
c00100,0,1,50000,75000,0,3199366000
c00100,0,1,75000,100000,0,3105485000
c00100,0,1,100000,200000,0,8735919000
c00100,0,1,200000,500000,0,5702679000
c00100,0,1,500000,1000000,0,1786850000
c00100,1,1,-9e99,1,0,6450
c00100,1,1,1,10000,0,40520
c00100,1,1,10000,25000,0,50090
c00100,1,1,25000,50000,0,77590
c00100,1,1,50000,75000,0,51910
c00100,1,1,75000,100000,0,35820
c00100,1,1,100000,200000,0,63340
c00100,1,1,200000,500000,0,20240
c00100,1,1,500000,1000000,0,2670
c00100,1,1,-9e99,1,1,4460
c00100,1,1,1,10000,1,34420
c00100,1,1,10000,25000,1,37290
c00100,1,1,25000,50000,1,49320
c00100,1,1,50000,75000,1,26960
c00100,1,1,75000,100000,1,13560
c00100,1,1,100000,200000,1,12740
c00100,1,1,200000,500000,1,2690
c00100,1,1,500000,1000000,1,380
c00100,1,1,-9e99,1,2,1180
c00100,1,1,1,10000,2,2240
c00100,1,1,10000,25000,2,4440
c00100,1,1,25000,50000,2,12910
c00100,1,1,50000,75000,2,16140
c00100,1,1,75000,100000,2,17760
c00100,1,1,100000,200000,2,46660
c00100,1,1,200000,500000,2,16890
c00100,1,1,500000,1000000,2,2180
c00100,1,1,-9e99,1,4,580
c00100,1,1,1,10000,4,3020
c00100,1,1,10000,25000,4,6890
c00100,1,1,25000,50000,4,12160
c00100,1,1,50000,75000,4,6730
c00100,1,1,75000,100000,4,3420
c00100,1,1,100000,200000,4,2890
c00100,1,1,200000,500000,4,480
c00100,1,1,500000,1000000,4,70
e00200,0,1,-9e99,1,0,49153000
e00200,0,1,1,10000,0,117171000
e00200,0,1,10000,25000,0,620028000
e00200,0,1,25000,50000,0,2307108000
e00200,0,1,50000,75000,0,2463690000
e00200,0,1,75000,100000,0,2274758000
e00200,0,1,100000,200000,0,6119623000
e00200,0,1,200000,500000,0,3314353000
e00200,0,1,500000,1000000,0,747523000
e00300,0,1,-9e99,1,0,4399000
e00300,0,1,1,10000,0,1663000
e00300,0,1,10000,25000,0,3573000
e00300,0,1,25000,50000,0,6889000
e00300,0,1,50000,75000,0,9792000
e00300,0,1,75000,100000,0,10387000
e00300,0,1,100000,200000,0,32688000
e00300,0,1,200000,500000,0,34088000
e00300,0,1,500000,1000000,0,18386000
e01500,0,1,-9e99,1,0,22759361.06376764
e01500,0,1,1,10000,0,19774014.200674955
e01500,0,1,10000,25000,0,75625712.10945766
e01500,0,1,25000,50000,0,237843939.47933373
e01500,0,1,50000,75000,0,408793828.37465686
e01500,0,1,75000,100000,0,526964777.3371406
e01500,0,1,100000,200000,0,1749301286.8165658
e01500,0,1,200000,500000,0,1187662911.0498068
e01500,0,1,500000,1000000,0,200706098.56180203
e02400,0,1,1,10000,0,167241548.85320172
e02400,0,1,10000,25000,0,142210405.6643498
e02400,0,1,25000,50000,0,182992203.34839907
e02400,0,1,50000,75000,0,171631682.60310838
e02400,0,1,75000,100000,0,167722161.38670084
e02400,0,1,100000,200000,0,363417854.33653986
e02400,0,1,200000,500000,0,142079419.24080473
e02400,0,1,500000,1000000,0,21582921.780859116
e18400,0,1,10000,25000,0,388345.0165697672
e18400,0,1,25000,50000,0,1792111.3251061104
e18400,0,1,50000,75000,0,3378159.3786518993
e18400,0,1,75000,100000,0,4106972.586477614
e18400,0,1,100000,200000,0,14958615.171105493
e18400,0,1,200000,500000,0,13147938.195255997
e18400,0,1,500000,1000000,0,3702982.910013336
e18500,0,1,10000,25000,0,5441007.988954351
e18500,0,1,25000,50000,0,16319379.0287261
e18500,0,1,50000,75000,0,23994124.561735224
e18500,0,1,75000,100000,0,29143455.230350222
e18500,0,1,100000,200000,0,99967611.72634736
e18500,0,1,200000,500000,0,77890353.75955041
e18500,0,1,500000,1000000,0,18598795.65017968
e26270,0,1,50000,75000,0,14419000
e26270,0,1,75000,100000,0,23274000
e26270,0,1,100000,200000,0,132290000
e26270,0,1,200000,500000,0,418590000
e26270,0,1,500000,1000000,0,386552000
