varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,5811596
c00100,0,1,1,10000,0,1408338000
c00100,0,1,10000,25000,0,7576725000
c00100,0,1,25000,50000,0,24702067000
c00100,0,1,50000,75000,0,27326534000
c00100,0,1,75000,100000,0,25239349000
c00100,0,1,100000,200000,0,69837761000
c00100,0,1,200000,500000,0,61248414000
c00100,0,1,500000,1000000,0,24363833000
c00100,1,1,-9e99,1,0,64710
c00100,1,1,1,10000,0,278570
c00100,1,1,10000,25000,0,435770
c00100,1,1,25000,50000,0,668520
c00100,1,1,50000,75000,0,443940
c00100,1,1,75000,100000,0,291230
c00100,1,1,100000,200000,0,504630
c00100,1,1,200000,500000,0,211110
c00100,1,1,500000,1000000,0,36190
c00100,1,1,-9e99,1,1,44590
c00100,1,1,1,10000,1,234590
c00100,1,1,10000,25000,1,325440
c00100,1,1,25000,50000,1,441590
c00100,1,1,50000,75000,1,251350
c00100,1,1,75000,100000,1,120490
c00100,1,1,100000,200000,1,114970
c00100,1,1,200000,500000,1,29910
c00100,1,1,500000,1000000,1,4610
c00100,1,1,-9e99,1,2,12580
c00100,1,1,1,10000,2,21530
c00100,1,1,10000,25000,2,45010
c00100,1,1,25000,50000,2,107330
c00100,1,1,50000,75000,2,128920
c00100,1,1,75000,100000,2,141340
c00100,1,1,100000,200000,2,361200
c00100,1,1,200000,500000,2,173600
c00100,1,1,500000,1000000,2,30380
c00100,1,1,-9e99,1,4,5720
c00100,1,1,1,10000,4,18040
c00100,1,1,10000,25000,4,56330
c00100,1,1,25000,50000,4,99510
c00100,1,1,50000,75000,4,49180
c00100,1,1,75000,100000,4,22370
c00100,1,1,100000,200000,4,21010
c00100,1,1,200000,500000,4,5700
c00100,1,1,500000,1000000,4,900
e00200,0,1,-9e99,1,0,470650000
e00200,0,1,1,10000,0,1081837000
e00200,0,1,10000,25000,0,5250241000
e00200,0,1,25000,50000,0,19615602000
e00200,0,1,50000,75000,0,21207883000
e00200,0,1,75000,100000,0,18688735000
e00200,0,1,100000,200000,0,50041397000
e00200,0,1,200000,500000,0,38857645000
e00200,0,1,500000,1000000,0,11772172000
e00300,0,1,-9e99,1,0,53061000
e00300,0,1,1,10000,0,16470000
e00300,0,1,10000,25000,0,36314000
e00300,0,1,25000,50000,0,64792000
e00300,0,1,50000,75000,0,77119000
e00300,0,1,75000,100000,0,82186000
e00300,0,1,100000,200000,0,272307000
e00300,0,1,200000,500000,0,323094000
e00300,0,1,500000,1000000,0,194344000
e01500,0,1,-9e99,1,0,126037531.1135498
e01500,0,1,1,10000,0,186006361.2488957
e01500,0,1,10000,25000,0,674438461.5854973
e01500,0,1,25000,50000,0,1900992195.0439992
e01500,0,1,50000,75000,0,2848434775.3829894
e01500,0,1,75000,100000,0,3346131953.344771
e01500,0,1,100000,200000,0,9564831791.598316
e01500,0,1,200000,500000,0,6362741312.116315
e01500,0,1,500000,1000000,0,1470559277.4501057
e02400,0,1,-9e99,1,0,386280617.1417271
e02400,0,1,1,10000,0,1181425941.3920434
e02400,0,1,10000,25000,0,1583333037.9660635
e02400,0,1,25000,50000,0,1855835721.9668329
e02400,0,1,50000,75000,0,1588534535.0251703
e02400,0,1,75000,100000,0,1437740849.2104475
e02400,0,1,100000,200000,0,3005605220.1987634
e02400,0,1,200000,500000,0,1280926755.771713
e02400,0,1,500000,1000000,0,226563765.3868228
e18400,0,1,10000,25000,0,25189342.945273537
e18400,0,1,25000,50000,0,120119633.81773056
e18400,0,1,50000,75000,0,286973049.834393
e18400,0,1,75000,100000,0,420938021.46079654
e18400,0,1,100000,200000,0,1880392975.5806084
e18400,0,1,200000,500000,0,2191015759.4674926
e18400,0,1,500000,1000000,0,823342302.4711884
e18500,0,1,10000,25000,0,52709764.89299528
e18500,0,1,25000,50000,0,144579804.27401972
e18500,0,1,50000,75000,0,247825136.52970904
e18500,0,1,75000,100000,0,289246917.7001445
e18500,0,1,100000,200000,0,1027176897.8164718
e18500,0,1,200000,500000,0,862810693.1744049
e18500,0,1,500000,1000000,0,224384252.21604744
e26270,0,1,25000,50000,0,110356000
e26270,0,1,50000,75000,0,250821000
e26270,0,1,75000,100000,0,362261000
e26270,0,1,100000,200000,0,1767059000
e26270,0,1,200000,500000,0,4668162000
e26270,0,1,500000,1000000,0,4107985000
