varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,3603691
c00100,0,1,1,10000,0,931441000
c00100,0,1,10000,25000,0,4827106000
c00100,0,1,25000,50000,0,14092515000
c00100,0,1,50000,75000,0,16082070000
c00100,0,1,75000,100000,0,15334899000
c00100,0,1,100000,200000,0,44295761000
c00100,0,1,200000,500000,0,40426150000
c00100,0,1,500000,1000000,0,19084388000
c00100,1,1,-9e99,1,0,35920
c00100,1,1,1,10000,0,182600
c00100,1,1,10000,25000,0,279190
c00100,1,1,25000,50000,0,383610
c00100,1,1,50000,75000,0,260570
c00100,1,1,75000,100000,0,176900
c00100,1,1,100000,200000,0,318080
c00100,1,1,200000,500000,0,138830
c00100,1,1,500000,1000000,0,28050
c00100,1,1,-9e99,1,1,26220
c00100,1,1,1,10000,1,156070
c00100,1,1,10000,25000,1,203780
c00100,1,1,25000,50000,1,239660
c00100,1,1,50000,75000,1,149600
c00100,1,1,75000,100000,1,78270
c00100,1,1,100000,200000,1,72590
c00100,1,1,200000,500000,1,17950
c00100,1,1,500000,1000000,1,2940
c00100,1,1,-9e99,1,2,5280
c00100,1,1,1,10000,2,11490
c00100,1,1,10000,25000,2,24130
c00100,1,1,25000,50000,2,52550
c00100,1,1,50000,75000,2,61160
c00100,1,1,75000,100000,2,72980
c00100,1,1,100000,200000,2,221430
c00100,1,1,200000,500000,2,115060
c00100,1,1,500000,1000000,2,24010
c00100,1,1,-9e99,1,4,3540
c00100,1,1,1,10000,4,12580
c00100,1,1,10000,25000,4,45800
c00100,1,1,25000,50000,4,79720
c00100,1,1,50000,75000,4,39220
c00100,1,1,75000,100000,4,20080
c00100,1,1,100000,200000,4,17880
c00100,1,1,200000,500000,4,4340
c00100,1,1,500000,1000000,4,790
e00200,0,1,-9e99,1,0,194891000
e00200,0,1,1,10000,0,657999000
e00200,0,1,10000,25000,0,3107736000
e00200,0,1,25000,50000,0,10743789000
e00200,0,1,50000,75000,0,12085676000
e00200,0,1,75000,100000,0,10987564000
e00200,0,1,100000,200000,0,31222875000
e00200,0,1,200000,500000,0,27044769000
e00200,0,1,500000,1000000,0,11608354000
e00300,0,1,-9e99,1,0,36617000
e00300,0,1,1,10000,0,9730000
e00300,0,1,10000,25000,0,21139000
e00300,0,1,25000,50000,0,36895000
e00300,0,1,50000,75000,0,47490000
e00300,0,1,75000,100000,0,51650000
e00300,0,1,100000,200000,0,164257000
e00300,0,1,200000,500000,0,198772000
e00300,0,1,500000,1000000,0,146807000
e01500,0,1,-9e99,1,0,68201283.27077624
e01500,0,1,1,10000,0,168759710.2801883
e01500,0,1,10000,25000,0,495327775.44531894
e01500,0,1,25000,50000,0,1184476821.6451187
e01500,0,1,50000,75000,0,1892435736.81729
e01500,0,1,75000,100000,0,2296136780.557301
e01500,0,1,100000,200000,0,6978995137.537546
e01500,0,1,200000,500000,0,4822653561.146605
e01500,0,1,500000,1000000,0,1329107547.932391
e02400,0,1,-9e99,1,0,301781732.1419743
e02400,0,1,1,10000,0,874628100.083636
e02400,0,1,10000,25000,0,1307992602.6942022
e02400,0,1,25000,50000,0,1438748136.1598856
e02400,0,1,50000,75000,0,1294259696.7137642
e02400,0,1,75000,100000,0,1199438817.972706
e02400,0,1,100000,200000,0,2625050953.930481
e02400,0,1,200000,500000,0,1096525283.358948
e02400,0,1,500000,1000000,0,196311436.21320012
e18400,0,1,10000,25000,0,18696437.77615023
e18400,0,1,25000,50000,0,93986282.82778712
e18400,0,1,50000,75000,0,261167264.3328007
e18400,0,1,75000,100000,0,405644250.6808033
e18400,0,1,100000,200000,0,1352055179.8980565
e18400,0,1,200000,500000,0,1685786738.4934833
e18400,0,1,500000,1000000,0,987311930.423969
e18500,0,1,10000,25000,0,92456577.83982924
e18500,0,1,25000,50000,0,233141572.26224437
e18500,0,1,50000,75000,0,401990948.8377641
e18500,0,1,75000,100000,0,453428410.6921824
e18500,0,1,100000,200000,0,1168884258.6668053
e18500,0,1,200000,500000,0,1021030053.5574008
e18500,0,1,500000,1000000,0,390706849.2978243
e26270,0,1,25000,50000,0,31446000
e26270,0,1,50000,75000,0,57112000
e26270,0,1,75000,100000,0,74689000
e26270,0,1,100000,200000,0,540905000
e26270,0,1,200000,500000,0,1815116000
e26270,0,1,500000,1000000,0,2016889000
