varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,21830708
c00100,0,1,1,10000,0,6118490000
c00100,0,1,10000,25000,0,39653439000
c00100,0,1,25000,50000,0,96081831000
c00100,0,1,50000,75000,0,89478887000
c00100,0,1,75000,100000,0,76383760000
c00100,0,1,100000,200000,0,190677116000
c00100,0,1,200000,500000,0,154409674000
c00100,0,1,500000,1000000,0,71791574000
c00100,1,1,-9e99,1,0,265280
c00100,1,1,1,10000,0,1157900
c00100,1,1,10000,25000,0,2319260
c00100,1,1,25000,50000,0,2655060
c00100,1,1,50000,75000,0,1458670
c00100,1,1,75000,100000,0,882310
c00100,1,1,100000,200000,0,1392500
c00100,1,1,200000,500000,0,529810
c00100,1,1,500000,1000000,0,105500
c00100,1,1,-9e99,1,1,177120
c00100,1,1,1,10000,1,911500
c00100,1,1,10000,25000,1,1525530
c00100,1,1,25000,50000,1,1498390
c00100,1,1,50000,75000,1,698540
c00100,1,1,75000,100000,1,307020
c00100,1,1,100000,200000,1,305830
c00100,1,1,200000,500000,1,92280
c00100,1,1,500000,1000000,1,18010
c00100,1,1,-9e99,1,2,53650
c00100,1,1,1,10000,2,111330
c00100,1,1,10000,25000,2,259320
c00100,1,1,25000,50000,2,500960
c00100,1,1,50000,75000,2,489000
c00100,1,1,75000,100000,2,461170
c00100,1,1,100000,200000,2,982550
c00100,1,1,200000,500000,2,412350
c00100,1,1,500000,1000000,2,82980
c00100,1,1,-9e99,1,4,25990
c00100,1,1,1,10000,4,112290
c00100,1,1,10000,25000,4,487440
c00100,1,1,25000,50000,4,566330
c00100,1,1,50000,75000,4,214400
c00100,1,1,75000,100000,4,89480
c00100,1,1,100000,200000,4,77400
c00100,1,1,200000,500000,4,17680
c00100,1,1,500000,1000000,4,2910
e00200,0,1,-9e99,1,0,1521483000
e00200,0,1,1,10000,0,4218087000
e00200,0,1,10000,25000,0,27636443000
e00200,0,1,25000,50000,0,77355871000
e00200,0,1,50000,75000,0,66528710000
e00200,0,1,75000,100000,0,52463990000
e00200,0,1,100000,200000,0,122548508000
e00200,0,1,200000,500000,0,84479568000
e00200,0,1,500000,1000000,0,30229661000
e00300,0,1,-9e99,1,0,264651000
e00300,0,1,1,10000,0,73573000
e00300,0,1,10000,25000,0,173441000
e00300,0,1,25000,50000,0,280312000
e00300,0,1,50000,75000,0,319456000
e00300,0,1,75000,100000,0,324966000
e00300,0,1,100000,200000,0,1040112000
e00300,0,1,200000,500000,0,1338968000
e00300,0,1,500000,1000000,0,868721000
e01500,0,1,-9e99,1,0,617252776.6452003
e01500,0,1,1,10000,0,1020577670.408182
e01500,0,1,10000,25000,0,3579896511.1727285
e01500,0,1,25000,50000,0,8566992644.782463
e01500,0,1,50000,75000,0,11382635203.363852
e01500,0,1,75000,100000,0,12854704284.166544
e01500,0,1,100000,200000,0,36150449883.726685
e01500,0,1,200000,500000,0,24422654365.042152
e01500,0,1,500000,1000000,0,6821858400.500651
e02400,0,1,-9e99,1,0,4389918263.558586
e02400,0,1,1,10000,0,7216529333.538916
e02400,0,1,10000,25000,0,8417508604.688815
e02400,0,1,25000,50000,0,9211434623.47835
e02400,0,1,50000,75000,0,7680349598.663406
e02400,0,1,75000,100000,0,6648602486.121899
e02400,0,1,100000,200000,0,13429970342.955791
e02400,0,1,200000,500000,0,5752495331.600385
e02400,0,1,500000,1000000,0,1233707545.5223825
e18400,0,1,10000,25000,0,95530080.22712268
e18400,0,1,25000,50000,0,508670566.11640865
e18400,0,1,50000,75000,0,529761277.6845368
e18400,0,1,75000,100000,0,476554795.8171154
e18400,0,1,100000,200000,0,1495335520.1551187
e18400,0,1,200000,500000,0,1531462841.231738
e18400,0,1,500000,1000000,0,677846111.0830013
e18500,0,1,10000,25000,0,289792952.4483961
e18500,0,1,25000,50000,0,745397908.3680854
e18500,0,1,50000,75000,0,962894542.2101417
e18500,0,1,75000,100000,0,936796440.0931492
e18500,0,1,100000,200000,0,3132048004.3468013
e18500,0,1,200000,500000,0,2937782771.855031
e18500,0,1,500000,1000000,0,1126403031.2576342
e26270,0,1,25000,50000,0,900798000
e26270,0,1,50000,75000,0,1373696000
e26270,0,1,75000,100000,0,1490040000
e26270,0,1,100000,200000,0,5708269000
e26270,0,1,200000,500000,0,12373810000
e26270,0,1,500000,1000000,0,11860654000
