varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,3197944
c00100,0,1,1,10000,0,796326000
c00100,0,1,10000,25000,0,4065403000
c00100,0,1,25000,50000,0,13042324000
c00100,0,1,50000,75000,0,14504957000
c00100,0,1,75000,100000,0,13611080000
c00100,0,1,100000,200000,0,33815384000
c00100,0,1,200000,500000,0,18609073000
c00100,0,1,500000,1000000,0,6531377000
c00100,1,1,-9e99,1,0,29680
c00100,1,1,1,10000,0,148710
c00100,1,1,10000,25000,0,236400
c00100,1,1,25000,50000,0,351990
c00100,1,1,50000,75000,0,235880
c00100,1,1,75000,100000,0,156740
c00100,1,1,100000,200000,0,250830
c00100,1,1,200000,500000,0,65520
c00100,1,1,500000,1000000,0,9680
c00100,1,1,-9e99,1,1,18850
c00100,1,1,1,10000,1,124230
c00100,1,1,10000,25000,1,169220
c00100,1,1,25000,50000,1,215870
c00100,1,1,50000,75000,1,113190
c00100,1,1,75000,100000,1,40010
c00100,1,1,100000,200000,1,30150
c00100,1,1,200000,500000,1,6580
c00100,1,1,500000,1000000,1,1030
c00100,1,1,-9e99,1,2,7170
c00100,1,1,1,10000,2,10900
c00100,1,1,10000,25000,2,28590
c00100,1,1,25000,50000,2,67580
c00100,1,1,50000,75000,2,89140
c00100,1,1,75000,100000,2,105440
c00100,1,1,100000,200000,2,212960
c00100,1,1,200000,500000,2,57500
c00100,1,1,500000,1000000,2,8460
c00100,1,1,-9e99,1,4,2950
c00100,1,1,1,10000,4,11940
c00100,1,1,10000,25000,4,34840
c00100,1,1,25000,50000,4,59320
c00100,1,1,50000,75000,4,27110
c00100,1,1,75000,100000,4,9160
c00100,1,1,100000,200000,4,5990
c00100,1,1,200000,500000,4,1150
c00100,1,1,500000,1000000,4,140
e00200,0,1,-9e99,1,0,183461000
e00200,0,1,1,10000,0,641887000
e00200,0,1,10000,25000,0,2900663000
e00200,0,1,25000,50000,0,10342717000
e00200,0,1,50000,75000,0,10839961000
e00200,0,1,75000,100000,0,9713026000
e00200,0,1,100000,200000,0,23690763000
e00200,0,1,200000,500000,0,10580736000
e00200,0,1,500000,1000000,0,2880116000
e00300,0,1,-9e99,1,0,16042000
e00300,0,1,1,10000,0,10828000
e00300,0,1,10000,25000,0,33021000
e00300,0,1,25000,50000,0,60998000
e00300,0,1,50000,75000,0,73082000
e00300,0,1,75000,100000,0,71874000
e00300,0,1,100000,200000,0,185644000
e00300,0,1,200000,500000,0,146991000
e00300,0,1,500000,1000000,0,63002000
e01500,0,1,-9e99,1,0,90496890.96828672
e01500,0,1,1,10000,0,131812878.193987
e01500,0,1,10000,25000,0,531558318.0085124
e01500,0,1,25000,50000,0,1269430419.79353
e01500,0,1,50000,75000,0,1567248142.715706
e01500,0,1,75000,100000,0,1702814721.34715
e01500,0,1,100000,200000,0,4177570702.657174
e01500,0,1,200000,500000,0,1972610482.09884
e01500,0,1,500000,1000000,0,489942338.3911751
e02400,0,1,-9e99,1,0,138819596.78530815
e02400,0,1,1,10000,0,413866332.888413
e02400,0,1,10000,25000,0,1136783576.719305
e02400,0,1,25000,50000,0,1524105873.8368435
e02400,0,1,50000,75000,0,1329236106.908757
e02400,0,1,75000,100000,0,1142314831.3773346
e02400,0,1,100000,200000,0,1973405431.2842293
e02400,0,1,200000,500000,0,581243583.7945387
e02400,0,1,500000,1000000,0,86552371.39522439
e18400,0,1,10000,25000,0,12985810.338246606
e18400,0,1,25000,50000,0,43909939.13414112
e18400,0,1,50000,75000,0,91606203.85223712
e18400,0,1,75000,100000,0,127981462.89645554
e18400,0,1,100000,200000,0,525098761.79911095
e18400,0,1,200000,500000,0,520321080.2846964
e18400,0,1,500000,1000000,0,220906029.52937803
e18500,0,1,10000,25000,0,27005369.92682848
e18500,0,1,25000,50000,0,65643647.0710207
e18500,0,1,50000,75000,0,109562087.0575494
e18500,0,1,75000,100000,0,114875016.17410322
e18500,0,1,100000,200000,0,349928759.86070615
e18500,0,1,200000,500000,0,245477203.12556255
e18500,0,1,500000,1000000,0,73372665.71222876
e26270,0,1,25000,50000,0,30252000
e26270,0,1,50000,75000,0,90138000
e26270,0,1,75000,100000,0,134293000
e26270,0,1,100000,200000,0,777781000
e26270,0,1,200000,500000,0,1839497000
e26270,0,1,500000,1000000,0,1439593000
