varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,1904537
c00100,0,1,1,10000,0,467611000
c00100,0,1,10000,25000,0,2550618000
c00100,0,1,25000,50000,0,7673730000
c00100,0,1,50000,75000,0,7980454000
c00100,0,1,75000,100000,0,7554268000
c00100,0,1,100000,200000,0,17613287000
c00100,0,1,200000,500000,0,11821806000
c00100,0,1,500000,1000000,0,5029362000
c00100,1,1,-9e99,1,0,20190
c00100,1,1,1,10000,0,90100
c00100,1,1,10000,25000,0,147130
c00100,1,1,25000,50000,0,209890
c00100,1,1,50000,75000,0,129480
c00100,1,1,75000,100000,0,87150
c00100,1,1,100000,200000,0,130240
c00100,1,1,200000,500000,0,40740
c00100,1,1,500000,1000000,0,7450
c00100,1,1,-9e99,1,1,12080
c00100,1,1,1,10000,1,71480
c00100,1,1,10000,25000,1,103740
c00100,1,1,25000,50000,1,117460
c00100,1,1,50000,75000,1,49050
c00100,1,1,75000,100000,1,19130
c00100,1,1,100000,200000,1,16800
c00100,1,1,200000,500000,1,4720
c00100,1,1,500000,1000000,1,850
c00100,1,1,-9e99,1,2,5850
c00100,1,1,1,10000,2,11050
c00100,1,1,10000,25000,2,22990
c00100,1,1,25000,50000,2,56150
c00100,1,1,50000,75000,2,65350
c00100,1,1,75000,100000,2,62590
c00100,1,1,100000,200000,2,109040
c00100,1,1,200000,500000,2,34990
c00100,1,1,500000,1000000,2,6440
c00100,1,1,-9e99,1,4,1880
c00100,1,1,1,10000,4,6540
c00100,1,1,10000,25000,4,18350
c00100,1,1,25000,50000,4,32500
c00100,1,1,50000,75000,4,13070
c00100,1,1,75000,100000,4,4610
c00100,1,1,100000,200000,4,3660
c00100,1,1,200000,500000,4,850
c00100,1,1,500000,1000000,4,120
e00200,0,1,-9e99,1,0,104656000
e00200,0,1,1,10000,0,369056000
e00200,0,1,10000,25000,0,1893990000
e00200,0,1,25000,50000,0,6125084000
e00200,0,1,50000,75000,0,5953273000
e00200,0,1,75000,100000,0,5415569000
e00200,0,1,100000,200000,0,11836811000
e00200,0,1,200000,500000,0,6095525000
e00200,0,1,500000,1000000,0,1810362000
e00300,0,1,-9e99,1,0,17674000
e00300,0,1,1,10000,0,7276000
e00300,0,1,10000,25000,0,17294000
e00300,0,1,25000,50000,0,28544000
e00300,0,1,50000,75000,0,32219000
e00300,0,1,75000,100000,0,31160000
e00300,0,1,100000,200000,0,94698000
e00300,0,1,200000,500000,0,101375000
e00300,0,1,500000,1000000,0,54262000
e01500,0,1,-9e99,1,0,60825537.05711917
e01500,0,1,1,10000,0,92497707.97805434
e01500,0,1,10000,25000,0,313282640.3919478
e01500,0,1,25000,50000,0,780789042.8788459
e01500,0,1,50000,75000,0,1021242860.8529916
e01500,0,1,75000,100000,0,1146108016.708557
e01500,0,1,100000,200000,0,2841915446.1688743
e01500,0,1,200000,500000,0,1422704041.4430594
e01500,0,1,500000,1000000,0,334169177.81591904
e02400,0,1,-9e99,1,0,66391981.07123434
e02400,0,1,1,10000,0,250579820.6634965
e02400,0,1,10000,25000,0,609305786.9291149
e02400,0,1,25000,50000,0,783481321.7264388
e02400,0,1,50000,75000,0,658049600.7029206
e02400,0,1,75000,100000,0,570008608.662346
e02400,0,1,100000,200000,0,982812855.2649708
e02400,0,1,200000,500000,0,322804027.67424047
e02400,0,1,500000,1000000,0,60933250.43298084
e18400,0,1,10000,25000,0,7465164.635067757
e18400,0,1,25000,50000,0,29862098.747019023
e18400,0,1,50000,75000,0,69915473.05996923
e18400,0,1,75000,100000,0,97500595.94910492
e18400,0,1,100000,200000,0,506587360.1746584
e18400,0,1,200000,500000,0,506893538.1537379
e18400,0,1,500000,1000000,0,198889800.89522
e18500,0,1,10000,25000,0,12217309.22290438
e18500,0,1,25000,50000,0,32177600.746313337
e18500,0,1,50000,75000,0,49955472.37902682
e18500,0,1,75000,100000,0,55065957.3002258
e18500,0,1,100000,200000,0,221143452.5232273
e18500,0,1,200000,500000,0,153613259.09926215
e18500,0,1,500000,1000000,0,41511039.46688162
e26270,0,1,25000,50000,0,45374000
e26270,0,1,50000,75000,0,86259000
e26270,0,1,75000,100000,0,136371000
e26270,0,1,100000,200000,0,689407000
e26270,0,1,200000,500000,0,1537122000
e26270,0,1,500000,1000000,0,1162627000
