varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,12690341
c00100,0,1,1,10000,0,3328551000
c00100,0,1,10000,25000,0,17629521000
c00100,0,1,25000,50000,0,51405146000
c00100,0,1,50000,75000,0,54724583000
c00100,0,1,75000,100000,0,51511274000
c00100,0,1,100000,200000,0,136642155000
c00100,0,1,200000,500000,0,104985860000
c00100,0,1,500000,1000000,0,41911999000
c00100,1,1,-9e99,1,0,122050
c00100,1,1,1,10000,0,658990
c00100,1,1,10000,25000,0,1018330
c00100,1,1,25000,50000,0,1404400
c00100,1,1,50000,75000,0,888020
c00100,1,1,75000,100000,0,594150
c00100,1,1,100000,200000,0,993380
c00100,1,1,200000,500000,0,364690
c00100,1,1,500000,1000000,0,62130
c00100,1,1,-9e99,1,1,86390
c00100,1,1,1,10000,1,550300
c00100,1,1,10000,25000,1,700140
c00100,1,1,25000,50000,1,827130
c00100,1,1,50000,75000,1,471230
c00100,1,1,75000,100000,1,233410
c00100,1,1,100000,200000,1,217990
c00100,1,1,200000,500000,1,50940
c00100,1,1,500000,1000000,1,7500
c00100,1,1,-9e99,1,2,20670
c00100,1,1,1,10000,2,44330
c00100,1,1,10000,25000,2,100990
c00100,1,1,25000,50000,2,227610
c00100,1,1,50000,75000,2,260700
c00100,1,1,75000,100000,2,287430
c00100,1,1,100000,200000,2,713320
c00100,1,1,200000,500000,2,301330
c00100,1,1,500000,1000000,2,52730
c00100,1,1,-9e99,1,4,12150
c00100,1,1,1,10000,4,56170
c00100,1,1,10000,25000,4,200610
c00100,1,1,25000,50000,4,312660
c00100,1,1,50000,75000,4,127180
c00100,1,1,75000,100000,4,58330
c00100,1,1,100000,200000,4,46100
c00100,1,1,200000,500000,4,8980
c00100,1,1,500000,1000000,4,1340
e00200,0,1,-9e99,1,0,693599000
e00200,0,1,1,10000,0,2512316000
e00200,0,1,10000,25000,0,12077143000
e00200,0,1,25000,50000,0,40061643000
e00200,0,1,50000,75000,0,41825793000
e00200,0,1,75000,100000,0,37718713000
e00200,0,1,100000,200000,0,97447869000
e00200,0,1,200000,500000,0,69874342000
e00200,0,1,500000,1000000,0,23776726000
e00300,0,1,-9e99,1,0,56779000
e00300,0,1,1,10000,0,35760000
e00300,0,1,10000,25000,0,77732000
e00300,0,1,25000,50000,0,133885000
e00300,0,1,50000,75000,0,159937000
e00300,0,1,75000,100000,0,166806000
e00300,0,1,100000,200000,0,512154000
e00300,0,1,200000,500000,0,514409000
e00300,0,1,500000,1000000,0,264503000
e01500,0,1,-9e99,1,0,278473557.98659235
e01500,0,1,1,10000,0,570536631.0798477
e01500,0,1,10000,25000,0,1895080481.614368
e01500,0,1,25000,50000,0,4652909671.023697
e01500,0,1,50000,75000,0,6607164652.559366
e01500,0,1,75000,100000,0,8095694436.53653
e01500,0,1,100000,200000,0,24158594240.274426
e01500,0,1,200000,500000,0,14933315202.899897
e01500,0,1,500000,1000000,0,3039856211.5207167
e02400,0,1,-9e99,1,0,557290265.3555125
e02400,0,1,1,10000,0,2470767882.213011
e02400,0,1,10000,25000,0,4163059506.703545
e02400,0,1,25000,50000,0,4733184006.029168
e02400,0,1,50000,75000,0,3929357509.663602
e02400,0,1,75000,100000,0,3425707129.413595
e02400,0,1,100000,200000,0,6623763634.066795
e02400,0,1,200000,500000,0,2390008500.298986
e02400,0,1,500000,1000000,0,400407219.7396774
e18400,0,1,10000,25000,0,56170334.950612746
e18400,0,1,25000,50000,0,277510686.8610102
e18400,0,1,50000,75000,0,580823789.4217302
e18400,0,1,75000,100000,0,792842215.0555613
e18400,0,1,100000,200000,0,2656361525.0642457
e18400,0,1,200000,500000,0,2947082276.8527737
e18400,0,1,500000,1000000,0,1452976691.6805978
e18500,0,1,10000,25000,0,229938744.72586787
e18500,0,1,25000,50000,0,614638848.9642576
e18500,0,1,50000,75000,0,967113948.6337492
e18500,0,1,75000,100000,0,1074994932.2707496
e18500,0,1,100000,200000,0,3082232673.757589
e18500,0,1,200000,500000,0,2586697683.360821
e18500,0,1,500000,1000000,0,848056630.078708
e26270,0,1,25000,50000,0,273088000
e26270,0,1,50000,75000,0,487827000
e26270,0,1,75000,100000,0,552242000
e26270,0,1,100000,200000,0,2329242000
e26270,0,1,200000,500000,0,5817785000
e26270,0,1,500000,1000000,0,6169821000
