varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,6813798
c00100,0,1,1,10000,0,2118500000
c00100,0,1,10000,25000,0,9886377000
c00100,0,1,25000,50000,0,28863237000
c00100,0,1,50000,75000,0,29398301000
c00100,0,1,75000,100000,0,27190820000
c00100,0,1,100000,200000,0,63236114000
c00100,0,1,200000,500000,0,34577302000
c00100,0,1,500000,1000000,0,13139126000
c00100,1,1,-9e99,1,0,66530
c00100,1,1,1,10000,0,421990
c00100,1,1,10000,25000,0,576220
c00100,1,1,25000,50000,0,785500
c00100,1,1,50000,75000,0,478040
c00100,1,1,75000,100000,0,313570
c00100,1,1,100000,200000,0,469180
c00100,1,1,200000,500000,0,121580
c00100,1,1,500000,1000000,0,19440
c00100,1,1,-9e99,1,1,44780
c00100,1,1,1,10000,1,344820
c00100,1,1,10000,25000,1,386520
c00100,1,1,25000,50000,1,454310
c00100,1,1,50000,75000,1,214910
c00100,1,1,75000,100000,1,83380
c00100,1,1,100000,200000,1,62070
c00100,1,1,200000,500000,1,12500
c00100,1,1,500000,1000000,1,1960
c00100,1,1,-9e99,1,2,12260
c00100,1,1,1,10000,2,36600
c00100,1,1,10000,25000,2,73410
c00100,1,1,25000,50000,2,149260
c00100,1,1,50000,75000,2,183630
c00100,1,1,75000,100000,2,200210
c00100,1,1,100000,200000,2,386220
c00100,1,1,200000,500000,2,105530
c00100,1,1,500000,1000000,2,16930
c00100,1,1,-9e99,1,4,7850
c00100,1,1,1,10000,4,34960
c00100,1,1,10000,25000,4,104420
c00100,1,1,25000,50000,4,154830
c00100,1,1,50000,75000,4,62460
c00100,1,1,75000,100000,4,23710
c00100,1,1,100000,200000,4,15860
c00100,1,1,200000,500000,4,2620
c00100,1,1,500000,1000000,4,400
e00200,0,1,-9e99,1,0,279993000
e00200,0,1,1,10000,0,1497560000
e00200,0,1,10000,25000,0,6749319000
e00200,0,1,25000,50000,0,23381758000
e00200,0,1,50000,75000,0,23009541000
e00200,0,1,75000,100000,0,20754185000
e00200,0,1,100000,200000,0,47419015000
e00200,0,1,200000,500000,0,21793075000
e00200,0,1,500000,1000000,0,6333203000
e00300,0,1,-9e99,1,0,52413000
e00300,0,1,1,10000,0,20670000
e00300,0,1,10000,25000,0,42330000
e00300,0,1,25000,50000,0,66189000
e00300,0,1,50000,75000,0,73452000
e00300,0,1,75000,100000,0,71917000
e00300,0,1,100000,200000,0,194101000
e00300,0,1,200000,500000,0,175587000
e00300,0,1,500000,1000000,0,91859000
e01500,0,1,-9e99,1,0,123151626.4076055
e01500,0,1,1,10000,0,619077150.3814567
e01500,0,1,10000,25000,0,1522138000.149861
e01500,0,1,25000,50000,0,2792804146.1766434
e01500,0,1,50000,75000,0,3026470457.1081576
e01500,0,1,75000,100000,0,3020719030.5402956
e01500,0,1,100000,200000,0,6982786132.014664
e01500,0,1,200000,500000,0,3560149826.276377
e01500,0,1,500000,1000000,0,762561008.1650865
e02400,0,1,-9e99,1,0,211247212.499382
e02400,0,1,1,10000,0,1633430127.4817777
e02400,0,1,10000,25000,0,3035377228.566555
e02400,0,1,25000,50000,0,3160849703.7000175
e02400,0,1,50000,75000,0,2465228202.8063827
e02400,0,1,75000,100000,0,2034063918.0195687
e02400,0,1,100000,200000,0,3314761116.963337
e02400,0,1,200000,500000,0,924771753.8977258
e02400,0,1,500000,1000000,0,141748992.25788647
e18400,0,1,10000,25000,0,20702421.386920687
e18400,0,1,25000,50000,0,98431232.7810969
e18400,0,1,50000,75000,0,182397488.1623187
e18400,0,1,75000,100000,0,242777382.22579873
e18400,0,1,100000,200000,0,1044509989.2672791
e18400,0,1,200000,500000,0,1063886422.1304026
e18400,0,1,500000,1000000,0,462994437.1573646
e18500,0,1,10000,25000,0,24094555.446499113
e18500,0,1,25000,50000,0,61082382.02993816
e18500,0,1,50000,75000,0,98521140.27255258
e18500,0,1,75000,100000,0,114843556.82693104
e18500,0,1,100000,200000,0,428631984.091867
e18500,0,1,200000,500000,0,359013444.2176363
e18500,0,1,500000,1000000,0,115509800.1354473
e26270,0,1,25000,50000,0,48012000
e26270,0,1,50000,75000,0,136806000
e26270,0,1,75000,100000,0,220164000
e26270,0,1,100000,200000,0,1250149000
e26270,0,1,200000,500000,0,3133493000
e26270,0,1,500000,1000000,0,2915123000
