varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,10567100
c00100,0,1,1,10000,0,2891384000
c00100,0,1,10000,25000,0,16053388000
c00100,0,1,25000,50000,0,43823864000
c00100,0,1,50000,75000,0,41981577000
c00100,0,1,75000,100000,0,37007719000
c00100,0,1,100000,200000,0,93767894000
c00100,0,1,200000,500000,0,71962743000
c00100,0,1,500000,1000000,0,27543964000
c00100,1,1,-9e99,1,0,104460
c00100,1,1,1,10000,0,552460
c00100,1,1,10000,25000,0,931730
c00100,1,1,25000,50000,0,1203830
c00100,1,1,50000,75000,0,683750
c00100,1,1,75000,100000,0,426960
c00100,1,1,100000,200000,0,686240
c00100,1,1,200000,500000,0,249000
c00100,1,1,500000,1000000,0,40950
c00100,1,1,-9e99,1,1,67950
c00100,1,1,1,10000,1,431240
c00100,1,1,10000,25000,1,595170
c00100,1,1,25000,50000,1,644820
c00100,1,1,50000,75000,1,305670
c00100,1,1,75000,100000,1,127440
c00100,1,1,100000,200000,1,115290
c00100,1,1,200000,500000,1,27710
c00100,1,1,500000,1000000,1,3980
c00100,1,1,-9e99,1,2,19720
c00100,1,1,1,10000,2,48010
c00100,1,1,10000,25000,2,112350
c00100,1,1,25000,50000,2,241700
c00100,1,1,50000,75000,2,259040
c00100,1,1,75000,100000,2,256580
c00100,1,1,100000,200000,2,534590
c00100,1,1,200000,500000,2,213090
c00100,1,1,500000,1000000,2,35800
c00100,1,1,-9e99,1,4,13940
c00100,1,1,1,10000,4,64540
c00100,1,1,10000,25000,4,204810
c00100,1,1,25000,50000,4,273640
c00100,1,1,50000,75000,4,93000
c00100,1,1,75000,100000,4,32510
c00100,1,1,100000,200000,4,25900
c00100,1,1,200000,500000,4,5900
c00100,1,1,500000,1000000,4,810
e00200,0,1,-9e99,1,0,453326000
e00200,0,1,1,10000,0,2169738000
e00200,0,1,10000,25000,0,11387135000
e00200,0,1,25000,50000,0,35538758000
e00200,0,1,50000,75000,0,32295168000
e00200,0,1,75000,100000,0,27106022000
e00200,0,1,100000,200000,0,66701211000
e00200,0,1,200000,500000,0,46866211000
e00200,0,1,500000,1000000,0,14635339000
e00300,0,1,-9e99,1,0,45866000
e00300,0,1,1,10000,0,23402000
e00300,0,1,10000,25000,0,54138000
e00300,0,1,25000,50000,0,90895000
e00300,0,1,50000,75000,0,103420000
e00300,0,1,75000,100000,0,107564000
e00300,0,1,100000,200000,0,316857000
e00300,0,1,200000,500000,0,332086000
e00300,0,1,500000,1000000,0,167604000
e01500,0,1,-9e99,1,0,213459471.41767275
e01500,0,1,1,10000,0,477737911.3011321
e01500,0,1,10000,25000,0,1847227875.388845
e01500,0,1,25000,50000,0,4219702717.77127
e01500,0,1,50000,75000,0,5088802010.967222
e01500,0,1,75000,100000,0,5436980958.79456
e01500,0,1,100000,200000,0,14353811504.155527
e01500,0,1,200000,500000,0,8307259057.596572
e01500,0,1,500000,1000000,0,1764615937.2911382
e02400,0,1,-9e99,1,0,541195239.6412739
e02400,0,1,1,10000,0,2581508907.8049955
e02400,0,1,10000,25000,0,3767414549.941319
e02400,0,1,25000,50000,0,4271079651.784896
e02400,0,1,50000,75000,0,3440175613.4411283
e02400,0,1,75000,100000,0,2927303216.8596888
e02400,0,1,100000,200000,0,5552106509.538008
e02400,0,1,200000,500000,0,1920546272.8495543
e02400,0,1,500000,1000000,0,301835686.0051822
e18400,0,1,10000,25000,0,37295090.83589801
e18400,0,1,25000,50000,0,178989527.34675384
e18400,0,1,50000,75000,0,359151225.02736866
e18400,0,1,75000,100000,0,492963035.57648766
e18400,0,1,100000,200000,0,2314844928.7271786
e18400,0,1,200000,500000,0,2686886786.2184625
e18400,0,1,500000,1000000,0,1092593069.4827452
e18500,0,1,10000,25000,0,72498935.57759245
e18500,0,1,25000,50000,0,181933546.47626743
e18500,0,1,50000,75000,0,284629958.91193527
e18500,0,1,75000,100000,0,316030921.89258134
e18500,0,1,100000,200000,0,1146252413.5312972
e18500,0,1,200000,500000,0,970835360.080814
e18500,0,1,500000,1000000,0,281882736.5101959
e26270,0,1,25000,50000,0,120926000
e26270,0,1,50000,75000,0,236694000
e26270,0,1,75000,100000,0,344959000
e26270,0,1,100000,200000,0,1792939000
e26270,0,1,200000,500000,0,4948096000
e26270,0,1,500000,1000000,0,4719581000
