varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,1387494
c00100,0,1,1,10000,0,359875000
c00100,0,1,10000,25000,0,1659432000
c00100,0,1,25000,50000,0,5857031000
c00100,0,1,50000,75000,0,6885095000
c00100,0,1,75000,100000,0,6625091000
c00100,0,1,100000,200000,0,19418656000
c00100,0,1,200000,500000,0,15124083000
c00100,0,1,500000,1000000,0,5598125000
c00100,1,1,-9e99,1,0,11630
c00100,1,1,1,10000,0,69960
c00100,1,1,10000,25000,0,96770
c00100,1,1,25000,50000,0,157270
c00100,1,1,50000,75000,0,111680
c00100,1,1,75000,100000,0,76300
c00100,1,1,100000,200000,0,140680
c00100,1,1,200000,500000,0,52630
c00100,1,1,500000,1000000,0,8340
c00100,1,1,-9e99,1,1,7290
c00100,1,1,1,10000,1,59730
c00100,1,1,10000,25000,1,73330
c00100,1,1,25000,50000,1,108250
c00100,1,1,50000,75000,1,64020
c00100,1,1,75000,100000,1,28820
c00100,1,1,100000,200000,1,26340
c00100,1,1,200000,500000,1,6720
c00100,1,1,500000,1000000,1,1110
c00100,1,1,-9e99,1,2,2430
c00100,1,1,1,10000,2,5510
c00100,1,1,10000,25000,2,10960
c00100,1,1,25000,50000,2,23250
c00100,1,1,50000,75000,2,31540
c00100,1,1,75000,100000,2,39760
c00100,1,1,100000,200000,2,107160
c00100,1,1,200000,500000,2,44200
c00100,1,1,500000,1000000,2,6980
c00100,1,1,-9e99,1,4,1530
c00100,1,1,1,10000,4,3640
c00100,1,1,10000,25000,4,10190
c00100,1,1,25000,50000,4,20170
c00100,1,1,50000,75000,4,11710
c00100,1,1,75000,100000,4,5730
c00100,1,1,100000,200000,4,5270
c00100,1,1,200000,500000,4,1280
c00100,1,1,500000,1000000,4,190
e00200,0,1,-9e99,1,0,68552000
e00200,0,1,1,10000,0,272269000
e00200,0,1,10000,25000,0,1129066000
e00200,0,1,25000,50000,0,4648173000
e00200,0,1,50000,75000,0,5235903000
e00200,0,1,75000,100000,0,4806613000
e00200,0,1,100000,200000,0,14054632000
e00200,0,1,200000,500000,0,9907534000
e00200,0,1,500000,1000000,0,2949660000
e00300,0,1,-9e99,1,0,9169000
e00300,0,1,1,10000,0,4340000
e00300,0,1,10000,25000,0,9765000
e00300,0,1,25000,50000,0,17035000
e00300,0,1,50000,75000,0,21291000
e00300,0,1,75000,100000,0,23974000
e00300,0,1,100000,200000,0,70106000
e00300,0,1,200000,500000,0,76830000
e00300,0,1,500000,1000000,0,42465000
e01500,0,1,-9e99,1,0,20357886.62576075
e01500,0,1,1,10000,0,63589216.17869517
e01500,0,1,10000,25000,0,219750617.53919044
e01500,0,1,25000,50000,0,534292931.5673635
e01500,0,1,50000,75000,0,754702991.7952602
e01500,0,1,75000,100000,0,860705500.3848968
e01500,0,1,100000,200000,0,2498552145.589399
e01500,0,1,200000,500000,0,1665700897.3124013
e01500,0,1,500000,1000000,0,414975607.9350371
e02400,0,1,-9e99,1,0,275627315.3563365
e02400,0,1,1,10000,0,408498783.17859745
e02400,0,1,10000,25000,0,602024748.0632633
e02400,0,1,25000,50000,0,670430887.7910856
e02400,0,1,50000,75000,0,592065083.9927317
e02400,0,1,75000,100000,0,541113149.848248
e02400,0,1,100000,200000,0,1097915158.6385767
e02400,0,1,200000,500000,0,403013613.2188488
e02400,0,1,500000,1000000,0,69512061.12469463
e18400,0,1,10000,25000,0,1866291.1587669393
e18400,0,1,25000,50000,0,7801144.101581975
e18400,0,1,50000,75000,0,22970905.817710817
e18400,0,1,75000,100000,0,35446850.8882111
e18400,0,1,100000,200000,0,126485349.75033064
e18400,0,1,200000,500000,0,123049760.172282
e18400,0,1,500000,1000000,0,55566197.78061727
e18500,0,1,10000,25000,0,29223579.032417092
e18500,0,1,25000,50000,0,74486687.8737077
e18500,0,1,50000,75000,0,120460553.8862988
e18500,0,1,75000,100000,0,128913144.86224252
e18500,0,1,100000,200000,0,367702901.2636548
e18500,0,1,200000,500000,0,287406722.456266
e18500,0,1,500000,1000000,0,83877846.91428407
e26270,0,1,25000,50000,0,2007000
e26270,0,1,50000,75000,0,21985000
e26270,0,1,75000,100000,0,30523000
e26270,0,1,100000,200000,0,181511000
e26270,0,1,200000,500000,0,520521000
e26270,0,1,500000,1000000,0,544767000
