varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,19854526
c00100,0,1,1,10000,0,4757177000
c00100,0,1,10000,25000,0,30653329000
c00100,0,1,25000,50000,0,84756231000
c00100,0,1,50000,75000,0,87666328000
c00100,0,1,75000,100000,0,78729897000
c00100,0,1,100000,200000,0,204912913000
c00100,0,1,200000,500000,0,171788888000
c00100,0,1,500000,1000000,0,78711042000
c00100,1,1,-9e99,1,0,190850
c00100,1,1,1,10000,0,953350
c00100,1,1,10000,25000,0,1738280
c00100,1,1,25000,50000,0,2324560
c00100,1,1,50000,75000,0,1424220
c00100,1,1,75000,100000,0,908740
c00100,1,1,100000,200000,0,1490350
c00100,1,1,200000,500000,0,591700
c00100,1,1,500000,1000000,0,115700
c00100,1,1,-9e99,1,1,129840
c00100,1,1,1,10000,1,794170
c00100,1,1,10000,25000,1,1210310
c00100,1,1,25000,50000,1,1356560
c00100,1,1,50000,75000,1,777130
c00100,1,1,75000,100000,1,407510
c00100,1,1,100000,200000,1,449150
c00100,1,1,200000,500000,1,131210
c00100,1,1,500000,1000000,1,21500
c00100,1,1,-9e99,1,2,33790
c00100,1,1,1,10000,2,72630
c00100,1,1,10000,25000,2,186490
c00100,1,1,25000,50000,2,391540
c00100,1,1,50000,75000,2,346870
c00100,1,1,75000,100000,2,344170
c00100,1,1,100000,200000,2,872820
c00100,1,1,200000,500000,2,429210
c00100,1,1,500000,1000000,2,88810
c00100,1,1,-9e99,1,4,21670
c00100,1,1,1,10000,4,70570
c00100,1,1,10000,25000,4,307470
c00100,1,1,25000,50000,4,511230
c00100,1,1,50000,75000,4,245600
c00100,1,1,75000,100000,4,122080
c00100,1,1,100000,200000,4,121630
c00100,1,1,200000,500000,4,20730
c00100,1,1,500000,1000000,4,3380
e00200,0,1,-9e99,1,0,1429901000
e00200,0,1,1,10000,0,3179679000
e00200,0,1,10000,25000,0,16177063000
e00200,0,1,25000,50000,0,61678823000
e00200,0,1,50000,75000,0,67399407000
e00200,0,1,75000,100000,0,58253504000
e00200,0,1,100000,200000,0,148211470000
e00200,0,1,200000,500000,0,117088670000
e00200,0,1,500000,1000000,0,47064856000
e00300,0,1,-9e99,1,0,867294000
e00300,0,1,1,10000,0,60723000
e00300,0,1,10000,25000,0,127074000
e00300,0,1,25000,50000,0,214778000
e00300,0,1,50000,75000,0,254633000
e00300,0,1,75000,100000,0,275428000
e00300,0,1,100000,200000,0,844466000
e00300,0,1,200000,500000,0,1015097000
e00300,0,1,500000,1000000,0,670036000
e01500,0,1,-9e99,1,0,455417621.0369328
e01500,0,1,1,10000,0,929908751.1058434
e01500,0,1,10000,25000,0,3085250268.5600095
e01500,0,1,25000,50000,0,6864275490.183841
e01500,0,1,50000,75000,0,9486101465.705956
e01500,0,1,75000,100000,0,11448454391.71218
e01500,0,1,100000,200000,0,33732789822.1703
e01500,0,1,200000,500000,0,24027453645.465485
e01500,0,1,500000,1000000,0,6062951344.298602
e02400,0,1,-9e99,1,0,2251291721.779128
e02400,0,1,1,10000,0,5095217187.69653
e02400,0,1,10000,25000,0,6204323859.77563
e02400,0,1,25000,50000,0,7307798694.359874
e02400,0,1,50000,75000,0,6357033181.464145
e02400,0,1,75000,100000,0,5740654059.9973955
e02400,0,1,100000,200000,0,11603211348.513514
e02400,0,1,200000,500000,0,4699552908.041079
e02400,0,1,500000,1000000,0,845653999.0181595
e18400,0,1,10000,25000,0,116763332.93165672
e18400,0,1,25000,50000,0,529071087.8674373
e18400,0,1,50000,75000,0,1221555724.3343349
e18400,0,1,75000,100000,0,1878857145.1273837
e18400,0,1,100000,200000,0,8263199925.429303
e18400,0,1,200000,500000,0,9760180456.084503
e18400,0,1,500000,1000000,0,5396659211.946245
e18500,0,1,10000,25000,0,540154196.197025
e18500,0,1,25000,50000,0,1336802813.5293288
e18500,0,1,50000,75000,0,1920312354.8740013
e18500,0,1,75000,100000,0,2135412087.051868
e18500,0,1,100000,200000,0,7011252961.579733
e18500,0,1,200000,500000,0,5532962155.4904585
e18500,0,1,500000,1000000,0,1878203067.659708
e26270,0,1,25000,50000,0,87833000
e26270,0,1,50000,75000,0,280466000
e26270,0,1,75000,100000,0,437675000
e26270,0,1,100000,200000,0,2498691000
e26270,0,1,200000,500000,0,7978440000
e26270,0,1,500000,1000000,0,9364646000
