varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,4256465
c00100,0,1,1,10000,0,1018396000
c00100,0,1,10000,25000,0,5746385000
c00100,0,1,25000,50000,0,18034594000
c00100,0,1,50000,75000,0,18558749000
c00100,0,1,75000,100000,0,17760594000
c00100,0,1,100000,200000,0,45947756000
c00100,0,1,200000,500000,0,33632427000
c00100,0,1,500000,1000000,0,12593617000
c00100,1,1,-9e99,1,0,45190
c00100,1,1,1,10000,0,197410
c00100,1,1,10000,25000,0,328730
c00100,1,1,25000,50000,0,492050
c00100,1,1,50000,75000,0,301310
c00100,1,1,75000,100000,0,204840
c00100,1,1,100000,200000,0,335450
c00100,1,1,200000,500000,0,116650
c00100,1,1,500000,1000000,0,18750
c00100,1,1,-9e99,1,1,29050
c00100,1,1,1,10000,1,163040
c00100,1,1,10000,25000,1,242710
c00100,1,1,25000,50000,1,314990
c00100,1,1,50000,75000,1,155320
c00100,1,1,75000,100000,1,74440
c00100,1,1,100000,200000,1,69270
c00100,1,1,200000,500000,1,16220
c00100,1,1,500000,1000000,1,2400
c00100,1,1,-9e99,1,2,9450
c00100,1,1,1,10000,2,18300
c00100,1,1,10000,25000,2,39920
c00100,1,1,25000,50000,2,87930
c00100,1,1,50000,75000,2,104100
c00100,1,1,75000,100000,2,111320
c00100,1,1,100000,200000,2,249180
c00100,1,1,200000,500000,2,96460
c00100,1,1,500000,1000000,2,15790
c00100,1,1,-9e99,1,4,5450
c00100,1,1,1,10000,4,13100
c00100,1,1,10000,25000,4,40150
c00100,1,1,25000,50000,4,76300
c00100,1,1,50000,75000,4,33000
c00100,1,1,75000,100000,4,14750
c00100,1,1,100000,200000,4,12690
c00100,1,1,200000,500000,4,3000
c00100,1,1,500000,1000000,4,430
e00200,0,1,-9e99,1,0,232263000
e00200,0,1,1,10000,0,763686000
e00200,0,1,10000,25000,0,3787471000
e00200,0,1,25000,50000,0,13801264000
e00200,0,1,50000,75000,0,13575150000
e00200,0,1,75000,100000,0,12409313000
e00200,0,1,100000,200000,0,31246700000
e00200,0,1,200000,500000,0,20055552000
e00200,0,1,500000,1000000,0,5928091000
e00300,0,1,-9e99,1,0,27427000
e00300,0,1,1,10000,0,14610000
e00300,0,1,10000,25000,0,35565000
e00300,0,1,25000,50000,0,58286000
e00300,0,1,50000,75000,0,65749000
e00300,0,1,75000,100000,0,70997000
e00300,0,1,100000,200000,0,212138000
e00300,0,1,200000,500000,0,216309000
e00300,0,1,500000,1000000,0,110804000
e01500,0,1,-9e99,1,0,101006664.7080512
e01500,0,1,1,10000,0,196645897.85088643
e01500,0,1,10000,25000,0,682558989.5814713
e01500,0,1,25000,50000,0,1618253250.1182947
e01500,0,1,50000,75000,0,2226824184.8610005
e01500,0,1,75000,100000,0,2721101533.3756857
e01500,0,1,100000,200000,0,7527662679.755182
e01500,0,1,200000,500000,0,4077753804.663589
e01500,0,1,500000,1000000,0,796009571.4520986
e02400,0,1,-9e99,1,0,203199699.64226267
e02400,0,1,1,10000,0,818127576.8224193
e02400,0,1,10000,25000,0,1511903535.9890015
e02400,0,1,25000,50000,0,1807506535.512016
e02400,0,1,50000,75000,0,1561480169.6074598
e02400,0,1,75000,100000,0,1412193481.8999612
e02400,0,1,100000,200000,0,2731789998.430665
e02400,0,1,200000,500000,0,949442514.2821563
e02400,0,1,500000,1000000,0,149490364.21297345
e18400,0,1,10000,25000,0,38636138.37513174
e18400,0,1,25000,50000,0,199724062.67808905
e18400,0,1,50000,75000,0,478305755.1043179
e18400,0,1,75000,100000,0,674789912.8141783
e18400,0,1,100000,200000,0,2382246363.156391
e18400,0,1,200000,500000,0,2101210470.369077
e18400,0,1,500000,1000000,0,794243350.2486233
e18500,0,1,10000,25000,0,85034468.89159392
e18500,0,1,25000,50000,0,214670125.78153697
e18500,0,1,50000,75000,0,354225168.41790795
e18500,0,1,75000,100000,0,397701807.1013407
e18500,0,1,100000,200000,0,1105060209.0476863
e18500,0,1,200000,500000,0,727956470.4999219
e18500,0,1,500000,1000000,0,182956587.2031504
e26270,0,1,25000,50000,0,51685000
e26270,0,1,50000,75000,0,123516000
e26270,0,1,75000,100000,0,186834000
e26270,0,1,100000,200000,0,1053296000
e26270,0,1,200000,500000,0,2802793000
e26270,0,1,500000,1000000,0,2312600000
