varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,1097092
c00100,0,1,1,10000,0,292134000
c00100,0,1,10000,25000,0,1650529000
c00100,0,1,25000,50000,0,4948229000
c00100,0,1,50000,75000,0,5317936000
c00100,0,1,75000,100000,0,4793444000
c00100,0,1,100000,200000,0,12191125000
c00100,0,1,200000,500000,0,8139204000
c00100,0,1,500000,1000000,0,3008543000
c00100,1,1,-9e99,1,0,8930
c00100,1,1,1,10000,0,57820
c00100,1,1,10000,25000,0,93910
c00100,1,1,25000,50000,0,134680
c00100,1,1,50000,75000,0,86380
c00100,1,1,75000,100000,0,55400
c00100,1,1,100000,200000,0,88820
c00100,1,1,200000,500000,0,28530
c00100,1,1,500000,1000000,0,4480
c00100,1,1,-9e99,1,1,6300
c00100,1,1,1,10000,1,49970
c00100,1,1,10000,25000,1,69690
c00100,1,1,25000,50000,1,87160
c00100,1,1,50000,75000,1,50150
c00100,1,1,75000,100000,1,23180
c00100,1,1,100000,200000,1,18880
c00100,1,1,200000,500000,1,4030
c00100,1,1,500000,1000000,1,660
c00100,1,1,-9e99,1,2,1260
c00100,1,1,1,10000,2,3640
c00100,1,1,10000,25000,2,7440
c00100,1,1,25000,50000,2,16770
c00100,1,1,50000,75000,2,20700
c00100,1,1,75000,100000,2,24230
c00100,1,1,100000,200000,2,62640
c00100,1,1,200000,500000,2,23160
c00100,1,1,500000,1000000,2,3630
c00100,1,1,-9e99,1,4,1170
c00100,1,1,1,10000,4,3500
c00100,1,1,10000,25000,4,15120
c00100,1,1,25000,50000,4,26860
c00100,1,1,50000,75000,4,11690
c00100,1,1,75000,100000,4,5540
c00100,1,1,100000,200000,4,4080
c00100,1,1,200000,500000,4,740
c00100,1,1,500000,1000000,4,110
e00200,0,1,-9e99,1,0,41487000
e00200,0,1,1,10000,0,216145000
e00200,0,1,10000,25000,0,1025731000
e00200,0,1,25000,50000,0,3847341000
e00200,0,1,50000,75000,0,4073162000
e00200,0,1,75000,100000,0,3514912000
e00200,0,1,100000,200000,0,8836017000
e00200,0,1,200000,500000,0,5189689000
e00200,0,1,500000,1000000,0,1524261000
e00300,0,1,-9e99,1,0,2243000
e00300,0,1,1,10000,0,3285000
e00300,0,1,10000,25000,0,7489000
e00300,0,1,25000,50000,0,12847000
e00300,0,1,50000,75000,0,16049000
e00300,0,1,75000,100000,0,17658000
e00300,0,1,100000,200000,0,47949000
e00300,0,1,200000,500000,0,45820000
e00300,0,1,500000,1000000,0,29049000
e01500,0,1,-9e99,1,0,18225211.909597185
e01500,0,1,1,10000,0,51344283.30651081
e01500,0,1,10000,25000,0,158714851.69138294
e01500,0,1,25000,50000,0,383574574.23055273
e01500,0,1,50000,75000,0,575002848.0848322
e01500,0,1,75000,100000,0,653914873.2051033
e01500,0,1,100000,200000,0,1693227150.0654962
e01500,0,1,200000,500000,0,976400736.0744252
e01500,0,1,500000,1000000,0,223152329.1504459
e02400,0,1,-9e99,1,0,98582032.4997116
e02400,0,1,1,10000,0,305950333.459489
e02400,0,1,10000,25000,0,393908387.14767
e02400,0,1,25000,50000,0,460356833.3320033
e02400,0,1,50000,75000,0,407745023.4218919
e02400,0,1,75000,100000,0,360170851.88964224
e02400,0,1,100000,200000,0,673726652.3243423
e02400,0,1,200000,500000,0,234490094.41123825
e02400,0,1,500000,1000000,0,38821847.89599801
e18400,0,1,10000,25000,0,4475746.162192569
e18400,0,1,25000,50000,0,25545615.555365596
e18400,0,1,50000,75000,0,65944907.631168805
e18400,0,1,75000,100000,0,92843406.93955854
e18400,0,1,100000,200000,0,279009086.79726994
e18400,0,1,200000,500000,0,250269550.9168757
e18400,0,1,500000,1000000,0,104543116.97242364
e18500,0,1,10000,25000,0,15599220.151818668
e18500,0,1,25000,50000,0,48469030.84709162
e18500,0,1,50000,75000,0,88145099.95004368
e18500,0,1,75000,100000,0,95561396.96016774
e18500,0,1,100000,200000,0,222356474.4957508
e18500,0,1,200000,500000,0,139989610.05064958
e18500,0,1,500000,1000000,0,41767455.2404568
e26270,0,1,50000,75000,0,23548000
e26270,0,1,75000,100000,0,30383000
e26270,0,1,100000,200000,0,174330000
e26270,0,1,200000,500000,0,484876000
e26270,0,1,500000,1000000,0,435385000
