varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,5193848
c00100,0,1,1,10000,0,1546599000
c00100,0,1,10000,25000,0,8337079000
c00100,0,1,25000,50000,0,22097265000
c00100,0,1,50000,75000,0,20552718000
c00100,0,1,75000,100000,0,18053771000
c00100,0,1,100000,200000,0,44774671000
c00100,0,1,200000,500000,0,30139395000
c00100,0,1,500000,1000000,0,11669411000
c00100,1,1,-9e99,1,0,54040
c00100,1,1,1,10000,0,296630
c00100,1,1,10000,25000,0,485180
c00100,1,1,25000,50000,0,608270
c00100,1,1,50000,75000,0,334870
c00100,1,1,75000,100000,0,208300
c00100,1,1,100000,200000,0,329400
c00100,1,1,200000,500000,0,104990
c00100,1,1,500000,1000000,0,17300
c00100,1,1,-9e99,1,1,34910
c00100,1,1,1,10000,1,231370
c00100,1,1,10000,25000,1,303580
c00100,1,1,25000,50000,1,318800
c00100,1,1,50000,75000,1,142850
c00100,1,1,75000,100000,1,56940
c00100,1,1,100000,200000,1,47740
c00100,1,1,200000,500000,1,11570
c00100,1,1,500000,1000000,1,1720
c00100,1,1,-9e99,1,2,10400
c00100,1,1,1,10000,2,24730
c00100,1,1,10000,25000,2,56500
c00100,1,1,25000,50000,2,116730
c00100,1,1,50000,75000,2,126560
c00100,1,1,75000,100000,2,128350
c00100,1,1,100000,200000,2,264920
c00100,1,1,200000,500000,2,90220
c00100,1,1,500000,1000000,2,15100
c00100,1,1,-9e99,1,4,7080
c00100,1,1,1,10000,4,35720
c00100,1,1,10000,25000,4,113430
c00100,1,1,25000,50000,4,143390
c00100,1,1,50000,75000,4,47810
c00100,1,1,75000,100000,4,16500
c00100,1,1,100000,200000,4,11160
c00100,1,1,200000,500000,4,2130
c00100,1,1,500000,1000000,4,300
e00200,0,1,-9e99,1,0,223151000
e00200,0,1,1,10000,0,1205392000
e00200,0,1,10000,25000,0,6177224000
e00200,0,1,25000,50000,0,17899332000
e00200,0,1,50000,75000,0,15351305000
e00200,0,1,75000,100000,0,12615417000
e00200,0,1,100000,200000,0,29956244000
e00200,0,1,200000,500000,0,17465107000
e00200,0,1,500000,1000000,0,5329743000
e00300,0,1,-9e99,1,0,15857000
e00300,0,1,1,10000,0,10588000
e00300,0,1,10000,25000,0,26631000
e00300,0,1,25000,50000,0,46798000
e00300,0,1,50000,75000,0,51870000
e00300,0,1,75000,100000,0,54454000
e00300,0,1,100000,200000,0,162157000
e00300,0,1,200000,500000,0,163333000
e00300,0,1,500000,1000000,0,83707000
e01500,0,1,-9e99,1,0,115001973.3024874
e01500,0,1,1,10000,0,242163047.05402935
e01500,0,1,10000,25000,0,986909692.1333504
e01500,0,1,25000,50000,0,2418387943.97446
e01500,0,1,50000,75000,0,2928392104.797989
e01500,0,1,75000,100000,0,3149479517.7654934
e01500,0,1,100000,200000,0,8382850961.633443
e01500,0,1,200000,500000,0,4748104545.283652
e01500,0,1,500000,1000000,0,1008056536.0260646
e02400,0,1,-9e99,1,0,627706002.8553065
e02400,0,1,1,10000,0,1472403636.18731
e02400,0,1,10000,25000,0,2079531652.1687584
e02400,0,1,25000,50000,0,2419289991.7500744
e02400,0,1,50000,75000,0,1931417816.8330653
e02400,0,1,75000,100000,0,1661237255.8165653
e02400,0,1,100000,200000,0,3226479123.2960935
e02400,0,1,200000,500000,0,1082781904.6955414
e02400,0,1,500000,1000000,0,172891027.4956647
e18400,0,1,10000,25000,0,17316276.350355525
e18400,0,1,25000,50000,0,98678531.2972854
e18400,0,1,50000,75000,0,209038421.70533997
e18400,0,1,75000,100000,0,273028056.5879879
e18400,0,1,100000,200000,0,1207375257.0987666
e18400,0,1,200000,500000,0,1286014273.7999809
e18400,0,1,500000,1000000,0,483428781.2420925
e18500,0,1,10000,25000,0,29794510.489973653
e18500,0,1,25000,50000,0,83760142.16679096
e18500,0,1,50000,75000,0,121010476.52444673
e18500,0,1,75000,100000,0,127565232.83340378
e18500,0,1,100000,200000,0,437763343.94058573
e18500,0,1,200000,500000,0,363512376.0033155
e18500,0,1,500000,1000000,0,108696691.45229344
e26270,0,1,25000,50000,0,53960000
e26270,0,1,50000,75000,0,114077000
e26270,0,1,75000,100000,0,72788000
e26270,0,1,100000,200000,0,900209000
e26270,0,1,200000,500000,0,2381715000
e26270,0,1,500000,1000000,0,2245768000
