varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,896299
c00100,0,1,1,10000,0,254698000
c00100,0,1,10000,25000,0,1170534000
c00100,0,1,25000,50000,0,3919757000
c00100,0,1,50000,75000,0,4105560000
c00100,0,1,75000,100000,0,3916329000
c00100,0,1,100000,200000,0,9466167000
c00100,0,1,200000,500000,0,5788010000
c00100,0,1,500000,1000000,0,2552270000
c00100,1,1,-9e99,1,0,11160
c00100,1,1,1,10000,0,49170
c00100,1,1,10000,25000,0,68070
c00100,1,1,25000,50000,0,105760
c00100,1,1,50000,75000,0,66820
c00100,1,1,75000,100000,0,45060
c00100,1,1,100000,200000,0,70430
c00100,1,1,200000,500000,0,19990
c00100,1,1,500000,1000000,0,3730
c00100,1,1,-9e99,1,1,6590
c00100,1,1,1,10000,1,40910
c00100,1,1,10000,25000,1,49780
c00100,1,1,25000,50000,1,65370
c00100,1,1,50000,75000,1,31420
c00100,1,1,75000,100000,1,10850
c00100,1,1,100000,200000,1,8800
c00100,1,1,200000,500000,1,2490
c00100,1,1,500000,1000000,1,470
c00100,1,1,-9e99,1,2,3050
c00100,1,1,1,10000,2,3840
c00100,1,1,10000,25000,2,8350
c00100,1,1,25000,50000,2,19380
c00100,1,1,50000,75000,2,26050
c00100,1,1,75000,100000,2,31230
c00100,1,1,100000,200000,2,59500
c00100,1,1,200000,500000,2,17030
c00100,1,1,500000,1000000,2,3180
c00100,1,1,-9e99,1,4,1290
c00100,1,1,1,10000,4,3840
c00100,1,1,10000,25000,4,8670
c00100,1,1,25000,50000,4,17610
c00100,1,1,50000,75000,4,7380
c00100,1,1,75000,100000,4,2310
c00100,1,1,100000,200000,4,1550
c00100,1,1,200000,500000,4,320
c00100,1,1,500000,1000000,4,60
e00200,0,1,-9e99,1,0,72884000
e00200,0,1,1,10000,0,210345000
e00200,0,1,10000,25000,0,889921000
e00200,0,1,25000,50000,0,3190560000
e00200,0,1,50000,75000,0,3016794000
e00200,0,1,75000,100000,0,2694847000
e00200,0,1,100000,200000,0,6159097000
e00200,0,1,200000,500000,0,2727833000
e00200,0,1,500000,1000000,0,892590000
e00300,0,1,-9e99,1,0,6000000
e00300,0,1,1,10000,0,3606000
e00300,0,1,10000,25000,0,8756000
e00300,0,1,25000,50000,0,15761000
e00300,0,1,50000,75000,0,19444000
e00300,0,1,75000,100000,0,20449000
e00300,0,1,100000,200000,0,57495000
e00300,0,1,200000,500000,0,56132000
e00300,0,1,500000,1000000,0,29982000
e01500,0,1,-9e99,1,0,31529321.219293416
e01500,0,1,1,10000,0,35833656.37054816
e01500,0,1,10000,25000,0,130441526.42654054
e01500,0,1,25000,50000,0,343183099.8777362
e01500,0,1,50000,75000,0,488603798.17038816
e01500,0,1,75000,100000,0,560304762.7753574
e01500,0,1,100000,200000,0,1371460978.7207038
e01500,0,1,200000,500000,0,660395338.9083003
e01500,0,1,500000,1000000,0,146886661.0881126
e02400,0,1,1,10000,0,155941444.20095837
e02400,0,1,10000,25000,0,297853072.6846673
e02400,0,1,25000,50000,0,405040711.9144374
e02400,0,1,50000,75000,0,369754158.6884848
e02400,0,1,75000,100000,0,326229436.8546684
e02400,0,1,100000,200000,0,562093683.8817024
e02400,0,1,200000,500000,0,187905928.41603
e02400,0,1,500000,1000000,0,35559205.162038624
e18400,0,1,10000,25000,0,2005983.6107704523
e18400,0,1,25000,50000,0,7007861.848354002
e18400,0,1,50000,75000,0,9822381.290023783
e18400,0,1,75000,100000,0,10614123.957260327
e18400,0,1,100000,200000,0,40547905.6519664
e18400,0,1,200000,500000,0,40584074.386054344
e18400,0,1,500000,1000000,0,16053410.653530195
e18500,0,1,10000,25000,0,4149392.5603837655
e18500,0,1,25000,50000,0,10687670.04724244
e18500,0,1,50000,75000,0,14825414.394796502
e18500,0,1,75000,100000,0,16458078.47061462
e18500,0,1,100000,200000,0,59592512.32145019
e18500,0,1,200000,500000,0,63162202.7411916
e18500,0,1,500000,1000000,0,22869770.03825697
e26270,0,1,25000,50000,0,16141000
e26270,0,1,50000,75000,0,31597000
e26270,0,1,75000,100000,0,42860000
e26270,0,1,100000,200000,0,293462000
e26270,0,1,200000,500000,0,789670000
e26270,0,1,500000,1000000,0,634326000
