varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,29561286
c00100,0,1,1,10000,0,7728931000
c00100,0,1,10000,25000,0,47457250000
c00100,0,1,25000,50000,0,116174148000
c00100,0,1,50000,75000,0,113503057000
c00100,0,1,75000,100000,0,96023730000
c00100,0,1,100000,200000,0,254138746000
c00100,0,1,200000,500000,0,209258379000
c00100,0,1,500000,1000000,0,85270782000
c00100,1,1,-9e99,1,0,319620
c00100,1,1,1,10000,0,1471610
c00100,1,1,10000,25000,0,2767060
c00100,1,1,25000,50000,0,3201390
c00100,1,1,50000,75000,0,1852240
c00100,1,1,75000,100000,0,1108700
c00100,1,1,100000,200000,0,1847910
c00100,1,1,200000,500000,0,722110
c00100,1,1,500000,1000000,0,126320
c00100,1,1,-9e99,1,1,211470
c00100,1,1,1,10000,1,1161630
c00100,1,1,10000,25000,1,1749720
c00100,1,1,25000,50000,1,1700210
c00100,1,1,50000,75000,1,848750
c00100,1,1,75000,100000,1,364360
c00100,1,1,100000,200000,1,355820
c00100,1,1,200000,500000,1,89950
c00100,1,1,500000,1000000,1,14890
c00100,1,1,-9e99,1,2,66100
c00100,1,1,1,10000,2,130810
c00100,1,1,10000,25000,2,338810
c00100,1,1,25000,50000,2,695200
c00100,1,1,50000,75000,2,669420
c00100,1,1,75000,100000,2,612490
c00100,1,1,100000,200000,2,1376070
c00100,1,1,200000,500000,2,607510
c00100,1,1,500000,1000000,2,107610
c00100,1,1,-9e99,1,4,34210
c00100,1,1,1,10000,4,160510
c00100,1,1,10000,25000,4,638570
c00100,1,1,25000,50000,4,728900
c00100,1,1,50000,75000,4,283400
c00100,1,1,75000,100000,4,109290
c00100,1,1,100000,200000,4,91550
c00100,1,1,200000,500000,4,18650
c00100,1,1,500000,1000000,4,2660
e00200,0,1,-9e99,1,0,2012431000
e00200,0,1,1,10000,0,5896321000
e00200,0,1,10000,25000,0,35424627000
e00200,0,1,25000,50000,0,96885824000
e00200,0,1,50000,75000,0,92706433000
e00200,0,1,75000,100000,0,74898521000
e00200,0,1,100000,200000,0,193647376000
e00200,0,1,200000,500000,0,142305309000
e00200,0,1,500000,1000000,0,44509371000
e00300,0,1,-9e99,1,0,464063000
e00300,0,1,1,10000,0,66247000
e00300,0,1,10000,25000,0,145705000
e00300,0,1,25000,50000,0,243640000
e00300,0,1,50000,75000,0,275838000
e00300,0,1,75000,100000,0,288842000
e00300,0,1,100000,200000,0,897774000
e00300,0,1,200000,500000,0,1130482000
e00300,0,1,500000,1000000,0,718337000
e01500,0,1,-9e99,1,0,707522221.6950042
e01500,0,1,1,10000,0,946083875.7904358
e01500,0,1,10000,25000,0,3497598206.8588195
e01500,0,1,25000,50000,0,8913437159.511396
e01500,0,1,50000,75000,0,10902833686.451092
e01500,0,1,75000,100000,0,11642119302.80906
e01500,0,1,100000,200000,0,31206531514.16912
e01500,0,1,200000,500000,0,21340827546.754272
e01500,0,1,500000,1000000,0,5684934742.926243
e02400,0,1,-9e99,1,0,3116399353.9194546
e02400,0,1,1,10000,0,4648863053.932919
e02400,0,1,10000,25000,0,6569903147.428003
e02400,0,1,25000,50000,0,7613111064.194475
e02400,0,1,50000,75000,0,6137101782.109545
e02400,0,1,75000,100000,0,5364594125.919142
e02400,0,1,100000,200000,0,10819859854.877151
e02400,0,1,200000,500000,0,4445821145.226372
e02400,0,1,500000,1000000,0,862050840.4120023
e18400,0,1,10000,25000,0,93733635.2943575
e18400,0,1,25000,50000,0,501531025.8373568
e18400,0,1,50000,75000,0,640035496.5804789
e18400,0,1,75000,100000,0,583308010.7990502
e18400,0,1,100000,200000,0,1926994460.228408
e18400,0,1,200000,500000,0,1679076244.0366256
e18400,0,1,500000,1000000,0,529399261.6247648
e18500,0,1,10000,25000,0,320270708.78101945
e18500,0,1,25000,50000,0,958164712.1563764
e18500,0,1,50000,75000,0,1496549468.8622904
e18500,0,1,75000,100000,0,1526276847.5058763
e18500,0,1,100000,200000,0,5507091676.044415
e18500,0,1,200000,500000,0,5204019597.573893
e18500,0,1,500000,1000000,0,1645029889.5113628
e26270,0,1,25000,50000,0,37547000
e26270,0,1,50000,75000,0,333471000
e26270,0,1,75000,100000,0,568157000
e26270,0,1,100000,200000,0,3556551000
e26270,0,1,200000,500000,0,11015903000
e26270,0,1,500000,1000000,0,12081820000
