varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,8657348
c00100,0,1,1,10000,0,2179101000
c00100,0,1,10000,25000,0,11442161000
c00100,0,1,25000,50000,0,32250620000
c00100,0,1,50000,75000,0,35053818000
c00100,0,1,75000,100000,0,33745759000
c00100,0,1,100000,200000,0,100786928000
c00100,0,1,200000,500000,0,92113298000
c00100,0,1,500000,1000000,0,29482232000
c00100,1,1,-9e99,1,0,79540
c00100,1,1,1,10000,0,429120
c00100,1,1,10000,25000,0,662850
c00100,1,1,25000,50000,0,880650
c00100,1,1,50000,75000,0,569180
c00100,1,1,75000,100000,0,388730
c00100,1,1,100000,200000,0,725250
c00100,1,1,200000,500000,0,321020
c00100,1,1,500000,1000000,0,44020
c00100,1,1,-9e99,1,1,53140
c00100,1,1,1,10000,1,350910
c00100,1,1,10000,25000,1,454570
c00100,1,1,25000,50000,1,518160
c00100,1,1,50000,75000,1,290590
c00100,1,1,75000,100000,1,150440
c00100,1,1,100000,200000,1,167090
c00100,1,1,200000,500000,1,36520
c00100,1,1,500000,1000000,1,4610
c00100,1,1,-9e99,1,2,14230
c00100,1,1,1,10000,2,30660
c00100,1,1,10000,25000,2,71610
c00100,1,1,25000,50000,2,159960
c00100,1,1,50000,75000,2,182600
c00100,1,1,75000,100000,2,193580
c00100,1,1,100000,200000,2,507230
c00100,1,1,200000,500000,2,274300
c00100,1,1,500000,1000000,2,38130
c00100,1,1,-9e99,1,4,9450
c00100,1,1,1,10000,4,39780
c00100,1,1,10000,25000,4,120150
c00100,1,1,25000,50000,4,166620
c00100,1,1,50000,75000,4,71280
c00100,1,1,75000,100000,4,32230
c00100,1,1,100000,200000,4,35160
c00100,1,1,200000,500000,4,7130
c00100,1,1,500000,1000000,4,890
e00200,0,1,-9e99,1,0,464069000
e00200,0,1,1,10000,0,1675698000
e00200,0,1,10000,25000,0,8305505000
e00200,0,1,25000,50000,0,26252361000
e00200,0,1,50000,75000,0,27370447000
e00200,0,1,75000,100000,0,25317753000
e00200,0,1,100000,200000,0,73467776000
e00200,0,1,200000,500000,0,62325457000
e00200,0,1,500000,1000000,0,15997082000
e00300,0,1,-9e99,1,0,42293000
e00300,0,1,1,10000,0,19828000
e00300,0,1,10000,25000,0,48646000
e00300,0,1,25000,50000,0,85009000
e00300,0,1,50000,75000,0,101187000
e00300,0,1,75000,100000,0,110741000
e00300,0,1,100000,200000,0,370639000
e00300,0,1,200000,500000,0,402197000
e00300,0,1,500000,1000000,0,170057000
e01500,0,1,-9e99,1,0,178477107.61777654
e01500,0,1,1,10000,0,326580765.31370354
e01500,0,1,10000,25000,0,1247356821.1557686
e01500,0,1,25000,50000,0,3208204682.2005863
e01500,0,1,50000,75000,0,4468905002.303582
e01500,0,1,75000,100000,0,5294864479.765695
e01500,0,1,100000,200000,0,18056630572.13057
e01500,0,1,200000,500000,0,16162677244.864183
e01500,0,1,500000,1000000,0,3220673477.897007
e02400,0,1,-9e99,1,0,696109862.1408206
e02400,0,1,1,10000,0,1828921937.965588
e02400,0,1,10000,25000,0,2518067786.157985
e02400,0,1,25000,50000,0,3045610932.7664175
e02400,0,1,50000,75000,0,2634770154.847837
e02400,0,1,75000,100000,0,2343923007.434833
e02400,0,1,100000,200000,0,5232990302.20554
e02400,0,1,200000,500000,0,2354990915.663952
e02400,0,1,500000,1000000,0,326700995.95484495
e18400,0,1,10000,25000,0,37814746.75735108
e18400,0,1,25000,50000,0,228754339.1433832
e18400,0,1,50000,75000,0,514665037.65538573
e18400,0,1,75000,100000,0,779423671.6766392
e18400,0,1,100000,200000,0,3992369183.8132873
e18400,0,1,200000,500000,0,4475576510.673421
e18400,0,1,500000,1000000,0,1334067888.980799
e18500,0,1,10000,25000,0,94574951.93644622
e18500,0,1,25000,50000,0,286920899.4194199
e18500,0,1,50000,75000,0,489066199.2917746
e18500,0,1,75000,100000,0,604230001.3369141
e18500,0,1,100000,200000,0,2549567207.994435
e18500,0,1,200000,500000,0,2258406890.963037
e18500,0,1,500000,1000000,0,446720324.4493042
e26270,0,1,25000,50000,0,69552000
e26270,0,1,50000,75000,0,174423000
e26270,0,1,75000,100000,0,219949000
e26270,0,1,100000,200000,0,1263457000
e26270,0,1,200000,500000,0,4031583000
e26270,0,1,500000,1000000,0,4485668000
