varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,7741433
c00100,0,1,1,10000,0,1485621000
c00100,0,1,10000,25000,0,8895225000
c00100,0,1,25000,50000,0,30369504000
c00100,0,1,50000,75000,0,34712022000
c00100,0,1,75000,100000,0,34026110000
c00100,0,1,100000,200000,0,98038203000
c00100,0,1,200000,500000,0,91690260000
c00100,0,1,500000,1000000,0,41773589000
c00100,1,1,-9e99,1,0,75380
c00100,1,1,1,10000,0,292250
c00100,1,1,10000,25000,0,504770
c00100,1,1,25000,50000,0,822750
c00100,1,1,50000,75000,0,562550
c00100,1,1,75000,100000,0,391990
c00100,1,1,100000,200000,0,707660
c00100,1,1,200000,500000,0,311530
c00100,1,1,500000,1000000,0,62240
c00100,1,1,-9e99,1,1,50120
c00100,1,1,1,10000,1,242110
c00100,1,1,10000,25000,1,377020
c00100,1,1,25000,50000,1,531090
c00100,1,1,50000,75000,1,307560
c00100,1,1,75000,100000,1,157210
c00100,1,1,100000,200000,1,173990
c00100,1,1,200000,500000,1,56400
c00100,1,1,500000,1000000,1,7890
c00100,1,1,-9e99,1,2,14510
c00100,1,1,1,10000,2,25860
c00100,1,1,10000,25000,2,55290
c00100,1,1,25000,50000,2,137240
c00100,1,1,50000,75000,2,173130
c00100,1,1,75000,100000,2,194540
c00100,1,1,100000,200000,2,495190
c00100,1,1,200000,500000,2,245090
c00100,1,1,500000,1000000,2,52580
c00100,1,1,-9e99,1,4,8970
c00100,1,1,1,10000,4,20320
c00100,1,1,10000,25000,4,64240
c00100,1,1,25000,50000,4,135560
c00100,1,1,50000,75000,4,68430
c00100,1,1,75000,100000,4,32980
c00100,1,1,100000,200000,4,30510
c00100,1,1,200000,500000,4,7690
c00100,1,1,500000,1000000,4,1370
e00200,0,1,-9e99,1,0,448313000
e00200,0,1,1,10000,0,1194431000
e00200,0,1,10000,25000,0,5927284000
e00200,0,1,25000,50000,0,23239610000
e00200,0,1,50000,75000,0,26004844000
e00200,0,1,75000,100000,0,24675082000
e00200,0,1,100000,200000,0,70694459000
e00200,0,1,200000,500000,0,62909293000
e00200,0,1,500000,1000000,0,25121701000
e00300,0,1,-9e99,1,0,53477000
e00300,0,1,1,10000,0,23287000
e00300,0,1,10000,25000,0,51348000
e00300,0,1,25000,50000,0,90547000
e00300,0,1,50000,75000,0,109696000
e00300,0,1,75000,100000,0,119410000
e00300,0,1,100000,200000,0,373372000
e00300,0,1,200000,500000,0,444683000
e00300,0,1,500000,1000000,0,246316000
e01500,0,1,-9e99,1,0,147721693.28994414
e01500,0,1,1,10000,0,280135969.6808497
e01500,0,1,10000,25000,0,1054868802.8315654
e01500,0,1,25000,50000,0,2829275320.0967693
e01500,0,1,50000,75000,0,3966184152.6072874
e01500,0,1,75000,100000,0,4591510015.303684
e01500,0,1,100000,200000,0,13116815436.523617
e01500,0,1,200000,500000,0,8285357626.246132
e01500,0,1,500000,1000000,0,2112554589.674714
e02400,0,1,-9e99,1,0,440601328.92728245
e02400,0,1,1,10000,0,1131422978.3058665
e02400,0,1,10000,25000,0,2227579442.441076
e02400,0,1,25000,50000,0,2921348026.815584
e02400,0,1,50000,75000,0,2667176269.264906
e02400,0,1,75000,100000,0,2451323333.4277472
e02400,0,1,100000,200000,0,5064229660.650407
e02400,0,1,200000,500000,0,1871621111.478671
e02400,0,1,500000,1000000,0,325808966.8983548
e18400,0,1,10000,25000,0,27829530.288139943
e18400,0,1,25000,50000,0,121385031.4200456
e18400,0,1,50000,75000,0,226024581.52374533
e18400,0,1,75000,100000,0,287909165.0506795
e18400,0,1,100000,200000,0,1114922833.1664722
e18400,0,1,200000,500000,0,1095066629.772716
e18400,0,1,500000,1000000,0,321544494.7658664
e18500,0,1,10000,25000,0,105909345.29875766
e18500,0,1,25000,50000,0,298502935.1609922
e18500,0,1,50000,75000,0,480189947.9823963
e18500,0,1,75000,100000,0,555596270.5585077
e18500,0,1,100000,200000,0,2038517119.8805532
e18500,0,1,200000,500000,0,1967144253.7094195
e18500,0,1,500000,1000000,0,595428888.2996625
e26270,0,1,25000,50000,0,40035000
e26270,0,1,50000,75000,0,183736000
e26270,0,1,75000,100000,0,288782000
e26270,0,1,100000,200000,0,1665051000
e26270,0,1,200000,500000,0,4737474000
e26270,0,1,500000,1000000,0,4374039000
