varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,579548
c00100,0,1,1,10000,0,154222000
c00100,0,1,10000,25000,0,785227000
c00100,0,1,25000,50000,0,2282122000
c00100,0,1,50000,75000,0,2581748000
c00100,0,1,75000,100000,0,2607824000
c00100,0,1,100000,200000,0,6516474000
c00100,0,1,200000,500000,0,3638683000
c00100,0,1,500000,1000000,0,1595212000
c00100,1,1,-9e99,1,0,7070
c00100,1,1,1,10000,0,30300
c00100,1,1,10000,25000,0,45350
c00100,1,1,25000,50000,0,62330
c00100,1,1,50000,75000,0,41820
c00100,1,1,75000,100000,0,30020
c00100,1,1,100000,200000,0,48250
c00100,1,1,200000,500000,0,12660
c00100,1,1,500000,1000000,0,2350
c00100,1,1,-9e99,1,1,4120
c00100,1,1,1,10000,1,24710
c00100,1,1,10000,25000,1,32740
c00100,1,1,25000,50000,1,37410
c00100,1,1,50000,75000,1,19110
c00100,1,1,75000,100000,1,8370
c00100,1,1,100000,200000,1,7030
c00100,1,1,200000,500000,1,1900
c00100,1,1,500000,1000000,1,430
c00100,1,1,-9e99,1,2,2060
c00100,1,1,1,10000,2,2770
c00100,1,1,10000,25000,2,5720
c00100,1,1,25000,50000,2,13490
c00100,1,1,50000,75000,2,17250
c00100,1,1,75000,100000,2,19130
c00100,1,1,100000,200000,2,39380
c00100,1,1,200000,500000,2,10430
c00100,1,1,500000,1000000,2,1850
c00100,1,1,-9e99,1,4,680
c00100,1,1,1,10000,4,2310
c00100,1,1,10000,25000,4,5950
c00100,1,1,25000,50000,4,9550
c00100,1,1,50000,75000,4,4240
c00100,1,1,75000,100000,4,2000
c00100,1,1,100000,200000,4,1380
c00100,1,1,200000,500000,4,210
c00100,1,1,500000,1000000,4,40
e00200,0,1,-9e99,1,0,62166000
e00200,0,1,1,10000,0,123406000
e00200,0,1,10000,25000,0,587766000
e00200,0,1,25000,50000,0,1790705000
e00200,0,1,50000,75000,0,1902453000
e00200,0,1,75000,100000,0,1879926000
e00200,0,1,100000,200000,0,4452239000
e00200,0,1,200000,500000,0,1647664000
e00200,0,1,500000,1000000,0,437741000
e00300,0,1,-9e99,1,0,11026000
e00300,0,1,1,10000,0,2365000
e00300,0,1,10000,25000,0,5347000
e00300,0,1,25000,50000,0,9186000
e00300,0,1,50000,75000,0,11125000
e00300,0,1,75000,100000,0,11341000
e00300,0,1,100000,200000,0,33307000
e00300,0,1,200000,500000,0,38482000
e00300,0,1,500000,1000000,0,23434000
e01500,0,1,-9e99,1,0,32787658.378691863
e01500,0,1,1,10000,0,29741480.430120017
e01500,0,1,10000,25000,0,98606227.6781118
e01500,0,1,25000,50000,0,258811356.8461769
e01500,0,1,50000,75000,0,353212586.83653104
e01500,0,1,75000,100000,0,404500513.1083183
e01500,0,1,100000,200000,0,1075081234.1340525
e01500,0,1,200000,500000,0,568473570.2286389
e01500,0,1,500000,1000000,0,130637062.02590746
e02400,0,1,1,10000,0,112718543.90612753
e02400,0,1,10000,25000,0,209183409.7148991
e02400,0,1,25000,50000,0,267121953.35727552
e02400,0,1,50000,75000,0,232940154.13317737
e02400,0,1,75000,100000,0,203049962.35987225
e02400,0,1,100000,200000,0,374924422.7950152
e02400,0,1,200000,500000,0,126270663.3947509
e02400,0,1,500000,1000000,0,25105739.65629479
e18400,0,1,10000,25000,0,832567.0139409399
e18400,0,1,25000,50000,0,4040279.6540922704
e18400,0,1,50000,75000,0,6045431.497125554
e18400,0,1,75000,100000,0,7239837.525991639
e18400,0,1,100000,200000,0,30021814.53217964
e18400,0,1,200000,500000,0,36341958.42406944
e18400,0,1,500000,1000000,0,15225281.219425246
e18500,0,1,10000,25000,0,2576991.169080444
e18500,0,1,25000,50000,0,8314806.064473393
e18500,0,1,50000,75000,0,8581292.803462552
e18500,0,1,75000,100000,0,10325925.721822172
e18500,0,1,100000,200000,0,38159649.55230214
e18500,0,1,200000,500000,0,39040317.14845632
e18500,0,1,500000,1000000,0,17060301.00872863
e26270,0,1,50000,75000,0,12303000
e26270,0,1,75000,100000,0,18179000
e26270,0,1,100000,200000,0,147085000
e26270,0,1,200000,500000,0,393705000
e26270,0,1,500000,1000000,0,351156000
