varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,545730.4033978698
c00100,1,1,-9e99,1,0,4459.324144751778
c00100,1,1,1,10000,0,28911.174990360232
c00100,1,1,10000,25000,0,46739.98358294044
c00100,1,1,25000,50000,0,68580.89226590662
c00100,1,1,50000,75000,0,43345.872667008625
c00100,1,1,75000,100000,0,27204.224193199436
c00100,1,1,100000,200000,0,42117.71404647826
c00100,1,1,200000,500000,0,14336.46046749692
c00100,1,1,500000,9e99,0,3567.4333847148737
c00100,0,1,1,10000,0,145367780.76099437
c00100,0,1,10000,25000,0,822038250.7329957
c00100,0,1,25000,50000,0,2521742779.7921243
c00100,0,1,50000,75000,0,2664069333.7322445
c00100,0,1,75000,100000,0,2352874740.7508297
c00100,0,1,100000,200000,0,5778309257.506508
c00100,0,1,200000,500000,0,4112921468.4424663
c00100,0,1,500000,9e99,0,5031212066.660279
c00100,1,1,-9e99,1,1,3095.1981880708327
c00100,1,1,1,10000,1,24887.656524510236
c00100,1,1,10000,25000,1,34215.49751472026
c00100,1,1,25000,50000,1,44084.9138666328
c00100,1,1,50000,75000,1,25261.367257274156
c00100,1,1,75000,100000,1,11578.39986708342
c00100,1,1,100000,200000,1,9344.421987811918
c00100,1,1,200000,500000,1,2085.7603013583353
c00100,1,1,500000,9e99,1,474.6050481554429
c00100,1,1,-9e99,1,2,622.9662534329387
c00100,1,1,1,10000,2,1799.6802876951565
c00100,1,1,10000,25000,2,3678.467401223066
c00100,1,1,25000,50000,2,8080.328582336535
c00100,1,1,50000,75000,2,10047.931340720885
c00100,1,1,75000,100000,2,11739.234718147904
c00100,1,1,100000,200000,2,29124.776971859217
c00100,1,1,200000,500000,2,11558.694974307396
c00100,1,1,500000,9e99,2,2964.2797445812053
c00100,1,1,-9e99,1,4,632.4596314101327
c00100,1,1,1,10000,4,1887.5264478423856
c00100,1,1,10000,25000,4,8035.137795370308
c00100,1,1,25000,50000,4,14359.84182999488
c00100,1,1,50000,75000,4,6147.862695415494
c00100,1,1,75000,100000,4,2748.890384006042
c00100,1,1,100000,200000,4,2085.975742404826
c00100,1,1,200000,500000,4,365.90497631756966
c00100,1,1,500000,9e99,4,69.2543794447417
e00200,0,1,-9e99,1,0,18057279.8070617
e00200,0,1,1,10000,0,107875514.98342615
e00200,0,1,10000,25000,0,515237637.1033197
e00200,0,1,25000,50000,0,1986638480.248223
e00200,0,1,50000,75000,0,2071128628.946271
e00200,0,1,75000,100000,0,1744535341.153844
e00200,0,1,100000,200000,0,4234765138.387887
e00200,0,1,200000,500000,0,2618204402.4916883
e00200,0,1,500000,9e99,0,1763954730.0930157
e26270,0,1,25000,50000,0,2399064.325098698
e26270,0,1,50000,75000,0,12034227.019858118
e26270,0,1,75000,100000,0,15132327.877881523
e26270,0,1,100000,200000,0,82152324.89783823
e26270,0,1,200000,500000,0,220872703.8919072
e26270,0,1,500000,9e99,0,884680917.7099421
e18400,0,1,10000,25000,0,3161124.665782803
e18400,0,1,25000,50000,0,16549933.556610132
e18400,0,1,50000,75000,0,36267547.285482466
e18400,0,1,75000,100000,0,48143013.59611224
e18400,0,1,100000,200000,0,144806183.3072882
e18400,0,1,200000,500000,0,138610046.57345638
e18400,0,1,500000,9e99,0,190341728.29717255
e18500,0,1,10000,25000,0,7093411.378074662
e18500,0,1,25000,50000,0,21869828.32343541
e18500,0,1,50000,75000,0,39379703.59057934
e18500,0,1,75000,100000,0,41171036.87403695
e18500,0,1,100000,200000,0,106352780.81143104
e18500,0,1,200000,500000,0,74981609.394083
e18500,0,1,500000,9e99,0,45867338.22764502
