varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,744455.1194218172
c00100,1,1,-9e99,1,0,8353.244716827248
c00100,1,1,1,10000,0,43897.94290121392
c00100,1,1,10000,25000,0,78128.32486285531
c00100,1,1,25000,50000,0,89984.34267744016
c00100,1,1,50000,75000,0,42123.84108606496
c00100,1,1,75000,100000,0,22569.80770507815
c00100,1,1,100000,200000,0,32133.936700618506
c00100,1,1,200000,500000,0,10112.293083246475
c00100,1,1,500000,9e99,0,2799.8110633235297
c00100,0,1,1,10000,0,231419912.8790323
c00100,0,1,10000,25000,0,1340232732.3646047
c00100,0,1,25000,50000,0,3234748388.814458
c00100,0,1,50000,75000,0,2570997558.861768
c00100,0,1,75000,100000,0,1951004535.6289525
c00100,0,1,100000,200000,0,4339128325.379459
c00100,0,1,200000,500000,0,2917717212.7668986
c00100,0,1,500000,9e99,0,4743338345.9250965
c00100,1,1,-9e99,1,1,5724.831545673224
c00100,1,1,1,10000,1,33663.09226605877
c00100,1,1,10000,25000,1,47278.54450947697
c00100,1,1,25000,50000,1,47948.38112723147
c00100,1,1,50000,75000,1,19793.363343247333
c00100,1,1,75000,100000,1,7305.713979412207
c00100,1,1,100000,200000,1,5928.49044480862
c00100,1,1,200000,500000,1,1424.709384366399
c00100,1,1,500000,9e99,1,364.4172129296796
c00100,1,1,-9e99,1,2,1238.456766517242
c00100,1,1,1,10000,2,2730.753164288721
c00100,1,1,10000,25000,2,6800.178672593819
c00100,1,1,25000,50000,2,13209.948605400592
c00100,1,1,50000,75000,2,13133.375550270215
c00100,1,1,75000,100000,2,12348.371374353275
c00100,1,1,100000,200000,2,24271.394862305347
c00100,1,1,200000,500000,2,8324.485083044858
c00100,1,1,500000,9e99,2,2330.333201026159
c00100,1,1,-9e99,1,4,1137.748419952298
c00100,1,1,1,10000,4,6831.5185449174105
c00100,1,1,10000,25000,4,22340.864173836988
c00100,1,1,25000,50000,4,24939.782849450345
c00100,1,1,50000,75000,4,7002.409104823428
c00100,1,1,75000,100000,4,2081.4300166586568
c00100,1,1,100000,200000,4,1260.8434960558393
c00100,1,1,200000,500000,4,240.1887721778504
c00100,1,1,500000,9e99,4,59.044482804672874
e00200,0,1,-9e99,1,0,30147139.994439065
e00200,0,1,1,10000,0,184818641.46164516
e00200,0,1,10000,25000,0,1019855532.3781568
e00200,0,1,25000,50000,0,2695548062.351555
e00200,0,1,50000,75000,0,1971422884.203748
e00200,0,1,75000,100000,0,1384685283.4519672
e00200,0,1,100000,200000,0,2866562796.321673
e00200,0,1,200000,500000,0,1574312372.5442574
e00200,0,1,500000,9e99,0,1090744939.957398
e26270,0,1,25000,50000,0,5783742.653102655
e26270,0,1,50000,75000,0,12792799.770013625
e26270,0,1,75000,100000,0,17447257.975352243
e26270,0,1,100000,200000,0,91392807.38081545
e26270,0,1,200000,500000,0,249119917.79698747
e26270,0,1,500000,9e99,0,1191782552.5239043
e18400,0,1,10000,25000,0,2739024.7526991963
e18400,0,1,25000,50000,0,18542691.633594893
e18400,0,1,50000,75000,0,33999194.38856647
e18400,0,1,75000,100000,0,38142218.0945236
e18400,0,1,100000,200000,0,135438509.50527686
e18400,0,1,200000,500000,0,131801862.58540677
e18400,0,1,500000,9e99,0,162901585.62344697
e18500,0,1,10000,25000,0,3747136.278013922
e18500,0,1,25000,50000,0,12799435.713831868
e18500,0,1,50000,75000,0,17504757.67722876
e18500,0,1,75000,100000,0,16051519.292250548
e18500,0,1,100000,200000,0,50068718.29004699
e18500,0,1,200000,500000,0,39426748.08875724
e18500,0,1,500000,9e99,0,27008673.39738739
